'bai'guo'dong 白果冻
'bai'hu'wen'wa'dang 白虎纹瓦当
'bai'rui 白瑞
'bai'shui'xing'long'si'shi'diao'xiang 白水兴隆寺石雕像
'bai'tian'shi 白田石
'bao'sheng'si'luo'han'xiang 保圣寺罗汉像
'bei'ban 碑版
'bei'diao 贝雕
'bei'e 碑额
'bei'hai'liu'li'jiu'long'bi 北海琉璃九龙壁
'bei'jie 碑碣
'bei'jing'xi'ling'long'en'dian'nan'mu'diao'ke 北京西陵隆恩殿楠木雕刻
'bei'jing'zhuan'diao 北京砖雕
'bei'ke'gong'yi 碑刻工艺
'bei'song'di'qi'hua'xiang'zhuan 北宋涤器画像砖
'bei'song'jie'fa'hua'xiang'zhuan 北宋结发画像砖
'bei'song'peng'cha'hua'xiang'zhuan 北宋烹茶画像砖
'bei'song'po'su'yu'xing'shui'cheng 北宋泼塑鱼形水丞
'bei'song'shi'diao'han 北宋石雕函
'bei'song'zhuo'kuai'hua'xiang'zhuan 北宋斫鲙画像砖
'bei'wei'luo'yang'shi'qi'wa'dang 北魏洛阳时期瓦当
'bei'wei'ping'cheng'shi'qi'wa'dang 北魏平城时期瓦当
'bei'wei'shi'diao'zhu'chu 北魏石雕柱础
'bei'wei'shi'ku'si 北魏石窟寺
'bo'di'yang'wen 薄地阳文
'bo'yi 薄意
'bu'xiu'gang'diao'su 不锈钢雕塑
'cai'diao 彩雕
'cai'hua'shi 彩花石
'cai'su 彩塑
'cai'su'bo'jin'cai'zhui 彩塑拨金彩锥
'cai'su'dao'za'yue 彩塑倒杂月
'cai'su'shang'zhong'wu'cai 彩塑上中五彩
'cai'su'xia'wu'cai 彩塑下五彩
'cai'su'xia'zhong'wu'cai 彩塑下中五彩
'cai'su'zhong'wu'cai 彩塑中五彩
'cang'shan'bai'yu 苍山白玉
'cang'zhou'tie'shi 沧州铁狮
'chang'hua'dong 昌化冻
'chang'hua'shi 昌化石
'chang'le'wei'yang'wa'dang 长乐未央瓦当
'chen'qian'yong'ning'ling'shi'ke 陈蒨永宁陵石刻
'cheng'du'wan'fo'si'shi'zao'xiang 成都万佛寺石造像
'chui'ye 锤鍱
'chun'bai'shi 纯白石
'chun'qiu'zhan'guo'yong 春秋战国俑
'ci'ke 瓷刻
'da'a'fu 大阿福
'da'li'shi 大理石
'da'tong'liu'li'jiu'long'bi 大同琉璃九龙壁
'da'wen'kou'wen'hua'gu'diao'tong 大汶口文化骨雕筒
'da'zu'shi'ke 大足石刻
'deng'dan'mu'diao 灯担木雕
'deng'guang'shi 灯光石
'deng'ming'shi 灯明石
'deng'xian'hua'xiang'zhuan 邓县画像砖
'diao'fo 雕佛
'diao'luan 雕卵
'diao'ren 雕人
'diao'su'dao'fa 雕塑刀法
'ding'yao'ci'su'fa'luo 定窑瓷塑法螺
'dong'shan'diao'hua'lou 东山雕花楼
'dong'shi 冻石
'dong'yang'mu'diao 东阳木雕
'duan'tong'diao'su 锻铜雕塑
'dui'shou'wen'tou'diao'shi'ban 对兽纹透雕石板
'dun'huang'cai'su 敦煌彩塑
'dun'huang'shi'ku'bei'chao'su'xiang 敦煌石窟北朝塑像
'dun'huang'shi'ku'sui'tang'su'xiang 敦煌石窟隋唐塑像
'fan'huang 反簧
'fan'huang'zhu'ke 翻簧竹刻
'fan'shi 饭石
'fei'hong'yan'nian'wa'dang 飞鸿延年瓦当
'fei'lai'feng'zao'xiang 飞来峰造像
'fen'su 粉塑
'feng'xiang'ni'ou 凤翔泥偶
'fu'bin'xiang 缚彬像
'fu'hao'mu'gu'qi 妇好墓骨器
'fu'jian'tian'ran'ba'shu'gen'diao 福建天然疤树根雕
'fu'rong'shi 芙蓉石
'gao'shan'shi 高山石
'gong'xian'bei'song'ling'mu'shi'ke 巩县北宋陵墓石刻
'gong'xian'shi'ku 巩县石窟
'gu'zhuan 古砖
'guan'zi'wa'dang 关字瓦当
'guang'dong'jin'qi'mu'diao 广东金漆木雕
'guang'dong'zhuan'diao 广东砖雕
'gui'fu 龟趺
'gui'gong'qiu 鬼功毬
'gun'long'zhu 滚龙柱
'guo'gong'zhuan 郭公砖
'guo'he'diao'ke 果核雕刻
