'a'sa'xin 阿萨辛
'ao'teng 傲腾
'bai'jin'tong'zhi'zhe 白金统治者
'bing'long 冰龙
'chang'cheng 长城
'chao'bai'jin 超白金
'chao'ji'diao 超级雕
'da'diao 大雕
'da'jiang 大将
'da'lian'dao 大镰刀
'dian'jing'zhi'xin 电竞之心
'dong'zhi 东芝
'du'yao 毒药
'fu'chou'zhe 复仇者
'geng'sheng 耕升
'gong'ban 公版
'hai'dao'chuan 海盗船
'hai'kang'wei'shi 海康威视
'hai'ke 骇客
'hai'ke'shen'tiao 骇客神条
'hai'yun 海韵
'hang'jia 航嘉
'hua'shuo 华硕
'huan'guang'ji 幻光戟
'huang'jia'ji 皇家戟
'huo'shen 火神
'ji'jia 技嘉
'jin'shi'dun 金士顿
'jiu'duan 九段
'jiu'zhou'feng'shen 九州风神
'kai'xia 铠侠
'ke'fu 科赋
'ku'leng'zhi'zun 酷冷至尊
'ku'ma 酷妈
'lan'bao'shi 蓝宝石
'li'min 利民
'long'shen 龙神
'lue'shi'zhe 掠食者
'mao'shan 猫扇
'mei'jie 梅捷
'meng'chong 萌宠
'meng'qin 猛禽
'ming'ren'tang 名人堂
'ming'xuan 铭瑄
'mo'long 魔龙
'nv'zhuang'gao'shou 女装高手
'pai'ji'pao 迫击炮
'qi'cai'hong 七彩虹
'san'xing 三星
'shan'dian 闪电
'shui'diao 水雕
'tie'jia'zhan'jiang 铁甲战将
'wan'jia'guo'du 玩家国度
'wan'tu'shi 万图师
'wan'zi'qian'hong 万紫千红
'wei'gang 威刚
'wei'xing 微星
'xi'jie 希捷
'xi'shu 西数
'xiang'sheng 翔升
'xiao'diao 小雕
'xin'gu 鑫谷
'xing'yao 星耀
'xuan'guang 炫光
'yan'guang'ji 焰光戟
'yan'long 焱龙
'ying'chi 影驰
'ying'tong 樱瞳
'ying'tong 盈通
'ying'zhong 映众
'you'ling'leng'jing 幽灵棱镜
'you'xi'wei'long 游戏威龙
'zhan'fu 战斧
'zhan'shen 战神
'zhen'hua 振华
'zhi'qi 芝奇
'zhong'jie'zhe 终结者
'zhuang'jia'shi 装甲师
'zhui'feng'zhe 追风者
