'dan'tou 弹头
'dan'tou'bi'lv 弹头比率
'dan'wei'zhu'ce 单位注册
'dong'hua'dan'tou 动画弹头
'dong'hua'shang'hai 动画伤害
'feng'kuang'yi'wen 疯狂伊文
'fu'she 辐射
'gai'te 盖特
'hao'shen 耗神
'hao'zi'dong 耗子洞
'jian'zao'qian'ti 建造前提
'jian'zao'xian'zhi 建造限制
'ke'ji'deng'ji 科技等级
'luo'ji 萝鸡
'pao'she'ti 抛射体
'she'dan 射弹
'wu'qi'dai'ma 武器代码
'yi'wen'zha'dan 伊文炸弹
'zi'ji 子机
'zi'ji'dao'dan 子机导弹
