'a'he'he 阿呵呵
'a'nan'he'zhang 阿难合掌
'a'shui'gan'ni 阿谁敢拟
'a'wei'wu'zhen 阿魏无真
'ai'nai'yi'sheng'shan'shui'lv 欸乃一声山水绿
'an'pen'pen'chi'she 唵喷喷敕摄
'an'zhong'tou'xiao 暗中偷笑
'ao'ao'tu'tu'po'sha'pen 凹凹凸凸破沙盆
'ba'huang'wu'di'zhu'huan'sheng 八荒无地著欢声
'ba'mian'ling'long'dou'yue'han 八面玲珑逗月寒
'ba'shi'er'nian 八十二年
'ba'shi'weng'weng'gun'xiu'qiu 八十翁翁辊绣球
'ba'shi'weng'weng'jiao'sheng'tie 八十翁翁嚼生铁
'ba'shou'ju'tou 把手聚头
'ba'yue'jiu'yue 八月九月
'ba'yue'qiu 八月秋
'bai'ba'mo'ni'xing'ye'guang 百八摩尼杏叶光
'bai'ban'qian'yang 百般千样
'bai'bi'ming'zhu 白璧明珠
'bai'cheng'kao'dao'wu'yi'yi 百城靠倒无依倚
'bai'chi'lang'gan'mo'bi'kong 百尺琅玕摩碧空
'bai'chuan'chao'luo 百川潮落
'bai'chuan'dao'liu'nao'guo'guo 百川倒流闹聒聒
'bai'guai'jin'qian'zong 百怪尽潜踪
'bai'guai'qian'yao 百怪千妖
'bai'guai'qian'yao'zi'sao'chu 百怪千妖自扫除
'bai'lu'cang'zhou 白鹭沧洲
'bai'nian'tan'zhi'ru'xu'du 百年弹指如虚度
'bai'niao'xian'hua 百鸟衔花
'bai'niao'xian'hua'bu'jian'ren 百鸟衔花不见人
'bai'niu'jin'yi'mu'lai'chun 白牛今已牧来纯
'bai'ping'hong'liao'dui'jiang'mei 白苹红蓼对江湄
'bai'ping'hong'liao'dui'lu'hua 白苹红蓼对芦花
'bai'qian'wan'yi'nian 百千万亿年
'bai'qian'zhui'hui'you'he'yi 百千追悔有何益
'bai'yun'gao 白云高
'bai'yun'gu'qi'mei'xian'qin 白云鼓起没弦琴
'bai'yun'san'jin'qiu'tian'qing 白云散尽秋天青
'bai'zhang'lao'chang'de'yi'jue 百丈老常得一橛
'ban'kai'ban'he'rong'ku'wai 半开半合荣枯外
'ban'shi'si'jun'ban'hen'jun 半是思君半恨君
'ban'ye'xing'he'dou'bing'chui 半夜星河斗柄垂
'bang'he'ji'qian 棒喝机前
'bang'ru'yu 棒如雨
'bang'tou'ting'sheng 棒头挺生
'bang'zhe'ye'bu'fang 棒折也不放
'bao'bian'wen'er'wu'zhong 豹变文而雾重
'bao'cong'lin'han'zhu'jing'shen 饱丛林汉著精神
'bao'dai'yu'men'lei 保待禹门雷
'bao'fan'han'mian 饱饭憨眠
'bao'fan'wu'jin'ba'shi'nian 饱饭吾今八十年
'bao'gong'zan 宝公赞
'bao'han'ba'gua 包含八卦
'bao'jian'chu'xia 宝剑出匣
'bao'jian'guang'han 宝剑光寒
'bao'wu'pi'zi'shu'zhi'ye 豹雾披梓树之野
'bei'di'zhao'zhou 北地赵州
'bei'feng'liu'shui'sheng'wu'ye 悲风流水声呜咽
'bei'fu'xu'mi 北负须弥
'bei'ren'da'luo'dang'men'ban'chi 被人打落当门板齿
'bei'tuo'duan'bi'qiang'tu'hu 被佗断臂强涂糊
'bei'yuan'hong'shen 悲原洪深
'bei'zhong'gong'ying'fu 杯中弓影浮
'ben'chi'bu'xie 奔驰不歇
'ben'lai'tian'di'jue'xian'chen 本来田地绝纤尘
'ben'shi'ru'jia'xian'xi'ju 本是儒家闲戏剧
'ben'zi'wu'jiao'she 本自无交涉
'bi'de'zai'song'si'fu'sheng 逼得栽松死复生
'bi'jing'ping'he'zhu'wu'feng 毕竟凭何住五峰
'bi'jing'shi'zu'yi'shi'jiao'yi 毕竟是祖意是教意
'bi'jing'shu'ying'shi'zhi'shui 毕竟输赢是职谁
'bi'kou'ji'ya 闭口即哑
'bi'li'wan'ren'chu'yi'yu 壁立万仞出一语
'bi'liu'li'hai'ban'ye'yue 碧瑠璃海半夜月
'bi'wu'qian'mo'de'you'you 鼻无牵纆得优游
'bi'yan'huang'tou 碧眼黄头
'bi'yan'huang'tou'zong'bu'zhi 碧眼黄头总不知
'bi'ye'chu'qi 鼻也出气
'bi'yi'bu'liu'yuan'zi'jiao 必意不留元字脚
'bi'yu'pan 碧玉盘
'bian'bi'li'zhu 汴璧骊珠
'bian'bi'li'zhu'cheng'zhi'huo 卞璧骊珠成滞货
'bian'cheng'yang'jiao'zuo'feng'tuan 便乘羊角作风抟
'bian'dao'ming'jing'yi'fei'tai 便道明镜亦非台
'bian'feng'chun 便逢春
'bian'hua'kun'peng'shi'shi'jie 变化鲲鹏是时节
'bian'jian'qian'kun'yu'zhou'di 便见乾坤宇宙低
'bian'shi'kou'tun'san'shi'fo 便是口吞三世佛
'bian'shi'ren'jian'hao'shi'jie 便是人间好时节
'bian'shi'shi'mi 便是石蜜
'bian'shuo'shu'fu'zhou'shi 便说书符呪士
'bian'yu'me'qu 便与么去
'bian'ze'tong 变则通
'bie'bie 别别
'bie'you'yao'miao 别有要妙
'bing'he'jie'dong 冰河解冻
'bing'ling'xian'la'zha 掤领先剌札
'bing'xue'gan'dan 冰雪肝胆
'bo'cheng'yue'xian 波澄月现
'bo'fan'jing'ji'you'xiang'ju 钵饭茎虀又相聚
'bo'po'bao'gong'mian'pi 擘破宝公面皮
'bo'po'kun'lun'cheng'ba'jue 擘破昆崙成八橛
'bo'sheng'xiang'yu 钵盛香玉
'bo'yun'xun'jue'dao'ceng'feng 拨云寻蕨到层峰
'bu'ai'dang'ji'shou'fang 不碍当机收放
'bu'bi'an'niu'tou'chi'cao 不必按牛头吃草
'bu'bi'long'hua'jian'yi'zhan'shou'ji 不必龙华检疫站授记
'bu'bu'hong'chen 醭醭红尘
'bu'cha'yi'dian 不差一点
'bu'chang'di'shui'sang'sheng'ya 不尝滴水丧生涯
'bu'ci'li'bai'shao'xiang 不辞礼拜烧香
'bu'da'hua 不答话
'bu'dai'kao'de'sui'lao 布袋靠得虽牢
'bu'dai'zan 布袋赞
'bu'diao'jing'ao'zhi'lao'xian 不钓鲸鳌只捞蚬
'bu'dong'jiao'tou 不动脚头
'bu'fang'sui'fen'zhan'jia'feng 不妨随分展家风
'bu'fang'tiao'qu'zhang'tou'gui 不妨挑取杖头归
'bu'fei'yi'wen'qian 不费一文钱
'bu'fen'chang'duan'zhi 不分长短枝
'bu'fen'da'xiao'qi 不分大小器
'bu'ge'si'tou 不隔丝头
'bu'han'bu're 不寒不热
'bu'hui'tiao'hui'bo'huo 不会挑灰拨火
'bu'jing'zhong 不惊众
'bu'jue'cuo'lu 不觉蹉路
'bu'jue'he'shen'ru'hua'tu 不觉和身入画图
'bu'jue'tun'sheng'bao'qi 不觉吞声饱气
'bu'kan'ti'duo'si'mao'tou 不堪提掇死猫头
'bu'ke'de 不可得
'bu'ke'de'er'ming'yan 不可得而明焉
'bu'ke'de'yi'bu'ke'de 不可得亦不可得
'bu'ke'yi'se'jian 不可以色见
'bu'ke'yi'sheng'qiu 不可以声求
'bu'ke'zan 不可赞
'bu'ken'shou'chi 不肯受持
'bu'ken'shuo 不肯说
'bu'lao'zhuo'mo 不劳捉摸
'bu'nian'wu'zong'zheng'cen'ji 不念吾宗正岑寂
'bu'qi'yu'zuo'ji'chao'yu'ran'deng'zhi'qian 不起于座即超于然灯之前
'bu'qiu'zhu'sheng 不求诸圣
'bu'ru'can'yi'ge'ping'shi 不如参一个平实
'bu'shan'yong'xin 不善用心
'bu'she'qu'lai 不涉去来
'bu'shi'fo 不是佛
'bu'shi'han'shan'zi 不是寒山子
'bu'shi'huang'long'gai'fu'yi 不是黄龙盖覆伊
'bu'shi'jiu'ju 不是久居
'bu'shi'pi'shuang 不是砒霜
'bu'shi'xin'wai'jing 不是心外境
'bu'shi'you'guai 不是犹乖
'bu'shi'yuan'jia'bu'ju'tou 不是冤家不聚头
'bu'shi'zhi'xin'xiang'shui'shuo 不是知心向谁说
'bu'shi'zhi'yin'xiang'shui'shuo 不是知音向谁说
'bu'shuo'yao'bing'xiang'zhi 不说药病相治
'bu'si'e 不思恶
'bu'si'shan 不思善
'bu'tou'ji 不投机
'bu'wu'bu'duo'chao'sheng'si 不无不堕超生死
'bu'xiang'dong'li'shang'ju'hua 不向东篱赏菊花
'bu'xiang'man 不相谩
'bu'xin'jiao'yi'yao'po'kan 不信教伊咬破看
'bu'xu'ming'zu'yi 不须明祖意
'bu'xu'wai'ren'zhi 不许外人知
'bu'xue'nai'weng'qian'ge'teng 不学乃翁牵葛藤
'bu'xun'yuan 不徇缘
'bu'ye'nong'shang'bu'ye'ru 不业农商不业儒
'bu'yong'jiang'zhen'he'cheng'fu 不用将针合成斧
'bu'yong'shu'fu 不用书符
'bu'yong'zhui'xun 不用追寻
'bu'you'bie'ren 不由别人
'bu'zai'nei 不在内
'bu'zai'wai 不在外
'bu'zai'zhong'jian 不在中间
'bu'zhan'shi 不展事
'bu'zhi'fo'zu'wei'xing'ri 不知佛祖未兴日
'bu'zhi'he'shi 不知何事
'bu'zhi'luo'chu 不知落处
'bu'zhi'shi'jie'guo 不知时节过
'bu'zhi'shui'gong'yi'lan'gan 不知谁共倚栏干
'bu'zhi'shui'shi'yi'men'ren 不知谁是倚门人
'bu'zhi'yan'bing'jian'kong'hua 不知眼病见空花
'bu'zhi'you'qu'cheng'zhi'you 不知有去成知有
'bu'zhong'ji'ling 不重己灵
'bu'zuo'gui 不作贵
'bu'zuo'jian 不作贱
'bu'zuo'yin'sheng'jian 不作音声见
'cai'jue 采蕨
'can'chan'bu'shi'xiao'yin'yuan 参禅不是小因缘
'can'chan'nai'shi'zhang'fu'shi 参禅乃是丈夫事
'can'cui'bian'yi'guo'gao'xing 残毳编衣裹槁形
'can'yue'ban'chuang'song'ying'yao 残月半窗松影摇
'cang'hai'chao'qian'xi'shui'tan'lao'li'zhi'han 沧海潮乾兮谁探老骊之颔
'cao'gen'ni'ni'yu'han'jiang 草根昵昵语寒螀
'cao'xi'zhi'yue 曹溪指月
'cao'xie'gen'di'dai'shan'chuan 草鞋跟底带山川
'cao'xie'gen'ta'de'lie 草鞋跟踏得裂
'cao'xie'xiu'zheng'yi'duo'shi 草鞋修整已多时
'ce'bian'hui'shou 侧鞭回首
'ce'jian'bang'chun'xing 策蹇傍春行
'ceng'dao'wei'dao 曾到未到
'ceng'dao'wei'dao'ju'chi'cha 曾到未到俱吃茶
'ceng'wu'yi'zi'luo'zhu'fang 曾无一字落诸方
'cha'tang'hui'qi'song 茶汤会乞颂
'chai'men'shen'suo'lv'luo'chun 柴门深锁绿萝春
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'bai'ban'qian'yang 禅人并化主写真求赞百般千样
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'jie'wai'you'shen 禅人并化主写真求赞劫外游神
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'mu'shi'xing'hai 禅人并化主写真求赞木石形骸
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'qiu'he'jing'shen 禅人并化主写真求赞丘壑精神
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'su'xiao'er'qiu 禅人并化主写真求赞肃萧而秋
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'wei'wei'tang'tang 禅人并化主写真求赞巍巍堂堂
'chan'ren'bing'hua'zhu'xie'zhen'qiu'zan'yun'heng'qi'jian 禅人并化主写真求赞云横其肩
'chan'ren'xie'zhen'qiu'zan'xiao'han'kou'jue 禅人写真求赞笑含口角
'chan'xin'qing'dian'ye'qiao'mei 禅心清点野桥梅
'chang'an'sui'le 长安虽乐
'chang'ge'gui'qu'yue'san'geng 唱歌归去月三更
'chang'geng'tu'she 长庚吐舌
'chang'neng'chao'yu'si'xi'yu'si 偿能朝於斯夕於斯
'chang'nian'guan'sao'bu'rong'chen 长年关扫不容尘
'chang'yi'xi'hu'chu'shi'jia 常忆西湖处士家
'chao'fo'yue'zu'dang'tou'ju 超佛越祖当头句
'chao'guo'zheng'pai'jing'fen'zhi 朝过正派竞分支
'chao'lu'lu 朝碌碌
'chao'luo'shi'tou'chu 潮落石头出
'chao'sheng'zhang'jiu'hen 潮生涨旧痕
'che'gu'pin'qiong'wei'dao'jia 彻骨贫穷未到家
'chen'bu'dao 尘不到
'chen'chen'dun'xian'ben'lai'ren 尘尘顿现本来人
'chen'chen'fen'ying'miao'wu'ban 尘尘分应妙无瘢
'chen'zhou'liu'yue'huo'yun'han 郴州六月火云寒
'chen'zhuan'shen'yi'he'jun 臣转身以合君
'cheng'chui'hun'shi'tie 秤锤浑是铁
'cheng'he'dao'li 成何道理
'cheng'long'sheng'tian 成龙升天
'cheng'she'cuan'cao 成蛇窜草
'cheng'yun'yu'feng'xi'pian'pian 乘云驭风兮翩翩
'chi'bei'bei'cha 吃杯杯茶
'chi'le'you'ci'du'bu'ji 吃了油糍肚不饥
'chi'ren'jia'fan 喫人家饭
'chi'ru'ri 赤如日
'chi'shan'hu'shu'chang'nian'chun 赤珊瑚树长年春
'chi'shen'tiao'ru'du'long'tan 赤身跳入毒龙潭
'chi'shou'bai'nian 赤手白拈
'chi'yun'juan'jin'yu'sheng'shou 痴云卷尽雨声收
'chi'zhou'chi'fan'guo 吃粥吃饭过
'chong'yang'jie 重阳节
'chou'e'wu'duan'xiang'wai'yang 丑恶无端向外扬
'chou'rou'yuan'tong'yi'wei 臭肉元同一味
'chou'sha'han'shan'zi 愁杀寒山子
'chu'chu'de'jie'tuo 处处得解脱
'chu'er'chu'cheng 初二出城
'chu'ru'fei'yuan'ling 出入飞鸢岭
'chu'shan'he'pin 出山何贫
'chu'shan'meng'hu 出山猛虎
'chu'shi'wu'neng'bao'mian'qiang 触事无能保面墙
'chu'wang'du'jiang'de'ping'shi 楚王渡江得萍实
'chu'ze'wu'wu'bu'shi 出则无无不是
'chuan'shang'ren'zhi'wu 传上人之吴
'chui'tian'zhi'chi'mo'yun'xiao 垂天之翅摩云霄
'chui'yi'er'zhi 垂衣而治
'chui'zhan'pan'tao'san'wu'rui 吹绽蟠桃三五蕊
'chui'zhe'men'qian'yi'zhi'song 吹折门前一枝松
'chun'chai'bai'hua'xi'yi'chui 春拆百花兮一吹
'chun'feng'hao'hao 春风浩浩
'chun'feng'yi'zhen'xiang'lang'ji 春风一阵香狼藉
'chun'guang'jin'zhu'zhang'li'qu 春光尽逐杖黎去
'chun'lai'te'di'han 春来特地寒
'chun'ri'qing 春日晴
'chun'se'yi'yi 春色依依
'chun'shan'qing 春山青
'chun'shui'lv 春水绿
'chun'wu'liang'yang 春无两样
'chun'you'bai'hua'qiu'you'yue 春有百花秋有月
'chun'you'xin'you'li'qiu'hou'yi'ri'you'gu'shan 淳佑辛酉立秋后一日游鼓山
'chun'yu'mian'mian 春雨绵绵
'chun'yu'zu 春雨足
'ci'bei'cheng'guo'jiu 慈悲成过咎
'ci'jian'feng'jing 此间风景
'ci'jie'bu'ke'jie 此结不可解
'ci'ming'jie'shi 慈明揭示
'ci'qu'xi'chuan'lu'ba'qian 此去西川路八千
'ci'sheng'nan'jin'yan 此生难尽言
'ci'shi'song 辞世颂
'ci'tu'xi'tian'bu'bie 此土西天不别
'ci'yi'fen'ming'shuo'xiang'shui 此意分明说向谁
'ci'yuan'bu'ke'xue 此冤不可雪
'ci'yue'you'guo'wu 此月又过五
'cong'ci'cao'xi'xuan'lu'jue 从此曹溪玄路绝
'cong'ci'lang'ji 从此狼籍
'cong'ci'man'tian'bu'wang'luo 从此谩天布网罗
'cong'cong'cui'zhu 丛丛翠竹
'cong'cong'yi'ge'yue 匆匆一个月
'cong'dong'guo'le'you'cong'xi 从东过了又从西
'cong'jun'xi'jiao'hun'lun'yan 从君细嚼浑崙咽
'cong'lai'xiao'shun'liang'bian'sheng 从来孝顺两边生
'cong'lin'xu'de'yu 丛林虚得誉
'cong'shi'mang'mang'zu'wei'xiu 丛识忙忙卒未休
'cong'ta'men'wai'qu'qu 从他门外区区
'cong'zi'bian'jie 从兹便解
'cui'can'shuang'xue'ping'ling'hou 摧残霜雪凭陵后
'cuo'jiao'ti'niao'xiao'chun'feng 错教啼鸟笑春风
'cuo'luo'ming'ji'zou'bi'pan 错落明玑走碧盘
'cuo'ren'tao'hua'zuo'yan'jing 错认桃花作眼睛
'cuo'shi'cuo'dao'di 错时错到底
'da'ben'wu'gui'yu'he'sheng 妲本无归语何剩
'da'cao'zhi'yao'she'jing 打草只要蛇惊
'da'chong'yuan'shi'hu 大虫元是虎
'da'dao'wu'fang 大道无方
'da'dao'wu'qiong 大道无穷
'da'di'jue'xian'chen 大地绝纤尘
'da'di'shan'he'ju'shi'se 大地山河俱失色
'da'di'shou 大地收
'da'di'wu'ren'zhi'luo'chu 大地无人知落处
'da'di'yi'tuan'tie 大地一团铁
'da'fa'yan 大法眼
'da'gu'xiang'liao 大故相辽
'da'huai'nan'pan'you'gao'sha 大淮南畔有高沙
'da'hui'chan'han 打会禅汉
'da'ji'pang'bo 大机磅礴
'da'ji'yuan'ying 大机圆应
'da'jia'bie'sai 大家别赛
'da'jia'na'bei'meng'tou 大家衲被幪头
'da'jiang'yi'jiu'xiang'dong'liu 大江依旧向东流
'da'mo'bu'hui 达磨不会
'da'mo'bu'hui'chan 达磨不会禅
'da'mo'da'shi'bu'an'ben'fen 达磨大师不安本分
'da'mo'jiu'nian'kong'mian'bi 达磨九年空面壁
'da'mo'xi'lai'jiang'cuo'jiu'cuo 达磨西来将错就错
'da'mo'xi'lai'you'di'chuan 达磨西来有底传
'da'mo'zan 达磨赞
'da'mo'zan'er'shou 达磨赞二首
'da'pai'dong'shan'wa'gu'ge 打拍东山瓦鼓歌
'da'qian'sha'jie'qi'yun'lei 大千沙界起云雷
'da'ru'dou 大如斗
'da'tang'guo'li'zhi'yi'ren 大唐国里只一人
'da'xue'man'chang'an 大雪满长安
'da'yi'jiao'mian 打一觉眠
'da'yong'zong'heng 大用纵横
'da'yu'gou'chuang'wan'bu'sha 打与狗噇顽不杀
'da'zai'guan'zi'zai 大哉观自在
'da'zhi'wu'fang 大智无方
'da'zhong'tian'zi 大中天子
'da'zhong'wen'xun 大众问讯
'dai'jiao'da'chong'dang'lu'wo 带角大虫当路卧
'dai'lei'hou'dai'er'sun 带累后代儿孙
'dai'zhe'shao'xiang 待者烧香
'dan'bo'ye'seng'jia 淡薄野僧家
'dan'ming'di'yi'yi 单明第一义
'dan'qian'jin'chan'xue'tu'long 殚千金产学屠龙
'dan'ru'jin'bi'yao'zhi'qi'suo'qie'zhi'yang 但如今必要知其所窃之羊
'dang'ji'di'mian'hui'bi'wu'men 当机觌面回避无门
'dang'lai'cheng'fo'bu'ci'zun 当来成佛补慈尊
'dang'mian'hui'que'xi'man'yan'wu'hua 当面讳却兮满眼乌华
'dang'mian'tuo'kong 当面脱空
'dang'shi'bu'yu'liang'tian'zi 当时不遇梁天子
'dang'shi'zao'de'yan'shi'xun 当时早得严师训
'dang'ti'jie'ru'huan 当体皆如幻
'dang'xia'bian'xin'an 当下便心安
'dang'yang'zuo'duan 当阳坐断
'dang'zhu'qian'kun 铛煮乾坤
'dang'zuo'ru'shi'guan 当作如是观
'dao'bu'zi'jie 刀不自截
'dao'chi'xiang'jiang'zhu'zhang'tou 刀尺相将拄杖头
'dao'cun'mu'ji 道存目击
'dao'de'shi'cheng 道得十成
'dao'fa'zi'ran 道法自然
'dao'hao'du'guo 道号毒果
'dao'hua'chui'xiang 稻花吹香
'dao'kua'yang'qi'san'jiao'lv 倒跨杨岐三脚驴
'dao'qi'ru'ru 道契如如
'dao'shu'chang'chun 道树长春
'dao'si'you'hai'bie 道似又还别
'dao'tai'shi'qing'wan'guo'ning 道泰时清万国宁
'dao'tou'bu'shi'lao'cao'yuan 到头不识老曹源
'dao'wu'xiang'er'pu'ying 道无像而普应
'dao'yu'bu'dao 到与不到
'dao'zhi'wu'nan 道至无难
'de'ci'zi'wei'xing'pian'jia 得此滋味兴偏佳
'de'de'wu'xian'qin'shang'qu 的的无弦琴上曲
'de'shan'bang 德山棒
'de'shan'pai'dao 德山排倒
'de'yun'wu'chu'hui'bi 德云无处回避
'deng'jie'yuan'lai'shi'shang'yuan 灯节元来是上元
'deng'shan'she'hai 登山涉海
'deng'shi'qing'ping'shi'jie'ren 等是清平世界人
'deng'tan'bu'xu'wo'cang'long 灯潭不许卧苍龙
'deng'xian'jin'de'gan'tou'bu 等闲进得竿头步
'deng'xian'pao'zhi'si'lun'chu 等闲抛掷丝纶处
'deng'xian'xia'lu'xiang'feng 等闲狭路相逢
'di'bu'di'tai'hua 低不低太华
'di'dai'xiang'chuan 递代相传
'di'le'shi'fang'san'shi'shi 谛了十方三世事
'di'mian'xiang'cheng 觌面相呈
'di'mian'zui'xiang'qin 觌面最相亲
