'bing'jiao'you'wei'po'ke'shi 饼焦有味婆可食
'bing'lai'bei'jiu'bu'xiang'bian 病来杯酒不相便
'bing'qi'duo'qing'bai'ri'chi 病起多情白日迟
'bing'qu'cong'liang'jian 并驱从两犍
'bing'ru'xin'nian'gan'wu'hua 病入新年感物华
'bing'shen'zui'jue'feng'lu'zao 病身最觉风露早
'bing'xue'man'shan'you'jie'fei 冰雪满山犹解飞
'bing'yu'shan'guo'zhui 病雨山果坠
'bing'zi'zheng'yue'shi'you'san 丙子正月十有三
'bo'hen'jiao'she'yi'nan'wei 波痕交涉亦难为
'bo'li'ren'qing'ce 波里任倾侧
'bo'mu'gui'lai'che'ma'pi 薄暮归来车马疲
'bo'yan'cheng'xiang'dao'lian'qian 伯颜丞相到帘前
'bo'yan'cheng'xiang'qu'jiang'jian 伯颜丞相趣降笺
'bu'bi'da'fu'neng'you'jia 不比大妇能忧家
'bu'chi'yi'zhi'shi 不持一只矢
'bu'chou'wu'lou'chuang'chuang'shi 不愁屋漏床床湿
'bu'ci'lei'bing'wo'can'yang 不辞羸病卧残阳
'bu'du'ping'lan'ren'yi'lao 不独凭栏人易老
'bu'fang'meng'mo'zha 不防盟墨诈
'bu'gan'zhe'xia'ji 不敢辄下机
'bu'geng'yi'mu'tian 不耕一亩田
'bu'gong'chen'sha'yi'bing'lai 不共尘沙一并来
'bu'gu'cui'zhong'tian 布谷催种田
'bu'guan'yan'bo'yu'feng'yu 不管烟波与风雨
'bu'guo'shi'wen'yi 不过是文移
'bu'jian'cui'luan'gui 不见翠銮归
'bu'jian'yu'chun'zhi'me'hui 不见馀春只么回
'bu'jue'qing'lin'mei'wan'chao 不觉青林没晚潮
'bu'kan'yu'jun'cheng'yi'zui 不堪与君成一醉
'bu'lun'tian'you'yan 不论天有眼
'bu'nai'er'tong'niao'que'sao 不奈儿童鸟雀搔
'bu'neng'shou'ti'tian'xia'wang 不能手提天下往
'bu'qiang'yao'wen'qi'wu'ye 步强遥闻气呜咽
'bu'ru'chang'ying'xi'chan'yu 不如长缨系单于
'bu'ru'kuai'bian'yue'di'lu 不如快鞭跃的卢
'bu'ru'que'zuo'he'bo'fu 不如却作河伯妇
'bu'ru'yi'shi'chang'qian'wan 不如意事常千万
'bu'ru'zhu'shang'gu 不如逐商贾
'bu'shang'lou'lai'zhi'ji'ri 不上楼来知几日
'bu'shi'guan'fu'yan 不识官府严
'bu'shi'lu'shan'zhen'mian'mu 不识庐山真面目
'bu'shi'xing'shan'wu'hou'tu 不使腥膻污后土
'bu'sui'liu'shui'fu'qian'xi 步随流水赴前溪
'bu'wei'nai'you'xiong'huang'shi 不谓乃有凶荒时
'bu'xi'liang'zhong'shu'yi'hu 不惜两钟输一斛
'bu'xiang'ju'yan'sai'wai'wen 不向居延塞外闻
'bu'xu'yao'fu'du'he'xing 不须邀福渡河星
'bu'yao'ren'sui'zhi'du'xing 不要人随只独行
'bu'yin'xing'xiang'rong 卜隐幸相容
'bu'yong'gui'lai'shuo'xiao'xi 不用归来说消息
'bu'yong'shu'lai'xi'zuo'xing 不用书来细作行
'bu'yu'tang'li'man'di'hua 不雨棠梨满地花
'bu'zhi'he'suo'yi 不知何所诣
'bu'zhi'nan'fang'bu'ken'xiu 不指南方不肯休
'bu'zhi'xie'lao'zhi 不知携老稚
'bu'zhi'yun'yu'wo'ju'dong 不知云与我俱东
'cai'chui'xiao'yu'you'xu'qing 才吹小雨又须晴
'cai'de'bo'tao'bian'cheng'xue 才得波涛变成雪
'cai'hua'cheng'jia'die'you'lai 菜花成荚蝶犹来
'cai'hua'yang'liu'qian'shen'huang 菜花杨柳浅深黄
'cai'jian'bai'duan'zhi'nv'yue 彩缣百段支女乐
'cai'le'can'sang'you'cha'tian 才了蚕桑又插田
'cai'li'hai'qiao'mai'shang'qing 才离海峤麦尚青
'cai'ling'xin'ku'fei'li'ju 采菱辛苦废犁鉏
'cai'qiao'shen'ru'wu'qiong'shan 采樵深入无穷山
'cai'ren'ji'wu'ren 蔡人即吾人
'cai'sang'nv'er'hong'ru'shi 采桑女儿鬨如市
'cai'sang'shi'jie'zan'xiang'feng 采桑时节暂相逢
'cai'shu'zhi'da'bu'zi'liang 才疏志大不自量
'cai'tao'wei'xin'shi'tao'shi 采桃为薪食桃实
'cai'yi'gui'ru'jin 菜亦贵如金
'cai'zu'dou'ren'ji'ju'shao 才足都人几炬烧
'can'can'yin'feng'sai'liu'xie 惨惨阴风塞柳斜
'can'chu'kuang 蚕出筐
'can'jun'chun'si'luan'ru'yun 参军春思乱如云
'can'jun'jin'wu'yu 参军噤无语
'can'jun'qi'yi'zhen 参军气益振
'can'jun'xin'ru'yan 参军心如眼
'can'jun'yi'chuai'fen 参军宜揣分
'can'jun'zai'chang'wu 参军在场屋
'can'jun'zuo'ting'shi 参军坐厅事
'can'xue'ya'zhi'you'you'ju 残雪压枝犹有橘
'cang'cang'wu'yan'se 苍苍无颜色
'cang'jiu'ming'zhu'jian 苍鸠鸣竹间
'cang'sheng'ren'dao'xuan 苍生忍倒悬
'cang'tian'cang'tian'jiao'bu'wen 苍天苍天叫不闻
'cang'zhong'qun'shu'fei 仓中群鼠肥
'cao'ba'jie'shu'zhong'shang'ma 草罢捷书重上马
'cao'cao'bei'pan'gong'xiao'yu 草草杯盘供笑语
'cao'cao'bei'shang'hen'zui'chi 草草杯觞恨醉迟
'cao'cao'guan'jun'du 草草官军渡
'cao'chong'yi'yi'ming'fu'yan 草虫咿咿鸣复咽
'cao'gen'fei'shui'zao'xin'wa 草根肥水噪新蛙
'cao'he'li'gong'zhuan'xi'hui 草合离宫转夕晖
'cao'ji'feng'lai'zuo'yao'xiang 草际风来作药香
'cao'lian'yun'an'you'cang'ya 草连云暗有藏鸦
'cao'man'hua'di'shui'man'xi 草满花堤水满溪
'cao'mu'zi'cang'ran 草木自苍然
'cao'qing'reng'guo'yu 草青仍过雨
'cao'se'xi'liu'gao'xia'bi 草色溪流高下碧
'cao'shen'tai'lv'wu'ren'xing 草深苔绿无人行
'cao'xun'chu'sai 曹勋出塞
'cao'xun'ru'sai 曹勋入塞
'cao'xun'wang'tai'hang 曹勋望太行
'ce'shen'dang'qi'chong 侧身当其冲
'ce'zhang'nong'jia'qu 策杖农家去
'ceng'bu'jia'qian'he 曾不加谴诃
'ceng'ji'san'qu'dao'zhong 曾几三衢道中
'ceng'ji'su'xiu'dao'zhong 曾几苏秀道中
'ceng'lin'die'yan'an'dong'xi 层林叠巘暗东西
'ceng'shi'jing'hong'zhao'ying'lai 曾是惊鸿照影来
'ceng'shi'luo'yang'hua'xia'ke 曾是洛阳花下客
'chang'an'cheng'zhong'duo're'guan 长安城中多热官
'chang'an'yue'se'hao'shui'kan 长安月色好谁看
'chang'dao'feng'yi'yi 长道风依依
'chang'gan'cha'lu'xi 长竿插芦席
'chang'gong'hua'bian'liu'wai'hang 长共花边柳外行
'chang'qiao'ji'mo'chun'han'ye 长桥寂寞春寒夜
'chang'wei'sheng'chuang'yi 肠胃生疮痍
'chao'duan'you'su'ji'zhou'xi'men'wai'lv'guan 晁端友宿济州西门外旅馆
'chao'jian'wu'shan'heng 朝见吴山横
'chao'tan'hui'ke'xi'xi'jiang'lian'yi 朝谭回轲兮夕讲濂伊
'chao'ting'sui'duo'xian 朝廷虽多贤
'chao'tui'gua'ni'cheng'dao'yu 潮退刮泥成岛屿
'chao'xie'yi'kuang'chu 朝携一筐出
'che'chen'bu'dao'zhang'luo'di 车尘不到张罗地
'che'ma'zheng'chi'ying'ba'zhan 车马争驰迎把盏
'che'zai'ban 车载板
'che'zhong'shu'shi'hu 车重数十斛
'chen'chui'qie'xiang'ji 晨炊且相继
'chen'qie'qian'ming'xie'dao'qing 臣妾佥名谢道清
'chen'shao'mu'shuo'dui'ji'gao 晨烧暮烁堆积高
'chen'shi'dao'bie'san'zi 陈师道别三子
'chen'shi'dao'chun'huai'shi'lin'li 陈师道春怀示邻里
'chen'shi'dao'jue'ju 陈师道绝句
