'ai'zhuan 爱转
'ba'bi'long 巴比龙
'bi'xu'pin 必需品
'bo'te'lan'deng'ta 波特兰灯塔
'bu'ai'er'bie 不爱而别
'bu'fu 不服
'chong'er'fei 虫儿飞
'dan'shui'he 淡水河
'dan'zai'xing'pai'dui 蛋仔星派对
'deng'feng'wen'ni 等风吻你
'hai'feng'yu'wan'xing 海风与晚星
'hao'ren'huai'ren 好人坏人
'hei'bai'zhi'jian 黑白之间
'hui'gu'niang 灰姑娘
'lian'ming'dai'xing 连名带姓
'luo'bi'cheng'shang 落笔成殇
'meng'gui'jin 梦归尽
'ni'de'ming'zi 你的名字
'ni'de'qing'ge 你的情歌
'ni'zhi'de'zui'hao'de 你值得最好的
'pian'ai'ren'jian'yan'huo 偏爱人间烟火
'piao'liu 漂流
'ping'xing'you'jiao'ti 平行又交替
'qi'shi'ye'hai'hao 其实也还好
'qing'bu'yao'gei'wo'an'quan'gan 请不要给我安全感
'qing'ping'le 清平乐
'shen'xin'bu'yi 深信不疑
'shi'fou'wo'zhen'de'yi'wu'suo'you 是否我真的一无所有
'shi'mian'zhe'xue 失眠哲学
'su'xi'de'shi'jie 苏西的世界
'ta'jue'de 她觉得
'wan'du'bu'qin 万毒不侵
'wo'men 我们
'wo'men'de'ai'xiang'xia'tian'de'feng 我们的爱像夏天的风
'wo'men'ke'neng'jiu'zhe'yang 我们可能就这样
'wo'xiang'wo'bu'yi'yang 我想我不一样
'xing'xing 星星
'yong'bao'ni'de'xin'tiao 拥抱你的心跳
'yu'kuai'ji'nian 愉快纪念
'yu'sheng'you'ni 余生有你
'yue'xia 月下
'yun'bian 云边
'zi'ji 自己
