'ai'ye'qing 艾叶青
'ai'ye'qing'long'shou 艾叶青龙兽
'ai'ye'qing'zong'bao 艾叶青鬃豹
'ai'ye'qing'zong'ma 艾叶青鬃马
'ao'tou'shi'zi'xue 鳌头狮子雪
'ba'ban'lai'qi'lin 八斑癞麒麟
'ba'bao'lai'qi'lin 八宝癞麒麟
'bai'shuang'ma 白骦马
'bai'yu'si'feng'ma 白玉嘶风马
'bai'yun'ma 白云马
'ban'bao'ma 斑豹马
'ban'bao'tie'hua'liu 斑豹铁骅骝
'ban'lei'mo'diao 扳肋墨雕
'ban'lei'mo'diao'tou'gu'long 扳肋墨雕透骨龙
'bao'hua'ma 豹花马
'bao'wei'wu'zhui'ma 豹尾乌骓马
'bao'yue'wu'long'ju 抱月乌龙驹
'bao'yue'wu'xie'zhi 抱月乌獬豸
'bao'yue'wu'zhui'ma 抱月乌骓马
'bao'yue'xun'huan'qing'zong'wu'xie'zhui 抱月循环青鬃乌獬骓
'bi'cong'ju 碧骢驹
'bi'mu'xue'hua'tuo 碧目雪花驼
'bo'gu'qing 鹁鸪青
'cao'huang'ma 草黄马
'chang'bo'tang'lang'shou 长脖螳螂兽
'chao'shan'yue'ying'bai'long'ju 超山越影白龙驹
'chi'dian'ju 赤电驹
'chi'feng'ma 赤风马
'chi'hong'ma 赤红马
'chi'suan'ni 赤狻猊
'chi'tan'huo'long'ju 赤炭火龙驹
'chi'tan'yan'zhi'huo'long'shou 赤炭胭脂火龙兽
'chi'tan'zao'liu'ju 赤炭枣骝驹
'chi'tu'huo'long'ju 赤兔火龙驹
'chi'tu'shou 赤兔兽
'chi'tu'yan'zhi'shou 赤兔胭脂兽
'chi'yan'ju 赤烟局
'da'du'juan'mao'guo'guo'shou 大肚卷毛蝈蝈兽
'deng'shan'lai'pi'shou 登山癞皮兽
'deng'yun'bao'ma 登云宝马
'dian'zi'fen'qing'ju 点子分青驹
'du'jiao'fen'long'ju 独角粉龙驹
'du'jiao'pen'yan'shou 独角喷焰兽
'du'jiao'pi'xiu'shou 独角貔貅兽
'du'jiao'shou 独角兽
'du'jiao'wu'yan'shou 独角乌烟兽
'fan'bei'lai'qi'lin 反背癞麒麟
'fei'shuang'qian'li'ju 飞霜千里驹
'fei'yun'zhui 飞云骓
'fen'ding'bai'long'ju 粉腚白龙驹
'fen'ding'yu'lan'ju 粉腚玉兰驹
'fen'ding'yu'long'ju 粉腚玉龙驹
'fen'qi'lin 粉麒麟
'fen'shui'shou 分水兽
'fen'zong'ji 分鬃骥
'feng'lei'bao 风雷豹
'fu'xue'wu'zhui'ma 浮雪乌骓马
'hai'yue'qing'feng'ju 海月清风驹
'han'xue'bao'ma 汗血宝马
'hei'ban'bao 黑斑豹
'hei'sha'shou 黑煞兽
'hei'zong'ma 黑鬃马
'hong'mao'shou 红毛兽
'hong'sha'ju 红砂驹
'hong'sha'shou 红砂兽
'hong'zong'ma 红鬃马
'hong'zong'shou 红鬃兽
'hu'lei'bao 虎类豹
'hua'ban'bao 花斑豹
'hua'pi'ge'da'hu 花皮疙瘩虎
'hua'yun'bao 花云豹
'huan'hong'ma 獾红马
'huang'biao'ma 黄骠马
'huang'biao'tou'gu'long 黄骠透骨龙
'huang'zong'ma 黄鬃马
'huang'zong'shou 黄鬃兽
'hun'hong'shou 浑红兽
'huo'liu'ju 火骝驹
'huo'tan'chi'ma 火炭赤马
'huo'tan'ma 火炭马
'huo'yan'jin'jing'shou 火眼金睛兽
'huo'yan'ju 火焰驹
'huo'yun'zhan'ma 火云战马
'ji'zu'pa'shan'shou 鸡足爬山兽
'jiang'cao'huang 姜草黄
'jin'ji'shan'dian'bai'long'ju 金鸡闪电白龙驹
'jin'jing'hun'hong'ma 金睛浑红马
'jin'jing'mo'jiao'shou 金睛墨角兽
'jin'jing'shan'dian'bai'long'ju 金睛闪电白龙驹
'jin'jing'xiao'bai'long'ju 金睛小白龙驹
'jin'jing'xue'hua'tuo 金睛雪花驼
'jin'jing'yu'xue'juan'mao'shi'zi'shou 金睛玉雪卷毛狮子兽
'jin'mao'hou 金毛吼
'jin'xian'bai'long'ju 金线白龙驹
'jin'yan'wu'hua'qiu 金眼五花虬
'jiu'di'gun'long'zhui 就地滚龙追
'jiu'dian'hua'ban'bao 九点花斑豹
'jiu'dian'ju'hua'bao 九点菊花豹
'jiu'dian'ju'hua'ma 九点菊花马
'jiu'dian'tao'hua'shou 九点桃花兽
'jiu'dian'yan'zhi'shou 九点胭脂兽
'jiu'ding'ju'hua'bao 九顶菊花豹
'ju'hua'qing 菊花青
'juan'mao'hou 卷毛吼
'juan'mao'qing'zong'shou 卷毛青鬃兽
'juan'mao'shi'zi'ta'xue'ao 卷毛狮子踏雪骜
'juan'mao'shi'zi'ta'xue'wu 卷毛狮子踏雪乌
'juan'mao'shi'zi'ta'xue'wu'long'ju 卷毛狮子踏雪乌龙驹
'juan'mao'shi'zi'ta'xue'wu'zhui'ma 卷毛狮子踏雪乌骓马
'juan'mao'shi'zi'wu 卷毛狮子乌
'juan'mao'shi'zi'yi'zhang'hei 卷毛狮子一丈黑
'juan'mao'wu'zhui'ma 卷毛乌骓马
'juan'mao'yu'shi'zi 卷毛玉狮子
'jue'chen'ju 绝尘驹
'kao'shan'xue'hua'cong 靠山雪花骢
'li'di'gun'feng'zhui 立地滚风骓
'li'hua'bai 梨花白
'li'zi'se 栗子色
'liu'hua'lie'yan'ju 骝花烈焰驹
'lu'hua'zhan'zheng'ju 芦花战争驹
'mei'hua'dian'zi'ma 梅花点子马
'mei'hua'xue'li'zhan 梅花雪里站
'mo'ding'yin'he'shou 墨顶银河兽
'mo'jiao'lai'qi'lin 墨角癞麒麟
'mo'qi'lin 墨麒麟
'nao'tou'shi'zi'deng'shan'xue 挠头狮子登山雪
'nao'tou'shi'zi'hei 挠头狮子黑
'nao'tou'shi'zi'xue 挠头狮子雪
'nian'yue'bai'long'ju 撵月白龙驹
'qi'lin'ma 麒麟马
'qian'li'bao 千里豹
'qian'li'chi 千里赤
'qian'li'du'xing'yi'zhan'deng 千里独行一盏灯
'qian'li'huo'long'ju 千里火龙驹
'qian'li'huo'yan'ju 千里火焰驹
'qian'li'wu'yun'bao 千里乌云豹
'qian'li'xiang'pi'ju 千里橡皮驹
'qian'li'xue'lei'yi'zhan'deng 千里雪肋一盏灯
'qian'li'yan'zhi'xue 千里胭脂雪
'qian'li'yi'zhan'deng 千里一盏灯
'qian'li'yi'zhang'qing 千里一丈青
'qian'li'yi'zhen'feng 千里一阵风
'qian'li'yin'he'bai'long'ju 千里银河白龙驹
'qian'li'yin'he'yi'dian'bai 千里银河一点白
'qian'li'yin'he'yi'dian'hong 千里银河一点红
'qian'li'zhui'feng'bai'long'ma 千里追风白龙马
'qing'cong'ma 青骢马
'qing'feng'zi 青风紫
'qing'hua'cong 青花骢
'qing'hua'ma 青花马
'qing'long'ju 青龙驹
'qing'quan'shou 青泉兽
'qing'sha'shou 青煞兽
'qing'sha'shou 青砂兽
'qing'tou'jin'yan'shou 青头金眼兽
'qing'yun'shou 青云兽
'qing'zong'ma 青鬃马
'qing'zong'shou 青鬃兽
'qing'zong'zhui'feng'ju 青鬃追风驹
'ri'yue'shuang'xiao'ma 日月骦霄马
'ri'yue'su'shuang'ma 日月骕骦马
'ri'yue'xiao'shuang'te 日月骁骦特
'sai'feng'zhui'ri'qian'li'ju 赛风追日千里驹
'sai'lu'tie'bao'hua 赛鹿铁豹骅
