'bai'lang 白狼
'bei'fu 被服
'bing'yong 兵俑
'chi'she 赤舌
'chou'shi'zhi'nv 丑时之女
'ci'mu'tong'zi 茨木童子
'da'tian'gou 大天狗
'dao'mu'xiao'gui 盗墓小鬼
'deng'long'gui 灯笼鬼
'di'zang'xiang 地藏像
'du'yan'xiao'seng 独眼小僧
'e'gui 饿鬼
'er'kou'nv 二口女
'fan'zhen 反枕
'feng'huang'huo 凤凰火
'gu'huo'niao 姑获鸟
'gu'nv 骨女
'guan'hu 管狐
'gui'nv'hong'ye 鬼女红叶
'gui'shi'bai 鬼使白
'gui'shi'hei 鬼使黑
'hai'fang'zhu 海坊主
'he'tong 河童
'hei'bao 黑豹
'hu'die'jing 蝴蝶精
'hui'bi'shou 惠比寿
'ji'sheng'hun 寄生魂
'jiao'tu 椒图
'jie'jie'tu'po 结界突破
'jing'ji 镜姬
'jiu'ming'mao 九命猫
'jiu'tun'tong'zi 酒吞童子
'jue'xing 觉醒
'kui'lei'shi 傀儡师
'li'mao 狸猫
'li'yu'jing 鲤鱼精
'lian'you 镰鼬
'luo'xin'fu 络新妇
'mei'yao 魅妖
'meng'po 孟婆
'ming'wu 鸣屋
'nie'pan'zhi'huo 涅槃之火
'pan'guan 判官
'po'shi 破势
'qing'ji 清姬
'qing'ming 晴明
'qing'wa'ci'qi 青蛙瓷器
'qing'xing'deng 青行灯
'quan'shen 犬神
'ri'nv'si'shi 日女巳时
'san'wei 三味
'san'wei'hu 三尾狐
'shan'tong 山童
'shan'tu 山兔
'shen'le 神乐
'shi'fa'gui 食发鬼
'shi'meng'mo 食梦貘
'shi'shen 式神
'shi'shen'sui'pian 式神碎片
'shou'wu 首无
'shu'yao 树妖
'shuang'mian'fo 双面佛
'tang'zhi'san'yao 唐纸伞妖
'tao'hua'yao 桃花妖
'ti'deng'xiao'seng 提灯小僧
'tian'xie'gui'chi 天邪鬼赤
'tian'xie'gui'huang 天邪鬼黄
'tian'xie'gui'lv 天邪鬼绿
'tian'xie'gui'qing 天邪鬼青
'tiao'tiao'di'di 跳跳弟弟
'tiao'tiao'ge'ge 跳跳哥哥
'tiao'tiao'mei'mei 跳跳妹妹
'tiao'tiao'quan 跳跳犬
'tie'shu 铁鼠
'tong'nan 童男
'tong'nv 童女
'tu'bi 涂壁
'tuo'fei'ru'ou 脱非入欧
'wang'liang'zhi'xia 魍魉之匣
'wang'qie 网切
'wu'gu'shi 巫蛊师
'wu'shi'zhi'ling 武士之灵
'xi'xue'ji 吸血姬
'xiao'lu'nan 小鹿男
'xin'yan 心眼
'xuan'shang'feng'yin 悬赏封印
'xue'nv 雪女
'xue'you'hun 雪幽魂
'ya'tian'gou 鸦天狗
'yan'mo 阎魔
'yao'dao'ji 妖刀姬
'yao'hu 妖狐
'yao'qin'shi 妖琴师
'yin'mo'luo 阴摩罗
'ying'cao 萤草
'ying'hua'yao 樱花妖
'yu'hun 御魂
'yu'nv 雨女
'yuan'bo'ya 源博雅
'zhao'cai'mao 招财猫
'zhen'nv 针女
'zhong'ling 钟灵
'zhou'shen 帚神
'zuo'fu'tong'zi 座敷童子
