'cai'pan'yuan 裁判员
'chong'xin 重新
'chong'xin'jin'gong 重新进攻
'cong'xin'jin'gong 从新进攻
'cuo'wu'dong'zuo 错误动作
'da'kai'dui'shou'de'jian 打开对手的剑
'dian'dong'hua'jian 电动花剑
'dian'dong'pei'jian 电动佩剑
'dian'dong'zhong'jian 电动重剑
'duo'shan 躲闪
'fan'gong 反攻
'fang'shou 防守
'fang'shou'cheng'gong 防守成功
'fang'shou'zhe'yi'fang'bei'ji'zhong 防守者一方被击中
'fu'za'jin'gong 复杂进攻
'hu'mian 护面
'hu'shou'pan 护手盘
'hua'jian'hu'mian 花剑护面
'huan'ji 还击
'huan'ji'bu'ji'shi 还击不及时
'huan'man'chi'dun 缓慢迟钝
'ji'da 击打
'ji'jian'shi'jian 击剑时间
'ji'jian'xian 击剑线
'jia'dong'zuo 假动作
'jian'dan'huan'ji 简单还击
'jian'dan'jin'gong 简单进攻
'jin'gong'zhe'yi'fang'bei'ji'zhong 进攻者一方被击中
'lian'xu 连续
'lian'xu'jin'gong 连续进攻
'pan'duan 判断
'pei'jian'hu'mian 佩剑护面
'pei'jian'tou'xian 佩剑头线
'pi'ci 劈刺
'qu'xiao 取消
'shi'zhan'zi'shi 实战姿势
'shou'hui'shou'bi 收回手臂
'shou'shou 收手
'ting'dun 停顿
'tong'shi'dong'zuo 同时动作
'tou'xian 头线
'xiang'hu'ji'zhong 相互击中
'xun'lian'hua'jian 训练花剑
'xun'lian'pei'jian 训练佩剑
'xun'lian'zhong'jian 训练重剑
'yan'xu 延续
'yan'xu'jin'gong 延续进攻
'you'shi 优势
'you'yu 犹豫
'you'yu'bu'jue 犹豫不决
'zhong'jian'hu'mian 重剑护面
'zi'shi 姿势
