'an'qi'la 安其拉
'bai'qi 白起
'bian'que 扁鹊
'bu'zhi'huo'wu 不知火舞
'cai'wen'ji 蔡文姬
'cao'cao 曹操
'cheng'yao'jin 程咬金
'da'ji 妲己
'da'mo 达摩
'di'ren'jie 狄仁杰
'dian'wei 典韦
'diao'chan 貂蝉
'dong'huang'tai'yi 东皇太一
'gao'jian'li 高渐离
'gong'ben'wu'zang 宫本武藏
'guan'yu 关羽
'han'xin 韩信
'hou'yi 后羿
'hua'mu'lan 花木兰
'jiang'zi'ya 姜子牙
'jing'ke 荆轲
'lan'ling'wang 兰陵王
'lao'fu'zi 老夫子
'li'bai 李白
'li'yuan'fang 李元芳
'lian'po 廉颇
'liu'bang 刘邦
'liu'bei 刘备
'liu'shan 刘禅
'lu'ban'qi'hao 鲁班七号
'lu'na 露娜
'lv'bu 吕布
'mi'yue 芈月
'mo'zi 墨子
'na'ke'lu'lu 娜可露露
'niu'mo 牛魔
'sun'bin 孙膑
'sun'shang'xiang 孙尚香
'sun'wu'kong 孙悟空
'wang'zhao'jun 王昭君
'wu'ze'tian 武则天
'xiang'yu 项羽
'xiao'qiao 小乔
'ya'se 亚瑟
'ying'zheng 嬴政
'yu'ji 虞姬
'zhang'fei 张飞
'zhang'liang 张良
'zhao'yun 赵云
'zhen'ji 甄姬
'zhong'kui 钟馗
'zhong'wu'yan 钟无艳
'zhou'yu 周瑜
'zhuang'zhou 庄周
