'da'mi'mi 大幂幂
'guo'xiang 郭襄
'hao'an'qi 郝安琪
'hu'xiao'mi 狐小幂
'lin'xiao 林萧
'ling'nv 灵女
'mi'feng 蜜蜂
'mi'jie 幂姐
'mi'mi 幂幂
'mi'ruo'an'hao'bian'shi'qing'tian 幂若安好便是晴天
'nuo'mi'ma 糯米妈
'nv'shen 女神
'qing'chuan 晴川
'qing'li 青璃
'qing'xue 晴雪
'que'er 雀儿
'ru'yi 如意
'si'xiao'hua'dan 四小花旦
'su'su 苏苏
'tao'hua'kai 桃花开
'tian'xin 天心
'wang'zhao'jun 王昭君
'xi'yao 夕瑶
'xia'wan'qing 夏晚晴
'xiao'chun 小春
'xiao'hong 小红
'xiao'nuo 小诺
'xue'jian 雪见
'xun'xun'mi'mi'bu'li'bu'qi 寻寻幂幂不离不弃
'zi'xi 紫曦
