'chang'du'ji'liang 长度计量
'dian'jie'dian'ya'li'biao 电接点压力表
'ji'he'ji'liang 几何计量
'ji'liang'jian'ce'bu 计量检测部
'jian'ding 检定
'jian'ju 检具
'jian'ya'fa 减压阀
'jiao'zhun 校准
'jing'ce 精测
'jing'mi'ce'liang 精密测量
'liang'ju 量具
'liang'yi 量仪
'liu'liang'ji 流量计
'san'da'lei 三大类
'shi'yan 试验
'ya'qi'biao 氩气表
'yang'qi'biao 氧气表
'yi'que'biao 乙炔表
