'a'si'pi'er 阿斯皮尔
'di'lie'lian 地裂镰
'dian'xi'da'shi 电系大师
'han'bing'biao 寒冰镖
'han'bing'da'shi 寒冰大师
'hong'she'wu'shi 红蛇武士
'huang'jin'wu'qi 黄金武器
'huo'xi'da'shi 火系大师
'huo'yan'jian 火焰剑
'jia'man'dou 加满都
'kuang'mang'zhan'shi 狂蟒战士
'lao'ai'de 劳埃德
'mo'ri'shi'zhong 末日时钟
'ni'ya 妮雅
'shan'dian'shuang'jie'gun 闪电双节棍
'shui'xi'da'shi 水系大师
'si'ke'te 斯科特
'ta'luo'zhi'yao 塔罗之钥
'tian'le 天乐
'tu'xi'da'shi 土系大师
'yuan'su'da'shi 元素大师
'zhi'huo'zhe 制火者
