'chong'die'fu'gai 重叠覆盖
'chong'xuan 重选
'dai'kuan 带宽
'fang'wei'jiao 方位角
'gan'rao 干扰
'hong'zhan 宏站
'hu'cao'zuo 互操作
'jing'du 经度
'pin'duan 频段
'qie'huan 切换
'qie'huan'can'shu 切换参数
'ruo'fu'gai 弱覆盖
'shi'fen 室分
'tian'kui'can'shu 天馈参数
'wei'du 纬度
'xin'hao'qiang'du 信号强度
'xin'hao'zhi'liang 信号质量
'yue'qu'fu'gai 越区覆盖
'zhong'duan 终端
