'jian'zhu'she'ji'shuo'ming 建筑设计说明
'jian'zhu'sheng'xue 建筑声学
'jian'zhu'sheng'yuan 建筑声源
'jian'zhu'shi 建筑师
'jian'zhu'shi'nei'she'ji 建筑室内设计
'jian'zhu'wu 建筑物
'jian'zhu'wu'li 建筑物理
'jian'zhu'wu'ti'xing'xi'shu 建筑物体形系数
'jian'zhu'xi'sheng 建筑吸声
'jian'zhu'xiang'tu 建筑详图
'jian'zhu'xue 建筑学
'jian'zhu'zhe'yang 建筑遮阳
'jiao'shi 教室
'jiao'tang 教堂
'jiao'tong'jian'zhu 交通建筑
'jiao'xue'yong'fang 教学用房
'jiao'yu'jian'zhu 教育建筑
'jie'ti'jiao'shi 阶梯教室
'jin'rong'jian'zhu 金融建筑
'jin'shen 进深
'jing'sai'qu 竞赛区
'jiu'dian'shi'ban'gong'lou 酒店式办公楼
'jiu'dian'shi'gong'yu 酒店式公寓
'ju'liu'suo 拘留所
'ju'yuan 剧院
'ju'zhu'jian'zhu 居住建筑
'ju'zhu'kong'jian 居住空间
'juan'lian 卷帘
'kai'jian 开间
'kan'shou'suo 看守所
'kan'tai 看台
'ke'ji'guan 科技馆
'ke'jian'guang'fan'she'lv 可见光反射率
'ke'jian'guang'tou'she'lv 可见光透射率
'ke'ting 客厅
'ke'xing'xing'yan'jiu 可行性研究
'ke'xue'shi'yan'jian'zhu 科学实验建筑
'kong'qi'tiao'jie 空气调节
'kong'tiao'du'ri'shu 空调度日数
'kong'tiao'nian'hao'dian'liang 空调年耗电量
'ku'fang 库房
'kuai'can'dian 快餐店
'lan'gan 栏杆
'lao'hu'chuang 老虎窗
'lao'nian'ren'zhu'zhai 老年人住宅
'le'jiao 勒脚
'li'liao'shi 理疗室
'li'mian'tu 立面图
'li'shi'jian'zhu 历史建筑
'lian'lang 连廊
'lian'pai'shi'zhu'zhai 联排式住宅
'lian'ying'shang'chang 联营商场
'lou'ban 楼板
'lou'ti 楼梯
'lou'ti'jian 楼梯间
'lou'ti'jing 楼梯井
'lou'zuo 楼座
'lu'yin'shi 录音室
'lv'di'lv 绿地率
'lv'guan 旅馆
'lv'se'jian'zhu 绿色建筑
