'ao'tu'ya'xian 凹凸压线
'ba'yuan 扒圆
'bai'du 白度
'ban'chang 板长
'ban'kuan 板宽
'bian'ya 边压
'bian'ya'qiang'du 边压强度
'bian'ya'xi'shu 边压系数
'biao'he 裱合
'biao'zhi 裱纸
'biao'zhi'ji 裱纸机
'cai'cha 彩插
'cai'he 彩盒
'cai'xiang 彩箱
'cai'zhi 材质
'cha'ye 插页
'chai'duo 拆垛
'chai'fen 拆分
'chan'mo 缠膜
'chan'mo'ji 缠膜机
'chang'ge'dang 长隔档
'chang'jia'dang 长夹档
'chang'nei'wu'liu 厂内物流
'chang'pian 长片
'chong'kong 冲孔
'chu'shu 出数
'chu'zhi'chang'kuan 出纸长宽
'chu'zhi'fang'xiang 出纸方向
'chui'mo 吹膜
'chuo'chuan 戳穿
'chuo'chuan'qiang'du 戳穿强度
'chuo'chuan'xi'shu 戳穿系数
'ci'pin'ban 次品板
'ci'pin'shu 次品数
'da'bao'ji 打包机
'da'dai 打带
'da'dai'ji 打带机
'da'du'zhi 大度纸
'da'pian 大片
'dan'dao 单刀
'dao'shu 道数
'di'gai 地盖
'di'tou'gui'ju 地头规矩
'diao'kou 叼口
'die'gai'xiang 叠盖箱
'ding'dan 订单
'ding'hu'ji 钉糊机
'ding'hu'yi'ti'ji 钉糊一体机
'ding'xiang'hu'xiang'ji 钉箱糊箱机
'ding'xiang'ji 钉箱机
'ding'zhan'yi'ti'ji 钉粘一体机
'duan'ge'dang 短隔档
'duan'jia'dang 短夹档
'duan'pian 短片
'dui'biao 对裱
'dui'duo 堆垛
'dui'kai 对开
'duo'shu 垛数
'fang'juan 放卷
'fei'ji'he 飞机盒
'fei'jie 飞接
'fei'lin 菲林
'fen'chai 分拆
'fen'juan 分卷
'fen'qie 分切
'fen'zhi 分纸
'feng'wo 蜂窝
'fu'juan 复卷
'fu'juan'fen'qie 复卷分切
'fu'kuan 幅宽
'fu'mo 覆膜
'ge'dang 隔档
'gong'dan 工单
'gong'ji 共挤
'gua'mian'zhi 挂面纸
'guang'hua'du 光滑度
'guang'you 光油
'gun'tong 滚筒
'hai'mian 海绵
'hu'he 糊盒
'hu'he'ji 糊盒机
'huan'chen 环衬
'huan'xing 换型
'huan'ya 环压
'huan'ya'qiang'du 环压强度
'huan'ya'xi'shu 环压系数
'hui'ban 灰板
