'chun'jiang'mi'fen 春江米粉
'di'qiu'kan'ce'yu'xin'xi'ji'shu 地球勘测与信息技术
'dian'ji'xi 电计系
'gui'shu'lin 桂树林
'hui'zhi'lin 惠之林
'jian'gan'lu 建干路
'jiao'jiu'lou 教九楼
'ju'lai'fu 聚来福
'lu'he'lu 六合路
'mi'fen 米粉
'niu'nan'fen 牛腩粉
'ping'feng'xiao'qu 屏风校区
'qie'fen 切粉
'san'mao'kao'yu 三毛烤鱼
'xin'xi'ke'xue'yu'gong'cheng'xue'yuan 信息科学与工程学院
'xiong'ben'da'xue'jiao'huan'sheng'ji'hua 熊本大学交换生计划
'xue'gong'bu 学工部
'yan'jiu'sheng'chu 研究生处
'yan'shan'xiao'qu 燕山校区
