'a'mai 阿麦
'ai'qing 爱情
'an'mian'xiang 安眠香
'ba'zhen'yi'mu'wan 八珍益母丸
'bao'jin'lou 宝津楼
'bao'xiao 爆笑
'bei'mo'jun 北漠军
'cai'qing'she 菜青蛇
'chen'liang'di 陈良娣
'chen'shu'fei 陈淑妃
'cheng'zu'huang'di 成祖皇帝
'chu'wang'dian'xia 楚王殿下
'chuan'yue 穿越
'cu'ju 蹴鞠
'cui'yu'dou'gao 翠玉豆糕
'da'hong'gong'qun 大红宫裙
'da'ming'gong 大明宫
'da'tian'gua 大甜瓜
'da'zi'nv'ren 鞑子女人
'dan'ding'di 淡定帝
'duan'wu'suo 端午索
'e'gao'pen'wen'xi 恶搞喷文系
'fan'bang'mei'ren 番邦美人
'fu'chi'jin'pai 符敕金牌
'fu'ping'shui'shi 阜平水师
'fu'yuan'si 福缘寺
'ge'zi'bo'li'gao 鸽子玻璃糕
'gu'zhuang 古装
'guo'jun'chen 郭俊辰
'han'huai'cheng 韩怀成
'he'bing'ze 贺秉则
'hei'yao'zi 黑鹞子
'huang'liang'yuan 黄良媛
'huang'xian'fei 黄贤妃
'ji'ji'li 及笄礼
'jiang'bei'da'ying 江北大营
'jiang'qi'lin 江奇霖
'jiang'shi 江氏
'jiang'ying'yue 江映月
'jing'guo'gong 靖国公
'jing'yang 靖阳
'jiu'qu'xia 九曲峡
'jiu'wang 九王
'lao'bao 老鸨
'li'cheng'hui 李承徽
'li'hong 李弘
'li'shi'wei 李侍卫
'li'zhao'yi 李昭仪
'li'zi'gao 栗子糕
'lian'zi'gao 莲子糕
'liu'li'fei 刘丽妃
'lun'su'zhi 轮宿制
'luo'ti'jin'pin 裸体禁品
'lv'hao'ji'ji 侣皓吉吉
'lv'hao'zhe 侣皓喆
'lv'li 绿篱
'mao'ce'jun 茅厕君
'mi'zhi'xiao'zao 蜜汁小枣
'nan'xia 南夏
'ni'hong'guo 霓虹国
'ning'cui'ge 凝翠阁
'nuo'mi'liang'gao 糯米凉糕
'nv'er'jie 女儿节
'ping'ning'cheng 平宁城
'qi'han 齐翰
'qi'hao 齐灏
'qi'sheng 齐晟
'qiang'gong'gong 强公公
'san'xian 散仙
'shang'shu'fu 尚书府
'sheng'dou 盛都
'sheng'yi'lun 盛一伦
'shi'ba'mo'de'xiao'diao'zi 十八摸的小调子
'shuang'se'dou'gao 双色豆糕
'shui'jing'gao 水晶糕
'si'dun 死遁
'si'ming'xing'jun 司命星君
'song'tai'yi 宋太医
'tai'hou 太后
'tai'hou'lin'shi 太后林氏
'tai'xing 泰兴
'tai'ye'chi 太液池
'tai'zi'fei 太子妃
'wan'jiang 宛江
'wang'mei'xuan 望梅轩
'wang'zhao'xun 王昭训
'wei'er 葳儿
'wei'yuan'gong'zhu 玮元公主
'wu'du'ling'fu 五毒灵符
'xi'ju 喜剧
'xian'cheng 鲜橙
'xiang'tang 香汤
'xiao'dou'gao 小豆糕
'xin'nv 信女
'xing'sheng'gong 兴圣宫
'xuan'se'jin'pao 玄色锦袍
'yan'chun'dian 延春殿
'yan'chun'ge 延春阁
'yang'su 杨肃
'yang'yan 杨严
'yang'yu 杨豫
'you'lan'dian 幽兰殿
'yu'meng'long 于朦胧
'yun'xi 云西
'zhang'cha'cha 张茶茶
'zhang'jia'he'fu 张家阖府
'zhang'ling'ling 张灵灵
'zhang'mu 张母
'zhang'peng 张鹏
'zhang'peng'peng 张芃芃
'zhang'shi 张氏
'zhang'tian'ai 张天爱
'zhang'xuan 张轩
'zhao'fu'zong'guan 赵府总管
'zhao'wang 赵王
'zhao'yang'jun'zhu 朝阳郡主
'zhong'shu'shi'lang 中书侍郎
'zi'zhu'lin 紫竹林
'zuo'yi'wei'jiang'jun 左翊卫将军
