'a'jin 阿金
'a'ruan 阿软
'a'tai 阿泰
'ai'zi'bao 矮子宝
'bao'bao 宝宝
'bian'tai'yan 变态妍
'chou'bao 抽宝
'chou'chou 抽抽
'chou'chou'dui'zhang 抽抽队长
'chou'dui 抽队
'chou'feng'yan 抽风妍
'chou'jiong 抽囧
'chou'nv'shen 抽女神
'chou'ye 抽爷
'duan'shen 短身
'guo'da 果达
'guo'dong 果冻
'huo'li'chou 活力抽
'jin'chou'chou 金抽抽
'jin'da'ma 金大妈
'jin'da'meng 金大萌
'jin'ge'shou 金歌手
'jin'jin 金金
'jin'nuo'nuo 金耎耎
'jin'ruan'ruan 金软软
'jin'shua'shua 金耍耍
'jin'tai'hua 金泰花
'jin'tai'meng 金太萌
'jin'tai'meng 金泰萌
'jin'tai'ruan 金太软
'jin'tai'yan 金太妍
'jin'tai'yan 金泰妍
'jin'xiao'chou 金小抽
'jin'xiao'ruan 金小软
'jin'ye 金爷
'jin'zong'gong 金总攻
'lao'da 老大
'ma'ma 麻麻
'meng'ruan 萌软
'meng'shen 萌神
'nuo'nuo 耎耎
'rong'yan 容妍
'ruan'ruan 软软
'sha'dai'yan 傻呆妍
'sha'zi'yan 傻子妍
'shua'shua 耍耍
'tai'bao 泰宝
'tai'chou 泰抽
'tai'gu 泰古
'tai'hua 泰花
'tai'nuo 泰耎
'tai'ruan 泰软
'tai'tai 泰泰
'tai'wang 泰王
'tai'yan 太妍
'tai'yan 泰妍
'tai'yan'ma'ma 泰妍妈妈
'tong'yan'chou'dui 童颜抽队
'tong'yan'dui'zhang 童颜队长
'tong'yan'zhu'chang 童颜主唱
'wan'nian'tong'yan 万年童颜
'wo'tai 我泰
'xiao'bai'xiong 小白熊
'xiao'chou 小抽
'xiao'dui 小队
'xiao'gui'dui'zhang 小鬼队长
'xiao'hua 小花
'xiao'ping'guo'da'ren 削苹果达人
'xiao'wang'zhi 小王纸
'yan'er 妍儿
'ying'tao'yan 樱桃妍
'zhi'bao 纸宝
'zhi'pian'ren 纸片人
'zhi'pian'tai 纸片泰
