'ba'te 八特
'bang'qiu'bang 棒球棒
'bao'kang 包抗
'bu'ji'dian 补给点
'cai'tan'jiu'ren 踩痰救人
'chuan'qiang 穿墙
'da'bao 打包
'da'lao 大佬
'da'tie 打铁
'dan'pen 单喷
'dan'zhi'tie'lian 胆汁贴脸
'dan'zhi'zha'dan 胆汁炸弹
'dao'miao 刀秒
'dian'ji 电击
'dian'ju'bang 电锯帮
'dian'liao 电疗
'dou'quan 兜圈
'duan'dao 短刀
'dui'kang 对抗
'e'meng'jing'li 噩梦经历
'fu'tou 斧头
'gan'ran'ji'jie 感染季节
'gao'bao'dan 高爆弹
'gao'shi'liu'shi'si'zi'jue 搞事六十四字决
'gu'dan'qiang'shou 孤胆枪手
'gu'shen'yi'ren 孤身一人
'gua'bian 挂边
'hei'dao 黑刀
'hei'qiang 黑枪
'hou'zi 猴子
'ji'guang'miao'zhun'qi 激光瞄准器
'ji'qiang'miao'mei 机枪秒妹
'ji'qiao'zhi'lu 技巧之路
'ji'su 激素
'ji'ta 吉他
'jin'chang'wen'bao 进场问包
'jin'lu 近路
'jin'zhan 近战
'jing'gun 警棍
'jue'chu'qiu'sheng 绝处求生
'ka'guai 卡怪
'ka'men 卡门
'ka'wei 卡位
'kai'shan'dao 开山刀
'ke'ju'pao'fen 克局跑分
'ke'yao 嗑药
'kong'qi'qiang 空气墙
'kou'shui 口水
'kou'shui'xian'huo 口水先活
'lian'fa 连发
'lian'pen 连喷
'lian'tiao 连跳
'lie'ren'pai'dui 猎人派对
'liu'dan'pao 榴弹炮
'lv'xue'qia'yao 绿血恰药
'ma'ge'nan 马格南
'mei'qi'guan 煤气罐
'mei'you'jiu'shu 没有救赎
'meng'xin 萌新
'miao'mei 秒妹
'miao'mei'gei'yao 秒妹给药
'miao'sha 秒杀
'niu'qiang'hou'zi 牛抢猴子
'nv'ren'kuang'xiao 女人狂笑
'nv'wu 女巫
'pang'zi 胖子
'pang'zi'zha'kong 胖子炸控
'pao'tu 跑图
'pen'miao 喷秒
'ping'di'guo 平底锅
'qi'shi'pai'dui 骑师派对
'qiang'qiang'bao'tou 枪枪爆头
'qiao'gun 撬棍
'qin'wang'rao'zhu 秦王绕柱
'qing'dao'si'nue 清道肆虐
'qiu'fu 求扶
'qiu'sheng'zhi'lu 求生之路
'ran'shao'dan 燃烧弹
'ran'shao'ping 燃烧瓶
'she'tou 舌头
'sheng'cun'dui'kang 生存对抗
'shi'chao 尸潮
'shi'liu'te 十六特
'shi'xue'dui'kang 失血对抗
'shui'liao 水疗
'shui'niu 水牛
'si'jian'ke 四剑客
'si'wang'zhi'men 死亡之门
'su'kan 速砍
'su'pen 速喷
'tan'ke 坦克
'tan'ke'kong'quan 坦克空拳
'tao'lu 套路
'te'gan 特感
'te'gan'su'di 特感速递
'tiao'hai 跳海
'tie'ren'yi'zhi 铁人意志
'tu'zhi'zha'dan 土质炸弹
'tui'te 推特
'wu'fa'jin'shen 无法近身
'wu'shi'dao 武士刀
'wu'shi'tiao'lou 无事跳楼
'wu'xian'tan'ke 无限坦克
'xia'yan'hei'qiang 瞎眼黑枪
'xian'zhi 闲置
'xie'gao 写高
'xie'shi'dui'kang 写实对抗
'xie'zhuan 写专
'xue'liu'bu'zhi 血流不止
'yan'hu 掩护
'yang'qi'ping 氧气瓶
'yao'kang 药抗
'yao'pian 药片
'yi'dong'jun'huo'ku 移动军火库
'yi'ren'jiu'shu 一人救赎
'yi'yao'bao 医药包
'yin'miao 引秒
'you'tong 油桶
'zha'zhen 扎针
'zhi'ling 指令
'zhu'ru'wei'dui 侏儒卫队
'zhu'ru'zhi'liao 侏儒治疗
'zou'wei 走位
'zuo'si 作死
