'ce'xian'huo'pao 侧舷火炮
'chuan'shou 船艏
'chuan'wei 船艉
'dan'wei 单桅
'dan'wei'fan'chuan 单桅帆船
'feng'fan'zhan'lie'jian 风帆战列舰
'gai'lun'chuan 盖伦船
'heng'fan 横帆
'ka'la'ke'chuan 卡拉克船
'qing'xing'huo'qi 轻型火器
'san'jiao'fan 三角帆
'san'wei 三桅
'san'wei'fan'chuan 三桅帆船
'shou'lou 艏楼
'shuang'wei 双桅
'shuang'wei'fan'chuan 双桅帆船
'si'wei 四桅
'si'wei'fan'chuan 四桅帆船
'wei'lou 艉楼
'wu'wei 五桅
'wu'wei'fan'chuan 五桅帆船
'you'xian 右舷
'zhan'lie 战列
'zong'lie 纵列
'zuo'xian 左舷
