'ba'gu 八股
'ba'xin 靶心
'ba'zhi 靶纸
'bai'da 摆打
'bai'la 白蜡
'bang'li'shi 邦力士
'bao'ya'gong 龅牙弓
'bian'ka 扁卡
'bian'pi'jin 扁皮筋
'bo'li'zhu 玻璃珠
'ce'kai 侧开
'cha'xing'gong 叉形弓
'cha'ye'cha 茶叶叉
'chao'yin'su 超音速
'chou'shou 抽手
'chu'su'du 初速度
'chun'pi'jin 纯皮筋
'da'hai'yu 大海鱼
'da'la'ju 大拉距
'da'lian 打脸
'dan'da 弹打
'deng'fei'hu 邓飞虎
'diao'da 吊打
'ding'kai 顶开
'ding'wei'cao 定位槽
'dong'neng 动能
'dou'dou'she'shou 兜兜射手
'duan'la'ju 短拉距
'dui'chuan 对穿
'fan'nie 反捏
'fei'hu'cha 飞虎叉
'gang'zhu 钢珠
'gao'xian'pi'dou 高纤皮兜
'gong'bi 弓臂
'gong'gao 弓高
'gong'kuan 弓宽
'gong'men 弓门
'gong'shang 弓商
'gong'wu'bu'ke 弓无不克
'gong'zuo'kuang 弓作狂
'gou'gou'zhuan'jia 狗狗专家
'gu'da 估打
'gu'miao'da 估瞄打
'gui'hua 桂花
'gun'dao 滚刀
'guo'ding'gong 过顶弓
'guo'ding'yuan'pi'jin'gong 过顶圆皮筋弓
'heng'wo 横握
'hou'shou 后手
'hu'die'lan 蝴蝶兰
'hu'die'shi 蝴蝶式
'huang'hua'li 黄花梨
'huang'lu 黄栌
'huang'yang 黄杨
'hui'tan'su'du 回弹速度
'hui'xiao 灰枭
'ji'di'lao'yao 极地老妖
'ji'qi'da'mo 机器打磨
'ji'wei'jiu'pi'jin 鸡尾酒皮筋
'jiao'guan 胶管
'jin'shu'gong 金属弓
'jin'si'nan'mu 金丝楠木
'jin'ye 金椰
'ka'qiu'gong 卡球弓
'ke'le 可乐
'kuan'pi'jin 宽皮筋
'la'li 拉力
'la'shen'bi 拉伸比
'leng'wan'gong 冷弯弓
'liang'gu 两股
'liu'yi'bei 刘一杯
'ma'li 麻利
'mei'ji'ke 美吉克
'mian'bang 免绑
'miao'da 瞄打
'miao'di'da'gao 瞄低打高
'miao'dian 描点
'miao'gao'da'di 瞄高打低
'miao'gu'da 瞄估打
'mu'gong 木弓
'nei'chuan'pi'jin 内穿皮筋
'nei'tie 内贴
'ni'wan 泥丸
'pi'dou 皮兜
'ping'gai 瓶盖
'pu'la'ti 普拉提
'pu'lei'sa'si 普雷萨斯
'qian'shou 前手
'qing'gang 青冈
'qing'gong 轻弓
'sai'le 赛乐
'san'ke'shu 三棵树
'shen'yang'chun'yu 沈阳春宇
'shou'gong'da'mo 手工打磨
'si'gu 四股
'su'liao'gong 塑料弓
'su'se 素色
'suan'zao 酸枣
'suan'zhi 酸枝
'tai'ji 太极
'tan'she'lei'guan'zhi'qi'ju 弹射类管制器具
'tu'ma'ke 图马克
'wei'sai 威赛
'wei'su 威速
'wu'jia 无架
'wu'su 乌苏
'wu'sun 乌孙
'xian'qie'ge'gong 线切割弓
'xiao'jia'jiao'da'fa 小夹角打法
'xiao'ye'huang'yang 小叶黄杨
'xiao'ye'yu 小叶榆
'xiao'ye'zi'tan 小叶紫檀
'xie'wo 斜握
'xiong'mao 熊猫
'yan'chang'xian'da'fa 延长线打法
'ye'shu 椰树
'you'cha 油茶
'you'li'da'si 尤利达斯
'yuan'cha 原叉
'yuan'pi'jin 圆皮筋
'yue'nan'san'hao 越南三号
'zao'mu 枣木
'zhen'da 振打
'zheng'nie 正捏
'zhi'bi'bai'da 直臂摆打
'zhi'la'da 直拉打
'zhi'wo 直握
'zhong'gong 重弓
'zhu'jian'ming 朱建明
'zhu'zao'gong 铸造弓
'zi'guang'tan 紫光檀
