'an'dao 暗刀
'an'feng 黯蜂
'an'hei'sheng'tang'wu'shi 暗黑圣堂武士
'an'hei'zhi'zheng'guan 暗黑执政官
'bai'qiu 白球
'bao'bing 暴兵
'bao'bing'liu 暴兵流
'bao'feng'chong'zu 暴风虫族
'bao'ling 爆蛉
'bao'sha 爆杀
'bao'zha'gong'ji 爆炸攻击
'bao'zi'ta 孢子塔
'bei'fei'liu 被废流
'bing'feng'zhan'chang 冰封战场
'bu'xiu'zhe 不朽者
'cai'lei 踩雷
'cai'qi 采气
'cha'cha 叉叉
'chi'hou'zhan'ji 斥候战机
'chong'hou 虫后
'chong'luan 虫卵
'chong'xue'shou'wang'zhe 虫穴守望者
'chong'zu 虫族
'chong'zu'da'xiang 虫族大象
'chou'jin'liu 抽筋流
'chuan'kuang 穿矿
'chuan'song'men 传送门
'chuan'suo'ji 穿梭机
'ci'she 刺蛇
'ci'she'ta 刺蛇塔
'ci'she'xue 刺蛇穴
'cui'ran'xing 崔然星
'cun'lu'xiang 存录像
'da'fei'long'ta 大飞龙塔
'da'he'pao 大和炮
'da'jian 大舰
'da'jiao 大脚
'da'jiao'ji'qi'ren 大脚机器人
'da'shi 大师
'da'shi'guan 大湿馆
'da'shi'men'shi'jian 大师门事件
'da'xing'dan'wei 大型单位
'da'xing'fen'ji 打兴奋剂
'da'xuan'wo 大漩涡
'da'zhao 大招
'dan'bing'ying'ke'ji 单兵营科技
'dang'ze'bang 当泽帮
'dao'feng'nv'huang 刀锋女皇
'di'ci 地刺
'di'ci'ta 地刺塔
'di'tan'shi'kong'tou 地毯式空投
'dian'bing 电兵
'die'fei'long 叠飞龙
'die'nong'min 叠农民
'ding'dang 叮铛
'du'kou 堵口
'du'wu 毒雾
'du'xing'jun'tan 毒性菌毯
'duan'kuang 断矿
'duan'zao'chang 锻造厂
'dui'kong'ji'qi'ren 对空机器人
'duo'xian'cao'zuo 多线操作
'duo'xian'kong'tou 多线空投
'er'kuang 二矿
'er'long 二龙
'fan'kui 反馈
'fan'yin 反隐
'fan'yin'xing 反隐形
'fan'zhong'li 反重力
'fang'hu'dian'chi 防护电池
'fang'hu'zhao 防护罩
'fang'kong'ta 防空塔
'fei'ji'di 飞基地
'fei'jian'zhu 飞建筑
'fei'long 飞龙
'fei'long'cao'zuo 飞龙操作
'fei'long'shuai'wei 飞龙甩尾
'fei'long'ta 飞龙塔
'fei'long'zhui'ji 飞龙追击
'fei'qi 废气
'fei'tian'pang'xie 飞天螃蟹
'fei'tian'zhu'tou 飞天猪头
'fen'kuang 分矿
'fen'lie'wang 分裂网
'fen'nong'min 分农民
'feng'chao 蜂巢
'feng'cu 蜂簇
'feng'huang'zhan'ji 凤凰战机
'feng'qun'wei'shi 蜂群卫士
'feng'zai 蜂灾
'fou'jue'qiu 否决球
'fou'jue'zhen'kong 否决真空
'fu'hua'chang 孵化场
'fu'hua'chi 孵化池
'fu'ji'di 附基地
'fu'kuang 副矿
'fu'kuang'di'tu 富矿地图
'fu'she 辐射
'fu'shi'shou 腐蚀兽
'fu'shu'gong'ji 复数攻击
'fu'shu'jian'zhu 附属建筑
'gan'ran 感染
'gao'di 高地
'gao'di'you'shi 高地优势
'gao'jie'luo'xuan'ta 高阶螺旋塔
'gong'cheng'mo'shi 攻城模式
'gong'cheng'tan'ke 攻城坦克
'gong'cheng'wan 工程湾
'gong'ji'pin'lv 攻击频率
'gong'ji'su'du 攻击速度
'gong'ji'zhan 供给站
'gou'chi 狗池
'gou'nong'min 钩农民
'guang'ming'sheng'tang'wu'shi 光明圣堂武士
'guang'ming'zhi'zheng'guan 光明执政官
'guang'zi'pao 光子炮
'gui'bing 鬼兵
'guo'zai'gong'ji 过载攻击
'hai'dao'chuan 海盗船
