'an'bu 暗部
'ran'se'bo'li 染色玻璃
'ren'yi'jiao'du 任意角度
'rou'he'du 柔和度
'rui'du 锐度
'san'jiao'xing'bo'lang 三角形波浪
'se'ban 色板
'se'cai'fan'wei 色彩范围
'se'diao'fen'li 色调分离
'se'diao'jun'hua 色调均化
'se'xiang 色相
'sha'shi 沙石
'shang'bu 上部
'shang'ci'lv'jing'cao'zuo 上次滤镜操作
'she'zhi 设置
'shi'gao'xiao'guo 石膏效果
'shi'liang'meng'ban 矢量蒙版
'shi'se'hun'he 实色混合
'shou'hui 手绘
'shu'ju'zu 数据组
'shu'zhi 竖直
'shu'zhi'pen'she 竖直喷射
'shui'bo 水波
'shui'cai 水彩
'shui'mo'hua'feng'ge 水墨画风格
'shui'ping 水平
'shui'ping'pen'she 水平喷射
'shun'shi'zhen 顺时针
'shun'shi'zhen'xuan'zhuan 顺时针旋转
'su'liao'bao'guo 塑料包裹
'su'liao'bao'zhuang 塑料包装
'suo'ding'tu'ceng 锁定图层
'suo'fang'gong'ju 缩放工具
'suo'xiao'gong'ju 缩小工具
'tan'bi 碳笔
'te'shu'mo'hu 特殊模糊
'tian'chong 填充
'tian'chong'kong'bai 填充空白
'tian'chong'liang'du 填充亮度
'tian'jia'za'se 添加杂色
'tiao'se'dao 调色刀
'tong'ban'diao'ke 铜版雕刻
'tong'dao 通道
'tong'dao'hun'he'qi 通道混合器
'tou'ming 透明
'tou'ming'se 透明色
'tu'an'lei'xing 图案类型
'tu'ceng 图层
'tu'ceng'fu'he 图层复合
'tu'ceng'lu'jing 图层路径
'tu'mo'bang 涂抹棒
'tu'xiang'da'xiao 图像大小
'tu'xiang'ping'heng 图像平衡
'tu'xing 图形
'tu'zhang 图章
'tuo'yuan'xuan'kuang'gong'ju 椭圆选框工具
'wa'qie 挖切
'wang'ge 网格
'wei'yi 位移
'wen'li'tian'chong 纹理填充
'xi'bao'chi'cun 细胞尺寸
'xi'jie 细节
'xian'shi'quan'bu 显示全部
'xian'yin 陷印
'xiang'pian'kao'bei 相片拷贝
'xiang'qian'kuai 镶嵌块
'xiang'su 像素
'xiang'you'pen'she 向右喷射
'xiang'zuo'pen'she 向左喷射
'xiao'guo 效果
'xiao'shi'dian 消失点
'xin'xi 信息
'xing'zhuang'mo'hu 形状模糊
'xiu'fu'jiao'ben 修复脚本
'xiu'gai 修改
'xuan'zhuan 旋转
'xuan'zhuan'hua'bu 旋转画布
'yan'liao'tu'mo 颜料涂抹
'yan'se 颜色
'yan'se'jia'shen 颜色加深
'yan'se'jian'dan 颜色减淡
'yan'se'mo'shi 颜色模式
'yan'se'qu'yang'qi 颜色取样器
'yan'shi'fu'diao 岩石浮雕
'yang'shi 样式
'ye'mian'she'zhi 页面设置
'yi'dong'gong'ju 移动工具
'yin'ying'qiang'du 阴影强度
'yin'ying'xian 阴影线
'ying'xiang'da'xiao 影像大小
'ying'yong'shu'ju'zu 应用数据组
'ying'yong'tu'xiang 应用图像
'yong'hu'zi'ding 用户自定
'you'mo'bian'yuan'xiao'guo 油墨边缘效果
'yu'she'guan'li'qi 预设管理器
'yu'zhi 阈值
'za'se 杂色
'zai'ru'cai'zhi 载入材质
'zeng'jia'tiao'zheng'ceng 增加调整层
'zeng'jia'za'dian 增加杂点
'zhao'liang'bian'yuan 照亮边缘
'zheng'chang'mo'shi 正常模式
'zheng'pian'die'jia 正片叠加
'zheng'xian'bo 正弦波
'zhi'di 质地
'zhi'di'fu'gai 质地覆盖
'zhi'di'xuan'ze 质地选择
'zhi'fang'tu 直方图
'zhi'jiao'zuo'biao 直角坐标
'zhi'liang'du 纸亮度
'zhi'neng'dui'xiang 智能对象
'zhi'neng'rui'hua 智能锐化
'zhi'yu 值域
'zhi'zao'kuai'zhuang 制造块状
'zhong'jian'tiao 中间调
'zhu'hang 逐行
'zhu'shi'gong'ju 注释工具
'zhua'shou'gong'ju 抓手工具
'zhui'xing 锥形
'zi'ding'yi 自定义
'zi'ding'yi'tu'an 自定义图案
'zi'fu 字符
'zui'jia 最佳
'zuo'bian 左边
'zuo'shang 左上
'zuo'xia 左下
