'an'fa 按法
'an'fu 按腹
'an'ji 按脊
'an'rou'du'jiao 按揉肚角
'an'xian'zou'cuo'mo 按弦走搓摩
'an'yi'wo'feng 按一窝风
'ba'liao 八髎
'ban'men 板门
'bao'du'fa 抱肚法
'bi'tong 鼻通
'bo'yang'chi 膊阳池
'bu'da'chang 补大肠
'bu'fa 补法
'bu'xiao'chang 补小肠
'ca'ji 擦脊
'cang'long'bai'wei 苍龙摆尾
'chao'fu 抄腹
'cheng'jiang 承浆
'cheng'shan 承山
'chi'feng'yao'tou 赤凤摇头
'cuo'fa 搓法
'da'chang 大肠
'da'ma'guo'tian'he 打马过天河
'da'tui'tian'he'shui 大推天河水
'da'zhui 大椎
'dan'feng'yao'wei 丹凤摇尾
'dan'tian 丹田
'dang'fu 荡腹
'dao'fa 捣法
'dian'an'si'bai 点按四白
'dian'an'ying'xiang 点按迎香
'dian'ji 点脊
'du'jiao 肚角
'er'hou'gao'gu 耳后高骨
'er'long'xi'zhu 二龙戏珠
'er'ren'shang'ma 二人上马
'er'shan'men 二扇门
'fei'jin'zou'qi 飞金走气
'fei'jing 肺经
'fei'jing'zou'qi 飞经走气
'fei'yu 肺俞
'fen'fa 分法
'fen'tui'fa 分推法
'fen'tui'shan'zhong 分推膻中
'fen'tui'shou'yin'yang 分推手阴阳
'fen'yun'nei'ba'gua 分运内八卦
'feng'chi 风池
'feng'fu 风府
'feng'huang'dan'zhan'chi 凤凰单展翅
'feng'huang'gu'chi 凤凰鼓翅
'feng'huang'zhan'chi 凤凰展翅
'feng'long 丰隆
'gan'jing 肝经
'gan'yu 肝俞
'gen'li'shun'yun 艮离顺运
'gu'yan'you'fei 孤雁游飞
'guan'yuan 关元
'gui'wei 龟尾
'gui'wei'qi'jie 龟尾七节
'han'fa 汗法
'he'fa 合法
'he'fa 和法
'he'gu 合谷
'he'shou'yin'yang 合手阴阳
'he'tui'fa 合推法
'huang'feng'chu'dong 黄蜂出洞
'huang'feng'ru'dong 黄蜂入洞
'ji'men 箕门
'ji'nian'fu 挤碾腹
'jia'che 颊车
'jian'jing 肩井
'jing'ming 睛明
'jing'ning 精宁
'kai'men'jian'shan 开门见山
'kai'tian'men 开天门
'kai'xuan'ji 开璇玑
'kan'gong 坎宫
'kan'xun'shun'yun 坎巽顺运
'ke'xue 咳穴
'kou'ji 叩脊
'kun'kan'shun'yun 坤坎顺运
'kun'lun 昆仑
'lao'han'ban'zeng 老汉扳罾
'lao'hu'tun'shi 老虎吞食
'lao'long 老龙
'li'qian'shun'yun 离乾顺运
'lian'quan 廉泉
'lie'que 列缺
'liu'fu 六腑
'luo'ji 捋脊
'ming'men 命门
'mo'fa 摩法
'mo'fu 摩腹
'mo'fu'rou'qi 摩腹揉脐
'na'bai'chong 拿百虫
'na'du'jiao 拿肚角
'na'fa 拿法
'na'feng'chi 拿风池
'na'fu 拿腹
'na'qiao'gong 拿桥弓
'na'xue'hai 拿血海
'nei'ba'gua 内八卦
'nei'lao'gong 内劳宫
'nei'wai'xi'yan 内外膝眼
'ni'yun'nei'ba'gua 逆运内八卦
'nian'fa 捻法
'nie'fa 捏法
'nie'ji 捏脊
'nie'ji'fa 捏挤法
'nie'ji'tian'tu 捏挤天突
'nuo'fu 挪腹
'pai'ji'men 拍箕门
'pi'ba 皮罢
'pi'jing 脾经
'pi'yu 脾俞
'pu'can 仆参
'qi'hai 气海
'qi'jie'gu 七节骨
'qia'er'shan'men 掐二扇门
'qia'fa 掐法
