'bi'bo 碧波
'bu'shou'jing'luan 不受精卵
'cai'jian 采茧
'can'cu 蚕蔟
'can'dian'zhi 蚕垫纸
'can'fang 蚕房
'can'fen 蚕粪
'can'gan 蚕竿
'can'ju 蚕具
'can'luan 蚕卵
'can'nong 蚕农
'can'qi 蚕期
'can'sha 蚕沙
'can'shi 蚕室
'can'wang 蚕网
'can'yong 蚕蛹
'can'zhong'chang 蚕种场
'cao'cu 草簇
'chan'luan 产卵
'cheng'qing'ye 澄清液
'chi'mian'can 迟眠蚕
'chong'yong'tong'yi'sheng'ming'lv 虫蛹统一生命率
'chou'yang 抽样
'chu'sha 除沙
'ci'xiong 雌雄
'cui'qing 催青
'cui'qing'si'luan 催青死卵
'da'can 大蚕
'di'wen'duo'shi 低温多湿
'ding'yi'fa'yu'du 丁一发育度
'dong'ting 洞庭
'dui'jiao'tiao'jie 对交调节
'er'ling 二龄
'fa'e 发蛾
'fan'cu 翻簇
'fang'jiang'fen 防僵粉
'fang'wei 防微
'fu'can 浮蚕
'fu'hua'lv 孵化率
'gan'guang 感光
'gao'wen'duo'shi 高温多湿
'gei'sang'jia 给桑架
'gong'jin'jian'zhi'zhong'liang 公斤茧制种量
'hao'yue 皓月
'hua'xi 华系
'huang'he 黄鹤
'ji'an 吉安
'jian'can 鉴蚕
'jian'ceng'lv 茧层率
'jian'kuang 茧筐
'jian'si'chang 茧丝长
'jian'zhi 茧质
'jiang'yong 僵蛹
'jiao'pei 交配
'jie'jian'lv 结茧率
'jin'suan 浸酸
'jing'song 菁松
'ke'luan 克卵
'ke'yi 克蚁
'liang'luan'shu 良卵数
'lv'mei'su 氯霉素
'miao'e 苗蛾
'mu'zhong 母种
'pei'zi 胚子
'pian'jia 片架
'piao'bai'fen 漂白粉
'quan'jian'liang 全茧量
'ruo'xiao'can 弱小蚕
'san'ling 三龄
'sang'da'xiang 桑大象
'sang'ming 桑螟
'sang'xiang'chong 桑象虫
'sang'ye'xiao'du 桑叶消毒
'shang'cu 上蔟
'sheng'zhong 生种
'shi'shu'pian'nen 适熟偏嫩
'shou'jian'liang 收茧量
'si'ling 四龄
'si'long 死笼
'si'xian 丝腺
'si'yong 死蛹
'su'ce'ye 速测液
'tu'jiu'shi 土酒石
'wei'li'zi 微粒子
'wu'ling 五龄
'xian'xing'pin'zhong 限性品种
'xiao'can 小蚕
'xiao'can'gong'yu'shi 小蚕共育室
'xue'jian 削茧
'yi'ling 一龄
'ying'xi 瀛系
'yong'ti 蛹体
'yu'hua 羽化
'yuan'can'qu 原蚕区
'yuan'yuan'zhong 原原种
'yuan'zhong 原种
'yue'nian'luan 越年卵
'za'jiao'lv 杂交率
'za'jiao'zhong 杂交种
'zai'chu'luan 再出卵
'zao'luan'shu 造卵数
'zao'qi'si'luan 早期死卵
'zhao'xia 朝霞
'zhi'can 稚蚕
'zhi'zhong 制种
'zhi'zhong'liang 制种量
'zhong'jian 种茧
'zhong'jian'bao'hu'qi 种茧保护期
'zhu'sang'shi 贮桑室
'zhuang'can 壮蚕
'zi'dong'fa'e 自动发蛾
