'an'hui'zhi'tong'tiao'qi'huo'xue 安蛔止痛调气活血
'an'shen 安神
'an'shen'jie'yu 安神解郁
'an'shen'ping'gan'huo'xue'lian'chuang 安神平肝活血敛疮
'an'shen'yi'zhi'qu'tan'jie'yu'jiao'tong'xin'shen 安神益智祛痰解郁交通心肾
'an'shen'zhi'ke 安神止咳
'an'shen'zhi'xue'jiang'xue'ya 安神止血降血压
'bei'feng'shi'xiao'yong'zhong 被风湿消痈肿
'bi'hui'qu'chong 避秽驱虫
'bi'yun'kang'nue 避孕抗疟
'bu'fei'jian'pi'yang'yin'sheng'jin 补肺健脾养阴生津
'bu'qi'yi'shen 补气益肾
'bu'qi'yi'xue'zhi'xue'li'niao 补气益血止血利尿
'bu'qi'zhuang'yang'yang'xin'zhi'xue 补气壮阳养心止血
'bu'shen'gu'jing 补肾固精
'bu'shen'gu'jing'zhi'ke'ping'chuan 补肾固精止咳平喘
'bu'shen'huo'xue 补肾活血
'bu'shen'jian'pi 补肾健脾
'bu'shen'ming'mu'tiao'jing 补肾明目调经
'bu'shen'run'fei 补肾润肺
'bu'shen'se'jing 补肾涩精
'bu'shen'tian'jing'huo'xue'xu'shang 补肾填精活血续伤
'bu'shen'tian'jing'yi'shen'suo'ni 补肾填精益肾缩溺
'bu'shen'yang'xin 补肾养心
'bu'shen'yang'xin'an'shen'tiao'jing'huo'xue'ming'mu 补肾养心安神调经活血明目
'bu'shen'yang'xue'zhi'xue'an'tai 补肾养血止血安胎
'bu'shen'yang'zhuang'jin'gu'qu'feng'shi 补肾阳壮筋骨祛风湿
'bu'shen'yi'jing 补肾益精
'bu'shen'zhi'ou 补肾止呕
'bu'shen'zhi'xie'zhi'xue 补肾止泻止血
'pi'hui'xing'qi'zhi'tong 辟秽行气止痛
