'bu'ban'nian 不半年
'bu'dan'yan'jing'yao'xian'xia'qu 不但眼睛窈陷下去
'bu'du'pa'an'ye 不独怕暗夜
'bu'guo'dan'shi'zhe'yang'shuo 不过单是这样说
'bu'shuo'yi'ju'hua 不说一句话
'cong'bai'tian'yi'zhi'chu'ye'de'yi'lv 从白天以至初夜的疑虑
'dan'bu'dao'yi'dun'fan'shi'hou 但不到一顿饭时候
'dan'dang'wo'hai'zai'lu'zhen'de'shi'hou 但当我还在鲁镇的时候
'dao'bu'ru'na'shi'bu'liu'ta 倒不如那时不留她
'di'er'tian 第二天
'dong'zhi'de'ji'zu'shi'jie 冬至的祭祖时节
'dou'zui'xun'xun'de'zai'kong'zhong'pan'shan 都醉醺醺的在空中蹒跚
'er'qie'hen'dan'qie 而且很胆怯
'fou'ze'dai'zuo'zhe 否则呆坐着
'gao'xing'shi'de'dui'si'shen'shuo 高兴似的对四婶说
'he'a'niu'jiang'zhuo'zi'tai'dao'tang'wu'zhong'yang 和阿牛将桌子抬到堂屋中央
'hou'lai'lian'tou'ye'bu'hui'le 后来连头也不回了
'huan'suan'le'shi'er'yuan'ying'yang 换算了十二元鹰洋
'ji'shi'kan'jian'ren 即使看见人
'ji'xing'you'qi'huai 记性尤其坏
'jia'zhe'tuan'tuan'fei'wu'de'xue'hua 夹着团团飞舞的雪花
'jiao'ta'hui'dao'wei'lao'po'yu'na'li'qu 教她回到卫老婆于那里去
'jiao'ta'zou'kai 教她走开
'jie'zhe'you'ting'de'bi'bi'bo'bo'de'bian'pao 接着又听得毕毕剥剥的鞭炮
'kan'jian'dou'yi'ban'da'de'huang'se'de'deng'huo'guang 看见豆一般大的黄色的灯火光
'kan'si'shen'zhuang'hao'ji'pin 看四婶装好祭品
'kan'xian'zai'de'qing'zhuang 看现在的情状
'ke'jian'hou'lai'zhong'yu'shi'xing'le 可见后来终于实行了
'kuai'gou'yi'nian 快够一年
'lian'jing'shen'ye'geng'bu'ji'le 连精神也更不济了
'mo'mo'de'pao'jie 默默的跑街
'na'wo'ke'bu'zhi'dao 那我可不知道
'ni'fang'zhe'ba 你放着罢
'pa'hei'ying 怕黑影
'qing'jia'dao'zhen'de'xi'tou'qu 请假到镇的西头去
'quan'bu'jian'you'ling'li'qi'lai'de'xi'wang 全不见有伶俐起来的希望
'quan'gei'zhu'fu'de'kong'qi'yi'sao'er'kong'le 全给祝福的空气一扫而空了
'ran'er'ta'zong'ru'ci 然而她总如此
'sao'di 扫地
'shen'er'zhi'yu'chang'chang'wang'que'le'qu'tao'mi 甚而至于常常忘却了去掏米
'shen'qi'hen'shu'chang 神气很舒畅
'shi'si'shu'jia'zheng'zai 是四叔家正在
'si'hu'he'cheng'yi'tian'yin'xiang'de'nong'yun 似乎合成一天音响的浓云
'si'hu'shi'jing'gao'ta 似乎是警告她
'si'shen'huang'mang'da'sheng'shuo 四婶慌忙大声说
'si'shen'you'shi'dang'mian'jiu'zhe'yang'shuo 四婶有时当面就这样说
'sui'shi'zi'ji'de'zhu'ren 虽是自己的主人
'suo'yi'zong'shi'deng'zhe'yan'jing 所以总是瞪着眼睛
'ta'bian'hui'lai 她便回来
'ta'bian'tan'ran'de'qu'na'jiu'bei'he'kuai'zi 她便坦然的去拿酒杯和筷子
'ta'cai'zou'kai 她才走开
'ta'da'yue'cong'ta'men'de'xiao'rong'he'sheng'tiao'shang 她大约从他们的笑容和声调上
'ta'men'yu'shi'xiang'da'fa'ta'zou'le 他们于是想打发她走了
'ta'zheng'ri'jin'bi'le'zui'chun 她整日紧闭了嘴唇
'ta'zuo'de'geng'chu'li 她做得更出力
'tao'mi 淘米
'tou'fa'ye'hua'bai'qi'lai'le 头发也花白起来了
'wo'zai'meng'long'zhong 我在蒙胧中
'wo'zai'zhe'fan'xiang'de'yong'bao'zhong 我在这繁响的拥抱中
'xi'lai 洗莱
'xiang'lin'sao 祥林嫂
'xiang'lin'sao'zen'me'zhe'yang'le 祥林嫂怎么这样了
'yan'guang'ye'fen'wai'you'shen 眼光也分外有神
'ye'bu'zai'qu'qu'zhu'tai 也不再去取烛台
'ye'lan'san'er'qie'shu'shi 也懒散而且舒适
'ye'zhi'dao'shi'zai'chao'xiao'ta 也知道是在嘲笑她
'ye'zong'zhui'zhui'de 也总惴惴的
'yi'jiu'er'si'nian'er'yue'qi'ri 一九二四年二月七日
'yong'bao'le'quan'shi'zhen 拥抱了全市镇
'you'ru'zai'bai'tian'chu'xue'you'xing'de'xiao'shu 有如在白天出穴游行的小鼠
'yu'bei'gei'lu'zhen'de'ren'men'yi'wu'xian'de'xing'fu 豫备给鲁镇的人们以无限的幸福
'zhe'yi'hui'ta'de'bian'hua'fei'chang'da 这一回她的变化非常大
'zhi'dao'si'shu'shang'xiang'de'shi'hou 直到四叔上香的时候
'zhi'dao'yi'shi'wu'geng'jiang'jin'shi'hou 知道已是五更将近时候
'zhi'shi'shi'shen'de'zhan'zhe 只是失神的站着
'zhi'shi'yi'ge'mu'ou'ren 直是一个木偶人
'zhu'fu 祝福
'zi'ji'yi'jing'zai'tu'di'miao'juan'le'men'kan'le 自己已经在土地庙捐了门槛了
