'a'si'mo'de'wu'si 阿丝磨德乌丝
'a'wu'a'wu 阿呜阿呜
'ai'li'ka 艾莉卡
'an'qi 安琪
'an'tian'sha'dai 安田纱代
'ba'cheng'ji'zi 八城几子
'ba'cheng'shi'ba 八城十八
'ba'tuo'la 巴托拉
'bai'bei 白贝
'bai'meng 白梦
'bai'meng'zhi'jian 白梦之茧
'bei'a'duo 贝阿朵
'bei'a'duo'li'qie 贝阿朵莉切
'bei'a'duo'li'qie'de'mi'shi'ding'yi 贝阿朵莉切的密室定义
'bei'lu'fei'ge'lu 贝露菲格露
'bei'lu'sai'bu'bu 贝露赛布布
'bei'lun 贝伦
'bei'lun'ka'si'tai'lu 贝伦卡斯泰露
'bei'wen 碑文
'bei'xiong 贝熊
'cang'jiu 藏臼
'cha'hui 茶会
'chao'pa 超帕
'chu'dai'bei 初代贝
'chuan'tian'chuan'zhang 川畑船长
'da'yuan'lao'yuan 大元老院
'da'yue'jiao'shou 大月教授
'de'la'nuo'er 德拉诺尔
'e'mo'de'zheng'ming 恶魔的证明
'er'dai'bei 二代贝
'er'jiao'bu 二胶布
'er'li'hua 二梨花
'fan'da'yin 范达因
'fan'da'yin'er'shi'ze 范达因二十则
'fan'hun'de'mo'nv 返魂的魔女
'fan'zhuan'qi'pan 翻转棋盘
'fei'ze'li'nu 菲泽莉努
'fu'er'fu'er 芙尔芙尔
'fu'lei'de'li'ka 芙蕾德莉卡
'fu'shu'yao'qiu 复述要求
'fu'yin'zhi'jia 福音之家
'ga'pu 噶普
'gang'tie'chu'nv 钢铁处女
'ge'de'lu'te 格德鲁特
'ge'lai'tai'er 格莱泰尔
'gu'hu'ai'li'ka 古户艾莉卡
'gu'hu'hui'li'hua 古户绘梨花
'guan'ju'de'mo'nv 观剧的魔女
'hai'mao 海猫
'hai'mao'ming'qi'zhi'shi 海猫鸣泣之时
'hai'mao'ming'qi'zhi'shi'san 海猫鸣泣之时散
'hai'mao'ming'qi'zhi'shi'xiao 海猫鸣泣之时咲
'hai'mao'ming'qi'zhi'shi'yi 海猫鸣泣之时翼
'hai'mao'ming'qi'zhi'shi'yu 海猫鸣泣之时羽
'hai'mao'ming'qi'zhi'shi'zi 海猫鸣泣之时紫
'hang'hai'de'mo'nv 航海的魔女
'hei'shan'yang 黑山羊
'hei'zhan'ren 黑战人
'heng'pei'er'de'wu'ya 亨佩尔的乌鸦
'hong'se'zhen'shi 红色真实
'hong'zi 红字
'hou'jian'ren 后见人
'hou'she'xiao'shuo 后设小说
'hou'xian'dai'zhu'yi 后现代主义
'huang'jin'de'mo'nv 黄金的魔女
'huang'jin'de'mo'shu'shi 黄金的魔术师
'huang'jin'de'shi'mi'si 黄金的史密斯
'huang'jin'die 黄金蝶
'huang'jin'jian 黄金箭
'huang'jin'meng'xiang'qu 黄金梦想曲
'huang'jin'xiang 黄金乡
'hui'li'hua 绘梨花
'hui'yu 绘羽
'jia'ju 家具
'jia'yin 嘉音
'jia'zai 嘉哉
'jiao'bu 胶布
'jin'ping'tang 金平糖
'jin'qian'qiu 今千秋
'jin'qian'qiu 金铅球
'jin'se'zhen'shi 金色真实
'jin'zang 金藏
'jin'zi 金字
'jiu'yu'niao'an 九羽鸟庵
'jue'dui'de'mo'nv 绝对的魔女
'ka'si'ti'li'ao'ni 卡丝缇莉奥妮
'ke'lei'er 克蕾尔
'ke'nei'li'ya 柯内莉亚
'la'mu'da 拉姆达
'la'mu'da'dai'lu'ta 拉姆达戴露塔
'lai'te 莱特
'lan'se'zhen'shi 蓝色真实
'lan'zi 蓝字
'lang'du'zhe 朗读者
'lei'wei'a'tan 雷维阿坦
'li'cha'hui 里茶会
'li'yu 理御
'lian'yu'qi'jie'mei 炼狱七姐妹
'lian'yu'qi'zhuang 炼狱七桩
'liu'fu'fu 留弗夫
'liu'xuan'dao 六轩岛
'long'hui 龙绘
'long'qi'shi 龙骑士
'lou'zuo 楼座
'lou'zuo'wu'shuang 楼座无双
'lu'xi'fa 路西法
'luo'nuo'wei 罗诺威
'lv'zhi'shang'yuan'ci 吕之上源次
'ma'li'ya 玛利亚
'ma'meng 玛蒙
'mao'xiang 猫箱
'mei'gui'ting'yuan 玫瑰庭园
'mei'you'ai'jiu'kan'bu'jian 没有爱就看不见
'men'ge'hai'mian 门格海绵
'meng'hua 萌化
'ming'ri'meng 明日梦
'mo'fa 魔法
'mo'fa'jie'ju 魔法结局
'mo'nv'de'bei'wen 魔女的碑文
'nan'tiao 南条
'nan'tiao'ya'xing 南条雅行
'nan'tiao'zheng'hui 南条正辉
'nuo'ke'si 诺克斯
'nuo'ke'si'shi'jie 诺克斯十诫
'pian'yi 片翼
'pian'yi'zhi'jiu 片翼之鹫
'qi'ji'de'mo'nv 奇迹的魔女
'qi'pan 棋盘
'qi'shi'er'zhu'e'mo 七十二柱恶魔
'qing'yu 鲭鱼
'rang'zhi 让治
'sa'dan 撒旦
'sai'pa'er 赛帕尔
'san'dai'bei 三代贝
'sha'dai 纱代
'sha'yin 纱音
'shang'wei'shi'jie 上位世界
'sheng'lu'qi'ya'xue'yuan 圣露琪亚学园
'shuang'jian'zhan'ta 双肩战塔
'si'zi'zhan'ta 四子战塔
'sui'pian 碎片
'tian'cao 天草
'tian'cao'shi'san 天草十三
'tian'jie'da'fa'yuan 天界大法院
'wa'er'ji'li'ya 瓦尔基莉亚
'wei'la'de 威拉德
'wei'shu 伪书
'wen'qie'si'te 温切斯特
'wu'jiang 雾江
'wu'ju 武具
'wu'liu 呜溜
'wu'xian'de'mo'nv 无限的魔女
'xi'fa 戏法
'xi'fa'jie'ju 戏法结局
