'bi'jia 比嘉
'chan'zi 铲子
'chu'kou'tong'zi 出口桐子
'ci'jie 慈姐
'ci'tang'gui 祠堂圭
'fang'ye'you'nai 芳野由奈
'gao'qiao'li'yi 高桥李依
'gao'shang 高上
'gu'chuan'shen 古川慎
'guang'li'jing 光里晶
'hai'fa'ji'guang 海法纪光
'hu'tao 胡桃
'hui'fei'xu'ze'hu'tao 惠飞须泽胡桃
'jia'teng'ying'mei'li 加藤英美里
'jiu'ji'ren'ge 救济人格
'lan'de'er'gong'si 兰德尔公司
'li'jie 里姐
'ling'he'yuan'li'shi 稜河原理世
'mao'ye'ai'yi 茅野爱衣
'mei'ji 美纪
'mi'jun 咪君
'mu'cun'zhu'li 木村珠莉
'nan'tu'zhi'ye 男土之夜
'rou'he'xiao'xue 鞣河小学
'ruo'xia'you'li 若狭悠里
'shen'shan'zhao'zi 神山昭子
'sheng'yi'duo'luo'si'da'xue 圣依多罗斯大学
'sheng'yi'xi'duo'er'da'xue 圣伊西多尔大学
'shui'lai'qi 水濑祈
'tai'lang'wan 太郎丸
'wu'dou'pai 武斗派
'xi'lai'bi'jia'zi 喜来比嘉子
'xiao'liu 小留
'xiao'mei 小美
'xiao'yuan'sheng'huo 校园生活
'xiao'ze'ya'li 小泽亚李
'xue'yuan'gu'dao 学园孤岛
'xue'yuan'sheng'huo'bu 学园生活部
'xue'zhang 学长
'xun'zhi'qiu'shi 巡之丘市
'xun'zhi'qiu'xue'yuan 巡之丘学院
'ye'shan'yu'mei 叶山郁美
'you'cun'gui'yi 柚村贵依
'you'ji 由纪
'you'li 悠里
'zhang'qiang'you'ji 丈枪由纪
'zhi'na 志纳
'zhi'shu'mei'ji 直树美纪
'zi'gan'zhui'luo'tong'hao'hui 自甘坠落同好会
'zuo'cang'ci 佐仓慈
