'dan'yuan'gang'du'ju'zhen 单元刚度矩阵
'dan'zhi'fen'zhi 单值分支
'dan'zhi'hua'ding'li 单值化定理
'dan'zhou'qi'han'shu 单周期函数
'dan'zi'chang'jing'du 单字长精度
'dao'yi'meng'te'ka'luo'fang'fa 倒易蒙特卡罗方法
'de'mo'gen'dai'shu 德摩根代数
'deng'bi'shu'lie 等比数列
'deng'cha'shu'lie 等差数列
'deng'dai'shi'jian 等待时间
'deng'fu'de'ji'fen 邓福德积分
'deng'ju'tong'gou 等距同构
'deng'zhou'wen'ti 等周问题
'di'er'ke'shu'gong'li 第二可数公理
'di'er'lei'bei'sai'er'han'shu 第二类贝塞尔函数
'di'er'lei'bu'lian'xu'dian 第二类不连续点
'di'er'lei'cuo'wu 第二类错误
'di'er'lei'han'ke'er'han'shu 第二类汉克尔函数
'di'er'lei'le'rang'de'han'shu 第二类勒让德函数
'di'gui'bian'tu 递归边图
'di'gui'jie'gou 递归结构
'di'gui'xing 递归性
'di'ji 底集
'di'li'ke'lei'te'zheng'biao 狄利克雷特征标
'di'mo'fu'gong'shi 棣莫弗公式
'di'ni'ji'shu 迪尼级数
'di'san'lei'tuo'yuan'han'shu 第三类椭圆函数
'di'shu 底数
'di'yi'fan'chou 第一范畴
'di'yi'fan'chou'ji 第一范畴集
'di'yi'lei'dian'fan'zuo'biao 第一类典范坐标
'di'yi'lei'wo'er'tai'la'ji'fen'fang'cheng 第一类沃尔泰拉积分方程
'dian'de'la'kai 点的拉开
'dian'fan'fu'zhi 典范赋值
'dian'fan'tai'she 典范态射
'dian'gu'ji 点估计
'dian'han'shu 点函数
'dian'xing'fu'dan'li'dai'shu 典型复单李代数
'dian'xing'guo'cheng 典型过程
'dian'xing'qun 典型群
'die'dai'fa 迭代法
'ding'dian 顶点
'ding'dian'chuan'di'tu 顶点传递图
'ding'dian'ci'shu 顶点次数
'ding'dian'de'quan 顶点的权
'ding'dian'zi'tu 顶点子图
'ding'er'ci'xing 定二次型
'ding'kuo'qu'xian 定阔曲线
'ding'li 定理
'ding'xiang'bao'qiang 定向胞腔
'dong'li'xue'fang'cheng 动力学方程
'dong'tai'gui'hua'suan'fa 动态规划算法
'du'li'ding'dian'ji 独立顶点集
'du'li'pian'du 独立偏度
'du'li'shi'yan 独立试验
'dui'ce'de'jie'duan 对策的阶段
'dui'ce'yuan'su 对策元素
'dui'chen'chou'yang'fang'fa 对称抽样方法
'dui'chen'duo'xiang'shi 对称多项式
'dui'chen'ge 对称格
'dui'chen'he 对称核
'dui'chen'qu'zu'she'ji 对称区组设计
'dui'chen'suan'zi 对称算子
'dui'chen'xing 对称性
'dui'chen'zhang'liang 对称张量
'dui'ding'jiao 对顶角
'dui'jiao'you'shi 对角优势
'dui'ou'bian'shu'fang'fa 对偶变数方法
'dui'ou'biao'shi 对偶表示
'dui'ou'di'tu 对偶地图
'dui'ou'han'zi 对偶函子
'dui'ou'kong'jian 对偶空间
'dui'ou'qu'xian 对偶曲线
'dui'ou'tong'gou 对偶同构
'dui'ou'xing 对偶性
'dui'shu 对数
'dui'shu'ji'fen 对数积分
'dui'xiang 对象
'dui'xiang'de'yu'ji 对象的余积
'dun'jiao'san'jiao'xing 钝角三角形
'duo'can'shu'guo'cheng 多参数过程
'duo'chong'da'ba'fa 多重打靶法
'duo'chong'gong'xian'xing 多重共线性
'duo'chong'mi'ji'shu 多重幂级数
'duo'chong'xian'xing'dai'shu 多重线性代数
'duo'feng'fen'bu 多峰分布
'duo'lian'tong'qu'yu 多连通区域
'duo'mu'biao'jue'ce 多目标决策
'duo'mu'biao'tu'gui'hua 多目标凸规划
'duo'ti'wen'ti 多体问题
'duo'wei'xi'tong 多维系统
'duo'xiang'shi 多项式
'duo'xiang'shi'de'rong'du 多项式的容度
'duo'yi'lin'zheng'gui'xing 多伊林正规形
'duo'yuan'shi'jian'xu'lie 多元时间序列
'duo'yuan'zong'ti 多元总体
'er'chong'dian 二重点
'er'chong'gen 二重根
'er'chong'ji'fen 二重积分
'er'chong'ji'shu 二重级数
'er'ci'chao'qu'mian 二次超曲面
'er'ci'hu'fan'lv 二次互反律
'er'ci'kong'jian'de'ge 二次空间的格
'er'ci'qu'xian 二次曲线
'er'ci'xing'de'zhi 二次型的秩
'er'ci'yu 二次域
'er'ci'yuan 二次元
'er'jie'chong'fen'tiao'jian 二阶充分条件
'er'jie'jia'tuo'wei'fen 二阶加托微分
'er'jin'shan'chu'xin'dao 二进删除信道
'er'jin'shu'qun 二进数群
'er'xiang'shi 二项式
'er'zhi'shi'jian'xu'lie 二值时间序列
'fa'han'shu'fa 罚函数法
'fa'ping'mian 法平面
'fan'chang'dui'ce 反常对策
'fan'chen'shuang'xian'xing'xing 反称双线性型
'fan'chou'luo'ji 范畴逻辑
'fan'de'meng'de'hang'lie'shi 范德蒙德行列式
