'bao'wei'chu 保卫处
'wei'sheng'suo 卫生所
'wu'han'chuan'bo'gong'ye'xue'xiao 武汉船舶工业学校
'wu'han'chuan'bo'zhi'ye'ji'shu'xue'yuan 武汉船舶职业技术学院
'wu'han'chuan'yuan 武汉船院
'wu'han'ji'xie'gong'ye'xue'xiao 武汉机械工业学校
'wu'liu'guan'li 物流管理
'wu'yun'duo 吴运铎
'xian'dai'zhi'zao'zhong'xin 现代制造中心
'xiao'qi'he'zuo'jiao'liu'chu 校企合作交流处
'xiao'you'gong'zuo'ban'gong'shi 校友工作办公室
'xin'neng'yuan'qi'che'ji'shu 新能源汽车技术
'xu'jian'yin 徐建寅
'xue'sheng'gong'zuo'chu 学生工作处
'yi'dai'yi'lu 一带一路
'yi'ren'wei'ben 以人为本
'ying'yong'dian'zi'ji'shu 应用电子技术
'you'ting'she'ji'yu'zhi'zao 游艇设计与制造
'yu'chuan'tong'hang 与船同行
'yuan'zhang'ban'gong'shi 院长办公室
'zhao'sheng'jiu'ye'zhi'dao'chu 招生就业指导处
'zhao'tou'biao'yu'cai'gou'guan'li'ban'gong'shi 招投标与采购管理办公室
'zhi'liang 质量
'zhi'liang'guan'li'chu 质量管理处
'zhi'liang'li'yuan 质量立院
'zhong'guo'zhi'zao 中国制造
'zhong'xiang'gan'bu'xue'xiao 中湘干部学校
'zhong'xiao'qi'ye'chuang'ye'yu'jing'ying 中小企业创业与经营
'zhu'yi 朱毅
