'ba'qu 坝区
'bao'pi 报批
'bao'you'liang 保有量
'bei'an 备案
'bian'zhi 编制
'bu'hua 补划
'bu'ju 布局
'cai'kuang'yong'di 采矿用地
'cheng'bao'jing'ying'quan 承包经营权
'cheng'xiang'gui'hua 城乡规划
'cheng'xiang'jian'she'yong'di 城乡建设用地
'cheng'zhen'jian'she 城镇建设
'chu'rang 出让
'chu'rang'jin 出让金
'di'zhi'zai'hai 地质灾害
'duo'gui'he'yi 多规合一
'fan'wei'zuo'biao 范围坐标
'fang'guan'fu 放管服
'geng'di 耕地
'gong'di 供地
'gong'qing 公顷
'gong'shi'qi 公示期
'gong'zuo'ri 工作日
'gui'hua 规划
'gui'hua'qi 规划期
'guo'tu'yun 国土云
'guo'you'tu'di 国有土地
'he'zhun 核准
'hua'bo 划拨
'ji'ti'tu'di 集体土地
'jian'she'xiang'mu 建设项目
'jian'she'yong'di 建设用地
'jian'zhi'zhen 建制镇
'jiao'tong'shui'li 交通水利
'jie'duan'xing 阶段性
'jie'yu'zhi'biao 节余指标
'jie'yue'ji'yue 节约集约
'kai'ken'fei 开垦费
'kan'ce'ding'jie 勘测定界
'keng'tang'shui'mian 坑塘水面
'kong'jian'guan'zhi 空间管制
'luo'di'nan 落地难
'nong'cun'ju'min'dian 农村居民点
'nong'yong'di 农用地
'pi'ci 批次
'pi'zhun'shu 批准书
'ping'gu 评估
'ping'shen 评审
'qu'yu'xie'tiao 区域协调
'quan'ji 权籍
'quan'shu 权属
'shang'fu 商服
'shen'pi 审批
'sheng'tai'bao'hu'hong'xian 生态保护红线
'sheng'ting 省厅
'shi'mo'hua 石漠化
'shou'rang 受让
'shui'li'she'shi 水利设施
'shui'tian 水田
'si'zhi'jie'xian 四至界线
'tiao'ji 调剂
'tiao'zheng'wan'shan 调整完善
'ting'zheng 听证
'tu'di'fu'ken 土地复垦
'tu'di'guan'li 土地管理
'tu'di'li'yong 土地利用
'tu'di'zheng'zhi 土地整治
'tuo'pin'gong'jian 脱贫攻坚
'xian'chang'ta'kan 现场踏勘
'xian'zhi 闲置
'xiang'mu 项目
'xing'zheng'chu'fa 行政处罚
'xuan'zhi 选址
'ya'fu'kuang'chan'zi'yuan 压覆矿产资源
'yi'di'fu'pin'ban'qian 易地扶贫搬迁
'ying'xiang'tu 影像图
'yong'di'gui'mo 用地规模
'yong'di'zong'mian'ji 用地总面积
'yong'jiu'ji'ben'nong'tian 永久基本农田
'yong'jiu'xing 永久性
'yong'tu'guan'zhi 用途管制
'yu'liu 预留
'yu'shen 预审
'zai'xian'shen'pi 在线审批
'zeng'jian'gua'gou 增减挂钩
'zhai'ji'di 宅基地
'zhan'bu'ping'heng 占补平衡
'zhao'pai'gua 招拍挂
'zheng'di 征地
'zhi'biao 指标
'zhi'biao'liu'zhuan 指标流转
'zhuan'jia'zu 专家组
'zhuan'yong 转用
'zhui'jia 追加
'zi'ran'bao'liu'di 自然保留地
'zi'ran'zi'yuan 自然资源
'zong'gui'mo 总规模
'zong'ti'gui'hua 总体规划
'zu'jian 组件
