'bao'fa'li 爆发力
'bao'fa'li'zhi'shu 爆发力指数
'bao'fa'xing'li'liang 爆发性力量
'bi'sai'jie'guo 比赛结果
'dong'li'qu'xian'miao'ji'tu 动力曲线描记图
'fa'yu'qian'li 发育潜力
'fu'he'fang'an 负荷方案
'fu'he'nei'rong 负荷内容
'fu'he'qiang'du 负荷强度
'fu'he'shu'liang 负荷数量
'ji'neng 技能
'ji'rou'can'yu'gong'zuo 肌肉参与工作
'ji'rou'shou'suo 肌肉收缩
'ji'rou'ti'ji 肌肉体积
'ji'shi'zhuang'tai 即时状态
'jiao'lian'yuan 教练员
'jie'zou'an'pai 节奏安排
'jing'ji'neng'li 竞技能力
'jing'ji'neng'li'gou'cheng 竞技能力构成
'jing'ji'neng'li'jie'gou 竞技能力结构
'jing'ji'neng'li'jie'gou'te'dian 竞技能力结构特点
'jing'ji'xu'yao'yuan'ze 竞技需要原则
'ju'bu'ji'rou 局部肌肉
'ju'zhong'yun'dong'yuan 举重运动员
'jue'dui'li'liang 绝对力量
'ke'xue'ji'chu 科学基础
'ke'xue'zhen'duan 科学诊断
'kong'zhi'xin'xi 控制信息
'kuai'su'li'liang 快速力量
'kuai'su'li'liang'zhi'shu 快速力量指数
'li'liang'nai'li 力量耐力
'li'liang'nai'li'zhi'shu 力量耐力指数
'li'liang'su'zhi 力量素质
'li'liang'xun'lian 力量训练
'li'lun'she'ji 理论设计
'lian'xi'chong'fu'ci'shu 练习重复次数
'nei'xie'tiao'neng'li 内协调能力
'nian'ling'yin'su 年龄因素
'shao'er'xun'lian 少儿训练
'she'hui'jiao'wang 社会交往
'shen'jing'ji'rou'xi'tong 神经肌肉系统
'shen'jing'xi'tong 神经系统
'shui'ping'yin'su 水平因素
'te'yi'xing 特异性
'ti'neng 体能
'wen'ding'xing'li'liang 稳定性力量
'xi'tong'tiao'jie 系统调节
'xian'dai'kong'zhi'lun 现代控制论
'xian'dai'xun'lian 现代训练
'xian'shi'zhuang'tai 现实状态
'xiang'dui'li'liang 相对力量
'xin'li'neng'li 心理能力
'xin'li'xun'lian 心理训练
'xin'xi'fan'kui 信息反馈
'xiu'zheng'zhi'ling 修正指令
'xuan'cai'dui'xiang 选材对象
'xun'lian'bi'sai 训练比赛
'xun'lian'fang'fa 训练方法
'xun'lian'fu'he 训练负荷
'xun'lian'fu'he'nei'rong 训练负荷内容
'xun'lian'ji'hua 训练计划
'xun'lian'jian'ce 训练监测
'xun'lian'jie'duan 训练阶段
'xun'lian'jie'duan'hua'fen 训练阶段划分
'xun'lian'jue'ce 训练决策
'xun'lian'liang'du 训练量度
'xun'lian'mu'biao 训练目标
'xun'lian'nei'rong 训练内容
'xun'lian'qian'li 训练潜力
'xun'lian'shi'jian 训练实践
'xun'lian'shou'duan 训练手段
'xun'lian'shui'ping 训练水平
'xun'lian'tiao'jian 训练条件
'xun'lian'tiao'kong 训练调控
'xun'lian'tiao'zheng 训练调整
'xun'lian'xiao'guo 训练效果
'xun'lian'xin'xi 训练信息
'xun'lian'xin'xi'cai'ji 训练信息采集
'xun'lian'xue'yao'dian 训练学要点
'xun'lian'yin'su 训练因素
'xun'lian'yuan'ze 训练原则
'xun'lian'zhen'duan 训练诊断
'yi'ban'li'liang 一般力量
'you'xiao'kong'zhi'yuan'ze 有效控制原则
'yun'dong'cheng'ji 运动成绩
'yun'dong'xiang'mu 运动项目
'yun'dong'xun'lian'guo'cheng 运动训练过程
'yun'dong'xun'lian'huo'dong 运动训练活动
'yun'dong'xun'lian'zhu'ti 运动训练主体
'yun'dong'yuan 运动员
'yun'dong'zhi'neng 运动智能
'zhan'shu'neng'li 战术能力
'zhuan'xiang'hua 专项化
'zhuan'xiang'jing'ji 专项竞技
'zhuan'xiang'li'liang 专项力量
'zhuan'xiang'te'yi'xing 专项特异性
'zhuang'tai'xin'xi 状态信息
'zhun'bei'xing'jian'jin'guo'cheng 准备性渐进过程
'zu'jian'jian'xie'shi'jian 组间间歇时间
'zui'da'li'liang 最大力量
