'an'jie 按揭
'an'jin 按金
'an'shi'chang'ji'jia'fa'kuai'ji 按市场计价法会计
'ban'quan 版权
'bao'guan'ren 保管人
'bao'jia 报价
'bao'zhuang'wu 包装物
'bei'di'fa 备抵法
'ben'jin'dang'shi'ren 本金当事人
'ben'nian'li'run 本年利润
'bian'ji'gong'xian 边际贡献
'bo'fu 波幅
'bu'cang'an'jin 补仓按金
'bu'cang'tong'zhi 补仓通知
'bu'dong'chan 不动产
'bu'huo'yue'shi'chang 不活跃市场
'bu'kong 补空
'bu'tie'shou'ru 补贴收入
'cai'liao'cheng'ben'cha'yi 材料成本差异
'cai'wu'bao'biao 财务报表
'cai'wu'bao'biao'fen'xi 财务报表分析
'cai'wu'bi'lv'fen'xi 财务比率分析
'cai'wu'fei'yong 财务费用
'cai'wu'kuai'ji 财务会计
'cai'wu'kuai'ji'biao'zhun 财务会计标准
'cai'wu'tan'xing 财务弹性
'cai'wu'ye'ji 财务业绩
'cai'wu'zhuang'kuang 财务状况
'can'yu'you'xian'gu 参与优先股
'can'zhi 残值
'chang'cang 长仓
'chang'nei'jiao'yi 场内交易
'chang'qi'dai'tan'fei'yong 长期待摊费用
'chang'qi'fu'zhai 长期负债
'chang'qi'gu'quan'tou'zi 长期股权投资
'chang'qi'jie'kuan 长期借款
'chang'qi'tou'zi 长期投资
'chang'qi'tou'zi'jian'zhi'zhun'bei 长期投资减值准备
'chang'qi'ying'fu'kuan 长期应付款
'chang'qi'zhai'quan'tou'zi 长期债权投资
'chang'qi'zhai'wu'lv 长期债务率
'chang'qi'zi'chan 长期资产
'chang'wai'jiao'yi 场外交易
'chang'zhai'bi'lv 偿债比率
'chang'zhai'neng'li 偿债能力
'che'chuan'shui 车船税
'cheng'ben'fa 成本法
'cheng'ben'hao'yong 成本耗用
'cheng'ben'yu'shi'jia'shu'di'yuan'ze 成本与市价孰低原则
'cheng'jiao'jin'e 成交金额
'cheng'jiao'liang 成交量
'cheng'shi'wei'hu'jian'shui 城市维护建税
'chi'cang 持仓
'chi'gu'gong'si 持股公司
'chi'xu'jing'ying 持续经营
'chong'gu'tiao'zheng 重估调整
'chong'xiao 冲销
'chong'zhi'cheng'ben 重置成本
'chong'zu'cheng'ben 重组成本
'chou'ma 筹码
'chou'zi'chan'sheng'de'xian'jin'liu'liang 筹资产生的现金流量
'chu'quan 除权
'chu'xi 除息
'cun'huo 存货
'cun'huo'die'jia'zhun'bei 存货跌价准备
'cun'huo'zhou'zhuan 存货周转
'cun'kuan'dan 存款单
'dai'chu'li'cai'chan'sun'yi 待处理财产损益
'dai'guan 代管
'dai'kuan'he'tong 贷款合同
'dai'kuan'qi'yue 贷款契约
'dai'tan'fei'yong 待摊费用
'dai'tan'zi'chan'jia'zhi 待摊资产价值
'dai'xiao'shang'pin'kuan 代销商品款
'dan'bao'pin 担保品
'dan'jing'shi'chang 淡静市场
'dan'xiang'shi'chang 单向市场
'dao'qi'ri 到期日
'dao'qi'zhi 到期值
'deng'jia 等价
'di'fang'jiao'yu'fei'fu'jia 地方教育费附加
'di'kai 低开
'di'xiao'yu'e 抵销余额
'di'ya 抵押
'di'ya'pin 抵押品
'di'yan'cheng'ben 递延成本
'di'yan'shou'ru 递延收入
'di'yan'shou'yi 递延收益
'di'yan'shui'kuan 递延税款
'di'yan'suo'de'shui 递延所得税
'di'zhi'yi'hao'pin 低值易耗品
'die'ting 跌停
'ding'qi'dai'kuan 定期贷款
'ding'qi'fa 定期法
'dong'shi'hui 董事会
'du'bang'ti'xi 杜邦体系
'du'li'shen'ji 独立审计
'du'zi'jing'ying 独资经营
'duan'duo 短多
'duan'qi'fu'zhai 短期负债
'duan'qi'jie'kuan 短期借款
'duan'qi'tou'zi 短期投资
'duan'qi'tou'zi'die'jia'zhun'bei 短期投资跌价准备
'dui'chong 对冲
'dui'qiao 对敲
'dui'xiao'zhang'hu 对销账户
'duo'fan'kong 多翻空
'duo'sha'duo 多杀多
'duo'tou'xian'jing 多头陷阱
'er'ban'shi'chang 二板市场
'er'ji'shi'chang 二级市场
'fa'xing'gu'piao 发行股票
'fa'xing'zai'wai'de'gu'fen 发行在外的股份
'fan'tan 反弹
'fang'chan'shui 房产税
'fei'can'jia'you'xian'gu 非参加优先股
'fei'jing'chang'xiang'mu 非经常项目
'fei'ying'li'shi'ti 非盈利实体
'fei'ying'li'zhang'hu 非盈利账户
'fei'yong 费用
'fen'hong 分红
'fen'lei'zi'chan'fu'zhai 分类资产负债
'fen'qi'fu'kuan 分期付款
'fen'qi'shou'kuan'fa'chu'shang'pin 分期收款发出商品
'fen'xi'xing'fu'he 分析性复核
'fen'xi'yuan 分析员
'feng'xian 风险
'feng'xian'bao'chou 风险报酬
'fu'duo 浮多
'fu'wu'shou'yi 服务收益
'fu'wu'ye 服务业
'fu'xi'zhai'wu 附息债务
'fu'zhai 负债
'fu'zhai'bi'lv 负债比率
'fu'zhu 附注
'gai'liang 改良
'gang'gan'bi'lv 杠杆比率
'gang'gan'xiao'ying 杠杆效应
'gao'kai 高开
'ge'ren'suo'de'shui 个人所得税
'ge'rou 割肉
'ge'ti'bian'ren 个体辨认
'gong'cheng'wu'zi 工程物资
'gong'yun'shi'jia 公允市价
'gou'mai'fa 购买法
'gou'mai'li 购买力
'gu'ben'zheng'quan 股本证券
'gu'ding'zi'chan 固定资产
'gu'ding'zi'chan'jian'zhi'zhun'bei 固定资产减值准备
'gu'ding'zi'chan'qing'li 固定资产清理
'gu'ding'zi'chan'zhou'zhuan 固定资产周转
'gu'dong 股东
'gu'dong'quan'yi 股东权益
'gu'dong'quan'yi'biao 股东权益表
'gu'fen'chai'xi 股份拆细
'gu'kong 沽空
'gu'li 股利
'gu'piao 股票
'gu'piao'gu'li'de'gu'piao'chai'fen 股票股利的股票拆分
'gu'piao'jia'ge 股票价格
'gu'piao'shi'chang 股票市场
'gu'quan'gong'si 股权公司
'gu'shou 沽售
'gu'shou'jia 沽售价
'gu'xi 股息
'gu'xi'lv 股息率
'guan'li'fei'yong 管理费用
'guan'li'jue'ce 管理决策
'guan'li'kuai'ji 管理会计
'guan'lian'jiao'yi 关联交易
'guan'ya 惯压
'guo'nei'shui'shou 国内税收
'guo'nei'shui'shou'fa'gui 国内税收法规
'guo'you'tu'di'shi'yong'quan 国有土地使用权
'hang'ye 行业
'he'bing 合并
'he'bing'cai'wu'bao'biao 合并财务报表
'he'huo 合伙
'he'ying'qi'ye 合营企业
'he'zi'qi'ye 合资企业
'hou'jin'xian'chu 后进先出
'hou'jin'xian'chu'fa'qing'suan 后进先出法清算
'hou'jin'xian'chu'fa'yi'zhi'xing'gui'ze 后进先出法一致性规则
'hou'jin'xian'chu'fa'zhun'bei 后进先出法准备
'hou'tai'bu'men 后台部门
'hu'pan 护盘
'huai'zhang 坏账
'huai'zhang'zhun'bei 坏账准备
'huan'shou'lv 换手率
'hui'bao 回报
'hui'bao'lv 回报率
'hui'dang 回档
'hui'gou 回购
'hui'gou'xie'yi 回购协议
'hui'lv 汇率
'hun'he'zheng'quan 混合证券
'huo'li'neng'li 获利能力
'huo'li'neng'li'bi'lv 获利能力比率
'huo'you'fu'zhai 或有负债
'huo'you'shi'xiang 或有事项
'huo'you'shou'yi 或有收益
'huo'you'sun'shi 或有损失
'ji'ben'an'jin'yao'qiu 基本按金要求
'ji'ben'mei'gu'ying'li 基本每股盈利
'ji'dian 基点
'ji'ding'gong'kuan'yang'lao'jin'fang'an 即定供款养老金方案
'ji'ding'shou'yi'yang'lao'jin'fang'an 即定收益养老金方案
'ji'gou'tou'zi'zhe 机构投资者
'ji'jia'ji'chu 计价基础
'ji'jiang'dao'qi'de'chang'qi'fu'zhai 即将到期的长期负债
'ji'liang'li'lun 计量理论
'ji'ri'mai'mai 即日买卖
'ji'ri'xian 即日鲜
'ji'shu'chen'jiu 技术陈旧
'ji'shu'xing'wei'yue 技术性违约
'ji'xiao'pin 寄销品
'jia'ge'shou'yi'bi 价格收益比
'jia'nei 价内
'jia'su'cheng'ben'hui'shou'fa'xiu'zheng'xi'tong 加速成本回收法修正系统
'jia'su'zhe'jiu'fa 加速折旧法
'jian'cang 建仓
'jian'di'biao'jia 减低标价
'jian'jie'fa 间接法
'jian'zhu'ye 建筑业
'jiao'ge 交割
'jiao'tong'yun'shu'ye 交通运输业
'jiao'tou'liang 交投量
'jiao'yi'cheng'ben 交易成本
'jiao'yi'fan'wei 交易范围
'jiao'yi'yuan 交易员
'jiao'yi'zheng'quan 交易证券
'jiao'yu'fei'fu'jia 教育费附加
'jie'suan'ri'qi 结算日期
'jin'rong'bao'xian'ye 金融保险业
'jin'rong'gong'ju 金融工具
'jin'rong'qi'huo 金融期货
'jing'chang'xing'jiao'yi 经常性交易
'jing'ji'ge'ti'jia'ding 经济个体假定
'jing'ji'jia'zhi'zeng'jia 经济价值增加
'jing'ji'ren 经纪人
'jing'ji'shang 经纪商
'jing'she'xiao'zhi 净赊销值
'jing'shou'yi 净收益
'jing'suan 精算
'jing'suan'shi 精算师
'jing'ying'chan'sheng'de'xian'jin'liu'liang 经营产生的现金流量
'jing'ying'huo'dong 经营活动
'jing'ying'ye'ji 经营业绩
'jing'ying'ye'shou'ru 净营业收入
'jing'ying'zu'lin 经营租赁
'jing'zhang'mian'jia'zhi 净账面价值
'jing'zi'chan 净资产
'jing'zi'chan'shou'yi'lv 净资产收益率
'jun'jia 均价
'kai'fang'zhi'ling 开放指令
'kai'pan 开盘
'kai'pan'jia 开盘价
'ke'hu'zhi'ling 客户指令
'ke'shi'xian'jing'zhi 可实现净值
'ke'zhuan'huan'zhai'quan 可转换债券
'kong'cang 空仓
'kong'fan'duo 空翻多
'kong'gu'gong'si 控股公司
'kong'gu'quan'yi 控股权益
'kong'tou'xian'jing 空头陷阱
'ku'cun'gu'piao 库存股票
'ku'cun'pin 库存品
'kua'guo'gong'si 跨国公司
'kua'qi'shui'kuan'fen'tan 跨期税款分摊
'kuai'ji'deng'shi 会计等式
'kuai'ji'nian'du 会计年度
'kuai'ji'qi'jia'she 会计期假设
'kuai'ji'qi'jian 会计期间
'kui'sun 亏损
'lan'chou'gong'si 蓝筹公司
'lao'wu'cheng'ben 劳务成本
'lei'ji'you'xian'gu 累积优先股
'lei'ji'zhe'jiu 累计折旧
'lei'ji'zhe'jiu 累积折旧
'li'an'huo'jia 离岸货价
'li'duo 利多
'li'kong 利空
'li'lv'xia'xian 利率下限
'li'run 利润
'li'run'fen'pei 利润分配
'li'shi'cheng'ben 历史成本
'li'xi 利息
'li'xi'bao'zhang'bei'shu 利息保障倍数
'li'xi'bao'zhang'bi'lv 利息保障比率
'lian'ming'hu'kou 联名户口
'lian'xu'xing 连续性
'liang'bi 量比
'ling'shou'gong'si 零售公司
'liu'cun'shou'yi 留存收益
'liu'cun'shou'yi'biao 留存收益表
'liu'cun'shou'yi'fen'pei 留存收益分配
'liu'dong'bi'lv 流动比率
'liu'dong'fu'zhai 流动负债
'liu'dong'xing 流动性
'liu'dong'zi'chan 流动资产
'mai'kong 买空
'mai'kong 卖空
'mai'mai'cha'jia 买卖差价
'mai'pan 买盘
'mai'pan 卖盘
'mai'ya 买压
'mai'ya 卖压
'mao'li 毛利
'mei'gu'li'run 每股利润
'mei'gu'shou'yi 每股收益
'mei'gu'ying'li 每股盈利
'mei'shi'qi'quan 美式期权
'mi'mi'zhun'bei 秘密准备
'mian'zhi 面值
'mu'gong'si 母公司
'na'shui 纳税
'nei'bu'chou'zi 内部筹资
'nei'bu'kong'zhi'xi'tong 内部控制系统
'nei'mu'xiao'xi 内幕消息
'nei'pan 内盘
'nian'bao 年报
'nian'jin 年金
'nian'jin'qi'jian 年金期间
'nian'shu'zong'he'fa 年数总和法
'niu'shi 牛市
'ou'shi'qi'quan 欧式期权
'pai'xi 派息
'pan'dang 盘档
'pan'zheng 盘整
'pei'bi'yuan'ze 配比原则
'pei'gu 配股
'pian'xian 骗线
'piao'mian'li'lv 票面利率
'ping'cang 平仓
'ping'jia 平价
'ping'kai 平开
'pu'tong'gu 普通股
'pu'tong'gu'gu'li 普通股股利
'pu'tong'jiao'yi 普通交易
'pu'tong'shou'ru'gang'gan 普通收入杠杆
'qi'huo 期货
'qi'huo'he'tong 期货合同
'qi'quan 期权
'qi'shui 契税
