'biao'xiang 表象
'chuang'zao'xiang'xiang 创造想象
'chuang'zao'xing'si'wei 创造性思维
'dai'biao'xing'qi'fa 代表性启发
'feng'xian'jue'ce 风险决策
'gong'neng'gu'zhuo 功能固着
'gu'dian'jue'ce'li'lun 古典决策理论
'jue'ding'xing'jue'ce 决定性决策
'mao'ding'yu'tiao'zheng'qi'fa'fa 锚定与调整启发法
'qian'jing'li'lun 前景理论
'si'wei'gai'shu 思维概述
'wu'yi'xiang'xiang 无意想象
'xing'wei'jue'ce'li'lun 行为决策理论
'yi'de'xing'qi'fa 易得性启发
'you'yi'xiang'xiang 有意想象
'zai'zao'xiang'xiang 再造想象
