'an'guang'duo'hui'zi 安广多惠子
'an'jie 安洁
'an'qi 安琪
'bai'tian 百田
'bai'tian'jie'dou 百田解斗
'bai'yin'chou 白银紬
'bai'yin'fang 白银纺
'bian'gu'shan'bian'gu 边谷山边谷
'bian'gu'shan'pei'zi 边谷山佩子
'bo'zhi 狛枝
'bu'er'xiao 不二咲
'bu'er'xiao'qian'xun 不二咲千寻
'cha'zhu 茶柱
'cha'zhu'zhuan'zi 茶柱转子
'chao'gao'xiao'ji 超高校级
'chao'gao'zhong'ji 超高中级
'chi'song 赤松
'chi'song'feng 赤松枫
'chun'chuan 春川
'chun'chuan'mo'ji 春川魔姬
'chun'juan 春卷
'da'he'tian'wen'tu 大和田纹土
'da'shen'ying 大神樱
'dan'wan'lun'po 弹丸论破
'dong'tiao'zhan'mei 东条斩美
'er'da'mao'wan 二大猫丸
'feng'mei 枫妹
'fu'chuan 腐川
'fu'chuan'dong'zi 腐川冬子
'hei'bai'dan 黑白弹
'hei'bai'fen'ni 黑白芬妮
'hei'bai'ji'de 黑白基德
'hei'bai'mei 黑白美
'hei'bai'tai'lang 黑白太郎
'hei'bai'xiong 黑白熊
'hei'bai'zhi'jie 黑白之介
'hua'cun'hui'hui 花村辉辉
'jiang'zhi'dao'dun'zi 江之岛盾子
'jiu'tou'long'dong'yan 九头龙冬彦
'kun'tai 昆太
'lao'zi'tong'xue 老子同学
'ling'tian'wei'chui 澪田唯吹
'luo'deng'bei'ke 罗登贝克
'meng'ye 梦野
'meng'ye'mi'mi'zi 梦野秘密子
'mi'mi'zi 秘密子
'miao'mu 苗木
'miao'mu'cheng 苗木诚
'mie'zu'zhe'xiang 灭族者翔
'mo'ji 魔姬
'mo'nuo'mei 莫诺美
'na'na'mi 娜娜米
'qi'hai 七海
'qi'hai'qian'qiu 七海千秋
'qiang'dan'bian'bo 枪弹辩驳
'ri'xiang'chuang 日向创
'ru'jian 入间
'ru'jian'mei'tu 入间美兔
'sai'lei'si 塞蕾丝
'sai'lei'si'ti'ya 塞蕾丝缇雅
'sai'mei 塞妹
'sang'tian'li'ang 桑田里昂
'sang'tian'lian'en 桑田怜恩
'shan'tian'yi'er'san 山田一二三
'shen'zuo'chu'liu 神座出流
'shi'qing 是清
'shi'shen'bai'ye 十神白夜
'shi'shen'bai'ye 食神白噎
'shi'wan'qing'duo'xia 石丸清多夏
'suo'ni'ya'nei'wa'man 索尼娅内瓦曼
'suo'ni'ya'nei'wa'man'de 索尼娅内瓦曼德
'tian'hai 天海
'tian'hai'lan'tai'lang 天海兰太郎
'tian'zhong'yan'she'meng 田中眼蛇梦
'tu'mei 兔美
'tu'sha'zhe'xiang 屠杀者翔
'tu'tu'mei 兔兔美
'wang'ma 王马
'wang'ma'xiao'ji 王马小吉
'wu'qie 雾切
'wu'qie'xiang'zi 雾切响子
'wu'yuan'sha'ye'xiang 舞园沙耶香
'xi'yuan'si 西园寺
'xi'yuan'si'ri'ji'zi 西园寺日寄子
'xiao'ji 小吉
'xiao'quan'zhen'zhou 小泉真昼
'xing'long'ma 星龙马
'ye'chang 夜长
'ye'chang'an'jie 夜长安洁
'ye'chang'an'qi 夜长安琪
'ye'yin'kang'bi'lv 叶隐康比吕
'yu'yuan'kun'tai 狱原昆太
'yu'yuan'quan'tai 狱原权太
'zhan'mei 斩美
'zhan'ren'hai 战刃骸
'zhao'ri'nai 朝日奈
'zhao'ri'nai'kui 朝日奈葵
'zhen'gong'si 真宫寺
'zhen'gong'si'shi'qing 真宫寺是清
'zhong'li'chi'yin 终里赤音
'zhong'yi 终一
'zhuan'zi 转子
'zui'mu'mi'gan 罪木蜜柑
'zui'yuan 最原
'zui'yuan'zhong'yi 最原终一
'zuo'you'tian'he'yi 左右田和一
