'bei'ti'da 北体大
'cai'gang 蔡纲
'cai'lu 蔡鹭
'cai'niao'ji'zhe 菜鸟记者
'cao'xi'yue 曹曦月
'cheng'mei 程美
'ding'liang'jian 丁亮剑
'ding'yi 丁一
'fan'jie'er 范洁儿
'gu'shen 股神
'huang'sheng'chi 黄圣池
'jiu'xiao'qi 酒小七
'lei'si'hai 雷四海
'lin'hao'yang 林浩洋
'lin'sang 林桑
'lin'zi 林梓
'lu'chen 路晨
'ma'kui 马骙
'ming'tian 明天
'nan'ti'da 南体大
'nan'yang'ti'yu'da'xue 南阳体育大学
'ou'yang'heng 欧阳恒
'ou'yang'ji 欧阳季
'pang'han'chen 庞瀚辰
'peng'yu'chang 彭昱畅
'qi'rui'feng 祁睿峰
'shi'xi'ji'zhe 实习记者
'sun'bu'fan 孙不凡
'sun'yang 孙杨
'tan'song'yun 谭松韵
'tang'fei 唐飞
'tang'yi'bai 唐一白
'ti'tan'zhou'bao 体坛周报
'wang'bin 王斌
'wang'mao'lei 王茂蕾
'wang'zi'xuan 王子璇
'wu'yong 伍勇
'xiang'yang'yang 向阳阳
'xin'rui'qi 辛瑞琪
'xiong'zi'qi 熊梓淇
'yan'xiao 闫笑
'yang'ting'dong 杨廷东
'yong'dui'dui'yi 泳队队医
'yong'tan'nan'shen 泳坛男神
'yuan'run'mei 袁润梅
'yun'duo 云朵
'zhang'heng 张恒
'zhang'jun'ning 张峻宁
'zhang'wen'jun 张文俊
'zhao'qian 赵倩
'zheng'ling'ye 郑凌晔
