'dong'qu 东区
'dong'qu'dong'gan'di'dai 东区动感地带
'dong'xiao'qu 东校区
'er'hao'lou 二号楼
'he'shi'da'shang'ye'jie 河师大商业街
'jie'ti'lou 阶梯楼
'mao'ye'ye 毛爷爷
'mao'ye'ye'xiang'di'xia 毛爷爷像底下
'po'jie 破街
'qi'zhi'lou 启智楼
'tian'jia'bing'lou 田家炳楼
'tu'shu'guan 图书馆
'tu'shu'guan'hou'mian 图书馆后面
'wan'ren'can'ting 万人餐厅
'wan'ren'keng 万人坑
'wan'ren'keng'er'lou 万人坑二楼
'xi'qu 西区
'xi'qu'dong'gan'di'dai 西区动感地带
'xi'si'lou 西四楼
'xi'wu'lou 西五楼
'xi'xiao'qu 西校区
'xiao'pang 小胖
'xiao'pang'chao'shi 小胖超市
'xiao'xun'shi 校训石
'xing'chen 星辰
'xing'chen'chao'shi 星辰超市
'xue'fu'can'ting 学府餐厅
'zhong'xin'hua'yuan 中心花园
'zhong'yi'lou'hou'mian 中一楼后面
