'a'er'bo'te'shi'huai'zhe 阿尔伯特史怀哲
'a'er'fa'zu 阿尔法组
'a'gu'si 阿古斯
'a'gu'si'da'wei 阿古斯大尉
'a'la'bo'lian'meng'yi'zhang 阿拉伯联盟议长
'bu'lai'ke 布莱克
'bu'lai'ke'bu'er 布莱克布尔
'chen'chuan'wan 沉船湾
'cheng'da'xiao'cao 成大校草
'chong'feng'wu'lu'ke 重逢乌鲁克
'chuang'bian'suo'wen 窗边索吻
'dan'ni'er 丹尼尔
'dan'ni'er'yi'sheng 丹尼尔医生
'dong'hai'bu'dui 东海部队
'dong'ling'mei'nv 冻龄美女
'fu'qiang'nei'chu'xie 腹腔内出血
'hai'xing'yi'liao'dui 海星医疗队
'hai'xing'yi'yuan 海星医院
'han'ju 韩剧
'ji'ji'zhong'ji 积极仲基
'jiang'mu'yan 姜暮烟
'jiang'xin'ri 姜信日
'jin'en'shu 金恩淑
'jin'jiu 晋久
'jin'min'shuo 金敏硕
'jin'qi'fan 金起范
'jin'yuan'xi 金元锡
'jin'zhi'yuan 金智媛
'kai'fu'shou'shu 开腹手术
'kong'bu'fen'zi 恐怖分子
'kong'xia'shi 孔下士
'kong'zhe'gao 孔哲镐
'lan'dong 蓝洞
'li'guang'zhu 李光洙
'li'yi'hua 李艺花
'li'ying'fu 李应福
'li'zhen'ji 李珍基
'li'zhi'xun 李致勋
'lian'he'guo'wei'he'bu'dui 联合国维和部队
'liao'mei 撩妹
'liao'mei'ji'neng 撩妹技能
'lie'xing'zha'dan 烈性炸弹
'liu'shi'zhen 刘时镇
'liu'shi'zhen 柳时镇
'lu'jun'te'zhan'si'ling'bu 陆军特战司令部
'lu'zhan'dui 陆战队
'mei'jun'san'jiao'zhou 美军三角洲
'mo'fa'ding'dan 魔法订单
'pa'di'ma 帕蒂玛
'pa'ti'nong'shen'miao 帕提侬神庙
'qian'zhong'du 铅中毒
'qiao'mei 乔妹
'qing'wa'tai 青瓦台
'quan'xiu'zhen 全秀珍
'shi'zi'ren'dai 十字韧带
'shuang'chong'er'lei 双重饵雷
'shuang'song 双宋
'si'wang'shang'ren 死亡商人
'song'hui'qiao 宋慧乔
'song'zhong'ji 宋仲基
'ta'li'ban 塔利班
'tai'bai'bu'dui 太白部队
'te'zhan'bu'dui 特战部队
'tian'tai'wen 天台吻
'tie'xue'jing'cheng 铁血精诚
'wen'nuan'bi'an 温暖彼岸
'wu'jin'dian 五金店
'wu'lu'ke 乌鲁克
'xi'ri'zhan'you 昔日战友
'xu'da'rong 徐大荣
'xuan'ya'tuo'xian 悬崖脱险
'yi'ji'fang'yu'jing'bao 一级防御警报
'yin'ji'jun 尹吉俊
'yin'mei'lai 尹美莱
'yin'ming'zhu 尹明珠
'zha'jin'suo'si 扎金索斯
'zhao'tai'guan 赵太官
'zhen'feng'xiang'dui 针锋相对
'zheng'yi'de'bao'li 正义的暴力
'zhi'nang'zhong'ji 智囊仲基
'zhi'yu'xi'luo'man'shi 治愈系罗曼史
'zhong'ji'ou'ba 仲基欧巴
