'an'juan 案卷
'an'juan'feng'mian 案卷封面
'an'juan'mu'lu 案卷目录
'an'juan'ti'ming 案卷题名
'bao'guan'qi'xian 保管期限
'bei'zhu 备注
'bian'mu 编目
'bian'zuan 编纂
'biao'yin 标引
'bu'men'dang'an'guan 部门档案馆
'cha'yue'shi 查阅室
'da'shi'ji 大事记
'dang'an 档案
'dang'an'bian'yan 档案编研
'dang'an'gong'zuo 档案工作
'dang'an'guan 档案馆
'dang'an'guan'li 档案管理
'dang'an'guan'zhi'nan 档案馆指南
'dang'an'jia'zhi 档案价值
'dang'an'jian'ding 档案鉴定
'dang'an'jian'suo 档案检索
'dang'an'li'yong 档案利用
'dang'an'shi 档案室
'dang'an'shou'cang 档案收藏
'dang'an'shou'ji 档案收集
'dang'an'suo'wei'pin 档案缩微品
'dang'an'xue 档案学
'dang'an'zhan'lan 档案展览
'dang'an'zhu'ti'ci'biao 档案主题词表
'dang'an'zhuang'ju 档案装具
'dang'an'zi'liao'mu'lu'zhong'xin 档案资料目录中心
'dang'hao 档号
'dang'hao'zhang 档号章
'di'ming'suo'yin 地名索引
'di'tu 底图
'di'tu'gui 底图柜
'di'tu'mi'ji'jia 底图密集架
'dian'zi'dang'an 电子档案
'dian'zi'dang'an'guan 电子档案馆
'dian'zi'gong'wen 电子公文
'dian'zi'wen'jian 电子文件
'ding'gao 定稿
'fang'ci'gui 防磁柜
'fen'lei'biao'yin 分类标引
'fen'lei'mu'lu 分类目录
'feng'mian 封面
'fu'ben 副本
'fu'zhi'jian 复制件
'gan'bu'zhi'gong'dang'an 干部职工档案
'gao'su'sao'miao'yi 高速扫描仪
'gong'bu 公布
'gong'gong'dang'an 公共档案
'guan'cang 馆藏
'guan'jian'ci 关键词
'guang'pan'ji 光盘机
'gui'dang 归档
'gui'dang'wen'jian 归档文件
'gui'dang'wen'jian'mu'lu 归档文件目录
'guo'jia'dang'an 国家档案
'hu'jian'hao 互见号
'hui'ji'quan'zong 汇集全宗
'ji'cun 寄存
'ji'guan'dang'an'shi 机关档案室
'jia'gu 加固
'jia'shi 加湿
'jiang'mi 降密
'jiao'huan 交换
'jie'mi 解密
'jie'shou 接收
'jie'zhi 介质
'juan'nei'bei'kao'biao 卷内备考表
'juan'nei'wen'jian'mu'lu 卷内文件目录
'juan'zeng 捐赠
'kai'fang 开放
'ke'ji'dang'an 科技档案
'ke'ji'juan'pi 科技卷皮
'ke'xue'ji'shu'dang'an 科学技术档案
'kong'qi'xiao'du'ji 空气消毒机
'kuai'ji'dang'an 会计档案
'lian'he'quan'zong 联合全宗
'mi'ji 密级
'mi'ji'jia 密集架
'nai'jiu'xing 耐久性
'qi'ye'dang'an'guan 企业档案馆
'qu'wu 去污
'quan'zong 全宗
'quan'zong'dan 全宗单
'quan'zong'hao 全宗号
'quan'zong'jie'shao 全宗介绍
'quan'zong'ka'pian 全宗卡片
'quan'zong'qun 全宗群
'quan'zong'zhi'nan 全宗指南
'ren'ming'suo'yin 人名索引
'ri'qi 日期
'san'cun'dang'an 散存档案
'san'shi'dang'an 散失档案
'she'qu'dang'an 社区档案
'sheng'xiang'dang'an 声像档案
'shou'gao 手稿
'shu'zi'hua'jia'gong 数字化加工
'si'ren'dang'an 私人档案
'suo'wei'she'ying 缩微摄影
'tiao'mu 条目
'tui'bian 褪变
'tui'shi 退湿
'tuo'suan 脱酸
'wen'ben 文本
'wen'hao 文号
'wen'hao'suo'yin 文号索引
'wen'jian'dian'zi'xiao'du'gui 文件电子消毒柜
'wen'jian'ti'ming 文件题名
'wen'shi'du'ce'kong'yi 温湿度测控仪
'wen'shu'dang'an 文书档案
'wen'shu'jian'pi 文书件皮
'wen'shu'juan'pi 文书卷皮
'wen'zhong 文种
'wu'suan'zhi 无酸纸
'wu'wu'jia'shi'qi 无雾加湿器
'xiao'du'shi 消毒室
'xiao'hui 销毁
'xiao'hui'qing'ce 销毁清册
'xiao'lan 消蓝
'xiu'biao 修裱
'xiu'fu 修复
'xun'zheng 熏蒸
'ye'wu'dang'an 业务档案
'yi'gong'kai'xian'xing'wen'jian 已公开现行文件
'yi'jiao 移交
'yi'liao'dang'an 医疗档案
'yin'xiang'dang'an 音像档案
'yuan'gao 原稿
'yuan'jian 原件
'yue'lan'shi 阅览室
'zai'ti 载体
'ze'ren'zhe 责任者
'zhao'pian'dang'an 照片档案
'zheng'ben 正本
'zheng'ji 征集
'zheng'li 整理
'zheng'li'shi 整理室
'zheng'ming 证明
'zhu'lu 著录
'zhu'ti'biao'yin 主题标引
'zhu'ti'ci 主题词
'zhu'ti'mu'lu 主题目录
'zhuan'ti'gai'yao 专题概要
'zhuan'ti'jie'shao 专题介绍
'zhuan'ti'mu'lu 专题目录
'zhuan'ti'zhi'nan 专题指南
'zhuan'ye'dang'an'guan 专业档案馆
'zi'hao 字号
'zi'xun'fu'wu 咨询服务
'zi'you'suo'yin 自由索引
'zong'he'dang'an'guan 综合档案馆
'zu'zhi'yan'ge 组织沿革
