'a'zi'fu'chuang'qi 阿姊扶床泣
'an'de'chang'an'du'shou 安得长安毒手
'an'liao'shu'hong'shui'xing'qing 岸蓼疏红水荇青
'an'yong'zan'yuan'hai'que 安用暂圆还缺
'ao'hen'you'lan'qiang'zhu'zhang 懊恨幽兰强主张
'ba'jian'wang'lang'bin'yi'po 拔剑王郎鬓已皤
'ba'jiao'zhang'guo'shi'lan'gan 芭蕉长过石阑干
'ba'jiu'ting'jun'ge 把酒听君歌
'bai'fa'yu'qiao'jiang'zhu'shang 白发渔樵江渚上
'bai'jia'chi'guan 白家池馆
'bai'lian'qiao'xia'zan'ting'zhou 白莲桥下暂停舟
'bai'nian'yi'ji'liu'ren'shi 百年遗迹留人世
'bai'niao'qun'fei'yan'shu'mo 白鸟群飞烟树末
'bai'ou'bo'di'wu'hu'tian 白鸥波底五湖天
'bai'pu'chao'zhong'cuo'ti'que 白朴朝中措题阙
'bai'pu'xi'jiang'yue'yu'fu 白朴西江月渔父
'bai'ri'qing'tian'bi'hu'mian 白日青天闭户眠
'bai'yan'qing'tian'wan'li'xin 白眼青天万里心
'bai'yu'ru'shuang'chu'sai'han 白羽如霜出塞寒
'bai'yun'fei'shang'tian 白云飞上天
'bai'yun'jiao'cui'yan'shan'xia 白云交瘁燕山下
'bai'yun'kong'cui'dong'ting'shan 白云空翠洞庭山
'bai'yun'xiang'song'da'jiang'xi 白云相送大江西
'ban'mian'nao'hong'zhuang 半面恼红妆
'ban'shi'gong'ming'zai'meng'zhong 半世功名在梦中
'ban'tian'lei'dian'jin'pai'leng 半天雷电金牌冷
'bei'gu'shan'qian'yue'se'han 北固山前月色寒
'bei'li'chuan'tou'zi'cai'ling 背立船头自采菱
'bei'ren'xie'qu'luo'yu'ji 背人斜去落渔矶
'bei'wo'man'ta'si'shi'nian 被我瞒他四十年
'ben'zi'min'yong'fan'wei'yang 本资民用反为殃
'bi'duan'chu'zhe'cheng'xiao'shou 鼻端触着成消受
'bi'hu'ping'mei'man'wu'xiang 闭户瓶梅满屋香
'bi'huang'xiang'dui'ru'qin'hai 碧篁相对乳禽还
'bi'ji'ti'luo'shan'tou'yue 碧鸡啼落山头月
'bi'sha'liu'shui'qian'ru'chun 碧沙流水浅如春
'bi'yun'hong'yu'xiao'lou'kong 碧云红雨小楼空
'bi'yun'xi'pan 碧云西畔
'bian'ji'ge'gu'zhong'da'yi 便几个孤忠大义
'bian'jiao'si'hai'jin'rang 变教四海金穰
'bian'shi'zao'chun'xiang'bie'chu 便是早春相别处
'bian'xin'jiu'kai'zhong'shi'ding 边衅久开终是定
'bian'xu'jie'ta'yun'lin'guan 便须借榻云林馆
'bian'yue'chui'yang'guo'xiao'di 鞭约垂杨过小堤
'bie'lai'hu'dou'you'sheng'ya 别来虎豆又生牙
'bie'shi'qiu'guang'yi'pian 别是秋光一片
'bie'shi'xian'zao'dao'xian'chi 别时嫌早到嫌迟
'bie'yuan'jin'dao'cai'bai'zhu 别院金刀裁白苎
'bin'yan'lai'shi'yue'man'zhou 宾雁来时月满洲
'bing'chu'chen'si'dao'jiu'bian 并触沉思到酒边
'bing'dao'zuo'ye'xia'zhong'ming 并刀昨夜匣中鸣
'bing'han'feng'ren'yu'nong'ge 兵悍逢人欲弄戈
'bing'qing'yu'lie 冰清玉烈
'bing'shuang'ru'xu'zi'jing'shen 冰霜如许自精神
'bo'guang'shui'niao'jing'you'su 波光水鸟惊犹宿
'bo'huan'ci'jia'yuan 薄宦辞家远
'bo'lie'dong'feng 薄劣东风
'bu'ci'xin'ku'chu'shan'lin 不辞辛苦出山林
'bu'dan'cheng'tou'wu'ye'ti 不但城头乌夜啼
'bu'dao'lv'chuang'shen'chu'gu'ren'fei 不道绿窗深处故人非
'bu'de'zhong'nan'zai'yan'qian 不得中男在眼前
'bu'ji'xian'chuang'wu'meng'chang 不及闲窗午梦长
'bu'jian'dang'shi'mi'lu'you 不见当时麋鹿游
'bu'jian'xue'hua'fei'man'di 不见雪花飞满地
'bu'jin'man'di'ming'huang 不禁满地暝蝗
'bu'jue'dao'jun'jia 不觉到君家
'bu'kan'fu'xie'fu'yun'zhi 不堪复写拂云枝
'bu'ken'kai'hua'bu'chen'yan 不肯开花不趁妍
'bu'qian'fei'hua'song'ke'gui 不遣飞花送客归
'bu'qiu'jian'mian'wei'tong'ye 不求见面惟通谒
'bu'ru'ci'mu'xian'hen'duo 不如慈母线痕多
'bu'si'mi'sheng'zhong'jian'sha 不似祢生终见杀
'bu'xian'feng'lu'leng 不嫌风露冷
