'bei'ge 贝格
'bei'lu'xian'ying'ye 贝路显影液
'bei'ya'de 贝雅德
'bi'li'jia'hou 比例加厚
'bi'li'jian'bao 比例减薄
'bi'se'mi'du 比色密度
'bu'ji'xin'hui'xing'xiang'cha 不集心慧形像差
'bu'ji'xin'xiang'cha 不集心像差
'bu'jun'yun'bian'xing 不均匀变形
'bu'ke'jian'she'xian 不可见射线
'da'guang'zhi 大光纸
'da'kou'jing'jing'tou 大口径镜头
'da'si'kai'zhao'xiang'ji 大四开照相机
'da'su'da 大苏打
'da'xing'zhao'xiang'ji 大型照相机
'da'zhong'she'ying 大众摄影
'ding'chun 丁醇
'ding'tong 丁酮
'er'ci'dian'zi'dian'dao'she'xiang'guan 二次电子电导摄像管
'er'dang'liang'cheng'se'ji 二当量成色剂
'er'gan'chun 二甘醇
'er'se'xing'hui'wu 二色性灰雾
'er'xiang'se'lv'guang'pian 二向色滤光片
'er'yang'hua'tai'gan'guang'cai'liao 二氧化钛感光材料
'er'yi'ji'yang'tan'jing'dian'yan 二乙基氧碳菁碘盐
'fan'cha 反差
'fan'cha'ce'liang'zi'dong'tiao'jiao 反差测量自动调焦
'fan'cha'lv'se'jing 反差滤色镜
'fan'cha'ping'heng 反差平衡
'fan'cha'xi'shu 反差系数
'fan'cha'xi'shu'ji'xian 反差系数极限
'fan'cha'zhi'shu 反差指数
'fan'chen'xiao'guo 反衬效果
'fan'guang'ju'jiao'qi 反光聚焦器
'fan'guang'san 反光伞
'fan'guang'shi'ping'shi'qu'jing'qi 反光式平视取景器
'fan'guang'zhao'xiang'ji 反光照相机
'fan'she 反射
'fan'she'ding'lv 反射定律
'fan'she'guang 反射光
'fan'she'guang'shan 反射光栅
'fan'she'jiao 反射角
'fan'she'lv 反射率
'fan'she'mi'du 反射密度
'fan'she'quan'xi'zhao'pian 反射全息照片
'fan'she'shi'ce'guang'biao 反射式测光表
'fan'she'shi'tian'wen'she'ying'jing'tou 反射式天文摄影镜头
'fan'she'shi'yuan'she'jing'tou 反射式远摄镜头
'fan'she'yin'xiang 反射印相
'fan'xiang 反像
'fan'zhuan'bao'guang 反转曝光
'fan'zhuan'bao'guang'liang 反转曝光量
'fan'zhuan'fu'diao 反转浮雕
'fan'zhuan'mi'du 反转密度
'fan'zhuan'pian 反转片
'fan'zhuan'wang'yuan'jing'tou 反转望远镜头
'fan'zhuan'zhao'xiang'zhi 反转照相纸
'fang'fu'hua'mian 方幅画面
'fang'he'fei'xian 方和斐线
'fang'he'zhao'xiang'ji 方盒照相机
'fang'xiang'xiao'ying 方向效应
'fen'diao'zhao'pian 分调照片
'fen'guang'mo 分光膜
'fen'li'pai 分离派
'fen'qu'rou'guang'jing 分区柔光镜
'fen'san'quan 分散圈
'fen'se'mo'pian 分色模片
'fen'se'pian 分色片
'fen'se'zhao'xiang'ji 分色照相机
'fen'xi'mi'du 分析密度
'fen'xiang'jing 分像镜
'feng'jing'she'ying 风景摄影
'gan'fa'zhong'dan'zhi 干法重氮纸
'gan'lao'su 干酪素
'gan'lao'su'jia'mo 干酪素加膜
'gan'she'lv'guang'pian 干涉滤光片
'gan'xing'you 干性油
'gan'yin'zhi 干银纸
'gan'zao 干燥
'ge'gong'zhen 戈公振
'gong'ye'dian'shi 工业电视
'gong'ye'she'ying 工业摄影
'gong'zuo'ye 工作液
'guang'gao'she'ying 广告摄影
'guang'jiao'bian'jiao'jing'tou 广角变焦镜头
'guang'jiao'fang'da'jing'tou 广角放大镜头
'guang'jiao'jing'tou 广角镜头
'hu'huan'jie'huan 互换接环
'hu'yi'lv 互易律
'hu'yi'xiao'ying 互易效应
'hua'chu'hua'ru 化出化入
'hua'dan'fa 化淡法
'hua'xue'cheng'shu 化学成熟
'hua'xue'hui'wu 化学灰雾
'hua'xue'jia'hou 化学加厚
'hua'xue'shan'guang'deng 化学闪光灯
'hua'xue'xian'ying 化学显影
'hua'xue'zeng'gan 化学增感
'hua'xue'zeng'gan'ji 化学增感剂
'hua'xue'zhuo'se 化学着色
'huo'hua 火花
'huo'mian'jiao 火棉胶
'huo'mian'jiao'ru'ji'fa 火棉胶乳剂法
'huo'mian'jiao'she'ying'shu 火棉胶摄影术
'ji'he'guang'xue 几何光学
'ji'nu'ni 几奴尼
'jiu'gen'fa 九根法
'jiu'gong'ge'gou'tu 九宫格构图
'ju'xing'bian'jiao'jing'tou 巨型变焦镜头
'ju'xing'zhao'xiang'ji 巨型照相机
'kai'jing'le'wang'yuan'jing 开警勒望远镜
'kou'jing 口径
'liu'pian'lin'suan'na 六偏磷酸钠
'ma'da'juan'pian'qi 马达卷片器
'ma'ding 马丁
'ma'ke'fa'xun 马克法逊
'ma'si'ke 马斯克
'ma'si'ke'bu'zu 马斯克不足
'ma'si'ke'guo'du 马斯克过度
'mu'cun'yi'bing'wei 木村伊兵卫
'mu'ou'ying'pian 木偶影片
'nei'ce'guang'xian'shi 内测光显示
'nei'fang'guang'yun'ran'liao 内防光晕染料
'nei'ou'fa'cai'se'pian 内偶法彩色片
