'a'lian'gao'xiu 阿连高秀
'bu'yao'fan'ji'yu'xiao'man 不要樊姬与小蛮
'bu'yao'shan'yin'dao'shi'e 不要山阴道士鹅
'bu'yin'bang'ren'xiao'wo 不饮傍人笑我
'bu'yin'song'ke'xia'sheng'chuang 不因送客下绳床
'bu'yong'deng'lin'hen'luo'hui 不用登临恨落晖
'bu'yong'deng'lin'song'luo'hui 不用登临送落晖
'bu'yu'heng'e'zuo'ban'lai 不与姮娥作伴来
'bu'zhi'yun'wai 不知云外
'bu'zui'yu'yan'gui 不醉欲言归
'bu'zui'zen'gui'de 不醉怎归得
'cai'lian'yi'qu'qing'ge 采莲一曲清歌
'cai'sheng'luo'qi 才胜罗绮
'cai'you'ji'ri'shi'fen'yuan 才有几日十分圆
'can'jun'chui'mao'wan'feng'dian 参军吹帽晚风颠
'can'kui'shi'weng'qing'xie'yu'zhao'hun 惭愧诗翁清些与招魂
'can'xiu'mei'xin'qing 残绣没心情
'cang'ya'wan'ren 苍崖万仞
'cang'yan'hua'fa 苍颜华发
'cao'lv'yan'shen'he'chu'shi 草绿烟深何处是
'ceng'gong'jie'he'huan'luo'dai 曾共结合欢罗带
'ceng'sui'tian'zhang 曾随天仗
'ceng'xian'wen'chang'pi'hu'zhen 曾陷文场貔虎阵
'cha'ci'san'shou 茶词三首
'cha'fan'ke'ceng'chui 茶饭可曾炊
'cha'shan'hua 插山花
'cha'yun'san 插云鬖
'chai'juan'xiu 钗罥袖
'chan'tou'yi'hu'ming'zhu 缠头一斛明珠
'chang'ban'cai'luan'gui 长伴彩鸾归
'chang'e'he'chu 嫦娥何处
'chang'hen'jian'yi'nan 常恨见伊难
'chang'nian'ye'yu 常年夜雨
'chang'ru'meng 长入梦
'chang'shi'yi'feng'guang 长是倚风光
'chang'shi'zun'lei'lang'ji'qu 常是尊罍狼藉去
'chang'shui'wan 长睡晚
'chang'song'lin'xia'de'ling'gen 长松林下得灵根
'chang'ting'liu 长亭柳
'chang'xiao'yi'he'wei 长啸亦何为
'chang'yang'feng'diao'qing'cong'wei 长杨风掉青骢尾
'chang'zui'shang'yue'xia'hua'zhi 长醉赏月下花枝
'chao'ting'shang'mi'xuan'zhen'zi 朝廷尚觅玄真子
'che'shang'wei'po'jin'yao'tui 车上危坡尽要推
'chen'wo 嗔我
'cheng'fa'yao 呈法要
'cheng'he'huan'yi 成何欢意
'cheng'jia'jing 成佳境
'cheng'jian'chu 呈见处
'cheng'nan'cheng'bei'kan'tao'li 城南城北看桃李
'cheng'si'yu 成死语
'cheng'wei'xi'shang'zhen 称为席上珍
'chi'she 驰射
'chi'ying'chui'zhui'ya'lan'zhi 赤英垂坠压阑枝
'chong'er'zhen'ge'e'ling'li 虫儿真个恶灵利
'chong'kai'yan 重开宴
'chong'lai 重来
'chong'po'xiao'han'kai 冲破晓寒开
'chong'ru'gui'men'guan 重入鬼门关
'chou'bo'ge'si'zhong'suo 愁拨个丝中索
'chou'dai'bu'xu'duo 愁黛不须多
'chou'duo'lan'hua'mei 愁多懒画眉
'chou'hua'luan'rui 稠花乱蕊
'chou'jue 愁绝
'chou'lai'ji'bian'qu'xun'fang 愁来即便去寻芳
'chou'nu'er'de'yi'xu'duo'shi 丑奴儿得意许多时
'chou'nu'er'ji'chu'hao'de'xie 丑奴儿济楚好得些
'chou'yi'lan'gan 愁倚阑干
'chu'cai'ying'ju 初采盈掬
'chu'chu'chun'shan'cui'zhong 处处春山翠重
'chu'chu'you'ren'cu'yuan'zhou 处处游人簇远洲
'chu'fei'wen'qu'huang'li 除非问取黄鹂
'chu'shan'qian'li'mu'yun 楚山千里暮云
'chu'wan'yun'huan 初绾云鬟
'chuan'bei'you'si'shao'nian'hao 传杯犹似少年豪
'chuan'yu'xi'feng'qie'man'chui 传语西风且慢吹
'chui'ru'qing'yun'qu 吹入青云去
'chun'cao'chi'tang'ling'xie'ke 春草池塘凌谢客
'chun'chuang'yuan'xiu'mei 春窗远岫眉
'chun'feng'hua'cao'xiang 春风花草香
'chun'feng'yi'mian'chang'han'xiao 春风一面长含笑
'chun'gui'he'chu 春归何处
'chun'guo 春过
'chun'jin'ye 春尽也
'chun'lai'mei'ge'zhe'lan 春来没个遮阑
'chun'man'huang'du 春满皇都
'chun'qu'ji'shi'hai 春去几时还
'chun'ru'wu'ling'xi 春入武陵溪
'chun'se'man'jiang'nan 春色满江南
'chun'shui'mang'mang 春水茫茫
'chun'wei'tou 春未透
'chun'wu'zong'ji'shui'zhi 春无踪迹谁知
'chun'yi'dao'nan'zhi 春意到南枝
'chun'yi'jian'gui'fang'cao 春意渐归芳草
'ci'chu'hu'xiang'feng 此处忽相逢
'ci'kong'zai 词空在
'ci'shen'wu'lu'ru'xiu'men 此身无路入修门
'ci'ye'deng'lou 此夜登楼
'ci'yi'tao'qian'jie 此意陶潜解
'cong'jin'qu 从今去
'cong'yi'bian'zhai'wa'gong'xie 从伊便窄袜弓鞋
'cu'pai'man'lu'hua 促拍满路花
'cui'e'fu'ru'zui'shi'jian 翠娥扶入醉时肩
'cui'feng'xiang'yi 翠峰相倚
'cui'guan'xi'tong'yan'liu 翠管细通岩溜
'cui'guang'jiao'ying'xu'ting 翠光交映虚亭
'cui'jiu'cui'geng 催酒催更
'cui'jiu'mo'chi'liu 催酒莫迟留
'cui'ming'yin'xuan'zhu'han'quan 催茗饮旋煮寒泉
'cui'tui 摧颓
'cui'xiang'chan 翠相搀
'cui'xing'zhao 催行棹
'cui'yu'xian'dan'shu'zhuang 翠玉闲淡梳妆
'cui'zui 催醉
'cun'li'huang'fan'chuo 村里黄繙绰
'cun'li'xie'an'shi 村里谢安石
'da'bu'cheng 大不成
'da'jie'er'fei'chang'qie'yi 打揭儿非常惬意
'dai'lai'shi 待来时
'dai'xin'nian'huan'ji 待新年欢计
'dai'yue'xin'pei 待约新醅
