'an'niu 按钮
'an'quan'ji'dian'qi 安全继电器
'bi'lei'qi 避雷器
'bian'ma'qi 编码器
'bian'pin'dian'ji 变频电机
'bian'pin'qi 变频器
'bian'ya'qi 变压器
'bo'xian'qian 剥线钳
'bu'jin'dian'ji 步进电机
'cao'zuo'ji'gou 操作机构
'cha'tou 插头
'cha'zuo 插座
'chang'bi'chu'dian 常闭触点
'chang'kai'chu'dian 常开触点
'chao'sheng'bo'chuan'gan'qi 超声波传感器
'chou'chu'shi 抽出式
'chu'tou 触头
'ci'tuo'kou 磁脱扣
'ci'xing'kai'guan 磁性开关
'dai'deng'an'niu 带灯按钮
'dan'xiang'dian'du'biao 单相电度表
'dao'gui 导轨
'dao'kai'guan 刀开关
'deng'dian'wei 等电位
'di'ya'pei'dian'gui 低压配电柜
'dian'ci'xian'quan 电磁线圈
'dian'dong'ji'bao'hu'qi 电动机保护器
'dian'du'biao 电度表
'dian'gan'shi 电感式
'dian'ling 电铃
'dian'liu'biao 电流表
'dian'liu'ji'dian'qi 电流继电器
'dian'rong'shi 电容式
'dian'wei'qi 电位器
'dian'ya'biao 电压表
'dian'ya'ji'dian'qi 电压继电器
'dian'zu'qi 电阻器
'dong'li'pei'dian'xiang 动力配电箱
'duan'lu'qi 断路器
'duan'zi'pai 端子排
'dui'jiang'men'ling 对讲门铃
'duo'xin'dian'lan 多芯电缆
'e'ding'dian'liu 额定电流
'e'ding'dian'ya 额定电压
'e'ding'gong'lv 额定功率
'e'ding'pin'lv 额定频率
'e'ding'rong'liang 额定容量
'e'ding'zhuan'su 额定转速
'er'ci'fang'an 二次方案
'fang'bao'dian'ji 防爆电机
'fen'li'tuo'kou 分励脱扣
'feng'ming'qi 蜂鸣器
'fu'he'kai'guan 负荷开关
'fu'zhu'chu'dian 辅助触点
'ge'li'kai'guan 隔离开关
'ge'li'qi 隔离器
'gu'ding'shi 固定式
'gu'tai'ji'dian'qi 固态继电器
'guan'jie'tou 管接头
'guan'zhuang'duan'zi 管状端子
'guang'dian'chuan'gan'qi 光电传感器
'guang'dian'kai'guan 光电开关
'guang'mu 光幕
'guo'du'jia 过渡夹
'guo'ya'tuo'kou 过压脱扣
'hang'kong'cha'tou 航空插头
'hu'gan'qi 互感器
'hu'han'ji 弧焊机
'hu'tao'xian 护套线
'hun'he'shi 混合式
'ji'dian'qi 继电器
'ji'dian'qi'xian'quan 继电器线圈
'ji'liang 计量
'ji'ting'an'niu 急停按钮
'jia're'guan 加热管
'jian'zui'qian 尖嘴钳
'jiao'liu'jie'chu'qi 交流接触器
'jiao'liu'qu'dong 交流驱动
'jie'chu'qi 接触器
'jie'jin'kai'guan 接近开关
'jie'xian'duan'zi 接线端子
'jie'xian'duan'zi'ban 接线端子板
'jin'shu'ruan'guan 金属软管
'kong'zhi'an'niu 控制按钮
'kuang'jia'duan'lu'qi 框架断路器
'kui'dian 馈电
'lang'yong'bao'hu'qi 浪涌保护器
'lang'yong'xi'shou'qi 浪涌吸收器
'lou'dian'duan'lu'qi 漏电断路器
'lv'pai 铝排
'mie'hu'shan 灭弧栅
'mie'hu'shan'pian 灭弧栅片
'mie'hu'shi 灭弧室
'mo'gu'tou'an'niu 蘑菇头按钮
'mu'xian'pai 母线排
'pei'dian'xiang 配电箱
'pin'lv'bian'zu'qi 频率变阻器
'pin'lv'biao 频率表
'ping'bi'ceng 屏蔽层
'ping'bi'dian'lan 屏蔽电缆
'ping'bi'xian 屏蔽线
