'an'fa'ke 安法科
'cai'wu'shi 财务室
'cheng'zhi'jiao'ke 成职教科
'dang'qun'gong'zuo'ban'gong'shi 党群工作办公室
'du'dao'shi 督导室
'fa'zhan'gui'hua'ke 发展规划科
'ji'cha'dui 稽查队
'jiao'shi'fa'zhan'zhong'xin 教师发展中心
'jiao'yan'shi 教研室
'pu'jiao'ke 普教科
'ren'shi'ke 人事科
'si'zheng'ti'wei'ke 思政体卫科
'xiao'chan'ban 校产办
'you'jiao'ke 幼教科
'zhi'fu'zhong'xin 支付中心
