'a'yin 阿银
'an'chi'jin 暗赤金
'an'mo'xie'shen'hu 暗魔邪神虎
'an'qi'bai'jie 暗器百解
'an'qi'zhi'fa 暗器之法
'ao'ning 奥宁
'ao'si'ka 奥斯卡
'ba'jiao'xuan'bing'cao 八角玄冰草
'ba'zhu'mao 八蛛矛
'ba'zhu'mao'zhi'wai'fu'hun'gu 八蛛矛之外附魂骨
'bai'chen'xiang 白沉香
'bai'he 白鹤
'bai'hu'dou'luo 白虎斗罗
'bai'hu'hu'shen'zhang 白虎护身障
'bai'hu'jin'gang'bian 白虎金刚变
'bai'hu'lie'guang'bo 白虎烈光波
'bai'hu'liu'xing'yu 白虎流星雨
'bai'hu'mo'shen'bian 白虎魔神变
'bai'hu'po'mie'sha 白虎破灭杀
'bai'hu'tian'lei'mie 白虎天雷灭
'bai'hu'xiao'tian'ji 白虎啸天击
'bai'hu'zhen'shen 白虎真身
'bai'se'de'you'bi'gu 白色的右臂骨
'ban'shen 半神
'bao'yu'li'hua'zhen 暴雨梨花针
'bi'bi'dong 比比东
'bi'bo 碧波
'bi'lin'she'huang 碧磷蛇皇
'bo'sai'xi 波塞西
'chan'rao 缠绕
'chao'yue'ji'xian'mo'lv'chang 超越极限墨绿肠
'chi'jin 赤金
'chu'ji'tie'jiang 初级铁匠
'da'di'yi'huang'zhan 大地蚁皇斩
'da'di'zhi'li 大地之力
'da'hun'shi 大魂师
'da'li'jin'gang'xiong 大力金刚熊
'da'shi 大师
'da'xu'mi'chui 大须弥锤
'dai'hao 戴浩
'dai'hua'bin 戴华斌
'dai'luo'li 戴洛黎
'dai'mu'bai 戴沐白
'dai'wei'si 戴维斯
'dai'yao'heng 戴钥衡
'dai'yu'hao 戴雨浩
'di'shi'san'shi 第十三式
'di'xue'mo'zhu 地穴魔蛛
'dian'feng'dou'luo 巅峰斗罗
'ding'li'zhi'po 定力之破
'dou'luo'da'lu 斗罗大陆
'du'dou'luo 毒斗罗
'du'gu'bo 独孤博
'duo'yi'ban'zuan'shi'chang 多一半钻石肠
'er'ji'shen'qi 二级神祇
'fang'yu'hun'ji 防御魂技
'feng'hao'dou'luo 封号斗罗
'feng'huang'chuan'yun'ji 凤凰穿云击
'feng'huang'dou'luo 凤凰斗罗
'feng'huang'huo'xian 凤凰火线
'feng'huang'liu'xing'yu 凤凰流星雨
'feng'huang'xiao'tian'ji 凤凰啸天击
'feng'huang'zhi'shen 凤凰之神
'feng'yi'tian'xiang 凤翼天翔
'feng'zhi 风致
'fo'nu'tang'lian 佛怒唐莲
'fu'lan'de 弗兰德
'fu'zhi'jing'xiang'chang 复制镜像肠
'fu'zhu'ji 辅助技
'gao'ji'tie'jiang 高级铁匠
'guai'wu'tian'cai 怪物天才
'guan'yin'you'lei 观音有泪
'gui'teng 鬼藤
'gui'ying'mi'zong 鬼影迷踪
'hai'shen 海神
'hai'shen'de'huang'hun 海神的黄昏
'hai'shen'dou'luo 海神斗罗
'hai'shen'ling'yu 海神领域
'hai'shen'san'cha'ji 海神三叉戟
'hai'shen'shen'li 海神神力
'hai'shen'shen'zhuang 海神神装
'hai'shen'shi'san'shi 海神十三式
'hai'shen'zhi'xin 海神之心
'hai'zhi'yang 海之阳
