'cheng'cai'lv 成材率
'chi'cun 尺寸
'dao'gang 倒钢
'ji'shu'tiao'jian 技术条件
'jia're 加热
'jun're 均热
'jun're'lu 均热炉
'kong'zhi'zha'zhi 控制轧制
'li'lun'ji'suan'fa 理论计算法
'li'ou 力偶
'nei'ying'li 内应力
're'chu'li 热处理
'shen'chang'lv 伸长率
'xian'zhi'kuan'zhan 限制宽展
'ya'xia'liang 压下量
'yan'shen'xi'shu 延伸系数
'yue'da 越大
'zha'zhi'li'ju 轧制力矩
'zi'you'kuan'zhan 自由宽展
