'a'ji'mi'de'qiao'ji 阿基米德巧计
'an'du'chen'cang 暗渡陈仓
'an'neng'dong'zhi 安能动之
'an'ren'zhi'bing 按人之兵
'an'zuo'fu'you 按左扶右
'ban'du'er'ji 半渡而击
'bao'er'ji'zhi 饱而饥之
'bao'qian'lie'hou 薄前猎后
'bei'er'jiao'zhi 卑而骄之
'bei'er'xing'yi'chi 备而形以弛
'bi'keng'luo'jing 避坑落井
'bi'nan'jiu'yi 避难就易
'bi'shi'ji'xu 避实击虚
'bing'gui'shen'su 兵贵神速
'bing'yi'jing'sheng 兵以静胜
'bu'lao'er'huo 不劳而获
'cao'mu'jie'bing 草木皆兵
'cao'ren'huo'di 草人惑敌
'chan'zhan'lao'di 缠战劳敌
'chang'chou'liang'sha 唱筹量沙
'chang'wei'zhi'di 长围制敌
'che'lun'zhan'fa 车轮战法
'chen'huo'da'jie 趁火打劫
'cheng'bi'bu'yu 乘彼不虞
'cheng'di'yin'xun 乘敌因循
'cheng'jian'ji'xia 乘间击暇
'cheng'jiang'xi'di 乘降袭敌
'cheng'luan'yan'ji 乘乱掩击
'cheng'qi'suo'zhi 乘其所之
'chong'die'she'fu 重叠设伏
'chu'er'fan'er 出尔反尔
'chu'qi'zhi'sheng 出奇制胜
'chuan'ma'yin'di 船马引敌
'da'cao'jing'she 打草惊蛇
'da'chai'you'bing 打柴诱兵
'da'lie'tu'xi 打猎突袭
'da'zhi'ruo'yu 大智若愚
'dai'fu'you'di 绐俘诱敌
'dan'dao'fu'hui 单刀赴会
'di'jin'wo'jin 敌进我进
'diao'hu'li'shan 调虎离山
'diu'zu'bao'ju 丢卒保车
'duan'di'suo'wang 断敌所望
'duan'di'tui'lu 断敌退路
'duo'qi'suo'shi 夺其所恃
'e'hou'fu'bei 扼喉拊背
'en'wei'bing'yong 恩威并用
'er'hu'jing'shi 二虎竞食
'er'sha'wen'chou 饵杀文丑
'fa'di'guo'li 乏敌国力
'fan'ge'yi'ji 反戈一击
'fan'jian'ji 反间计
'fan'jing'xing'quan 反径行权
'fan'ke'wei'zhu 反客为主
'fan'lao'wei'yi 反劳为逸
'fang'jian'yu'liu 放舰于流
'fen'jun'bei'di 分军备敌
'fen'ren'zhi'bing 分人之兵
'fen'zhen'ji'qi 焚珍激气
'fu'di'chou'xin 釜底抽薪
'fu'qi'chao'xue 覆其巢穴
'gang'zhong'rou'wai 刚中柔外
'ge'an'guan'huo 隔岸观火
'gong'qi'bu'bei 攻其不备
'gong'qi'zhong'jian 攻其中坚
'gu'bu'yi'zhen 故布疑阵
'guan'men'zhuo'zei 关门捉贼
'hou'fa'zhi'ren 后发制人
'hou'ji'tu'bing 后击突兵
'hu'dong'hu'xi 忽东忽西
'hu'jia'hu'wei 狐假虎威
'hua'di'tui'chen'ru 画地退陈儒
'hua'huan'wei'li 化患为利
'hua'lie'wei'you 化劣为优
'hua'zheng'wei'ling 化整为零
'huan'bing'zhi'ji 缓兵之计
'huan'qi'po'zhao 换旗破赵
'hui'ma'qiang 回马枪
'hui'qi'mai'yi 毁契买义
'hun'shui'mo'yu 混水摸鱼
'huo'zhong'qu'li 火中取栗
'ji'jiang'fa 激将法
'ji'zhong'bing'li 集中兵力
'jia'dao'fa'guo 假道伐虢
'jia'jiang'you'di 假降诱敌
'jia'jie'lian'meng 假结联盟
'jia'lie'wu'di 假猎误敌
'jia'shou'yu'ren 假手于人
'jia'shun'di'yi 假顺敌意
'jia'tuo'wang'ming 假托王命
'jian'bi'qing'ye 坚壁清野
'jian'feng'shi'duo 见风使舵
'jian'hao'jiu'shou 见好就收
'jian'ke'er'jin 见可而进
'jian'mo'sui'di 践墨随敌
'jian'wei'zhi'zhu 见微知著
'jiang'gui'zi'zhuan 将贵自专
'jiang'ji'jiu'ji 将计就计
'jiang'zheng'bing'yong 将正兵勇
'jiao'zong'zhi'di 骄纵制敌
'jie'chong'sha'ren 借虫杀人
'jie'dao'sha'ren 借刀杀人
'jie'di'chu'pan 借敌除叛
'jie'di'zhi'jie 借敌之借
'jie'di'zhi'li 借敌之力
'jie'di'zhi'ren 借敌之刃
'jie'kou'yang'wei 借口扬威
'jie'shi'huan'hun 借尸还魂
'jie'shi'ruo'di 借势弱敌
'jie'su'sha'ren 借宿杀人
'jie'wu'yan'zhi 借物言志
'jin'chan'tuo'qiao 金蝉脱壳
'jin'er'shi'zhi'yuan 近而示之远
'jun'zheng'liang'shou 军政两手
'kai'men'yi'dao 开门揖盗
'kong'cheng'ji 空城计
'ku'rou'ji 苦肉计
'le'yin'huo'di 乐饮惑敌
'li'er'you'zhi 利而诱之
'li'ying'wai'he 里应外合
'lian'chuan'suo'jiang 联船锁江
'lian'huan'ji 连环计
'lian'huan'you'di 连环诱敌
'liang'mian'san'dao 两面三刀
'liu'bian'tuo'xian 留鞭脱险
'luan'er'qu'zhi 乱而取之
'lv'jian'bu'yi 屡见不疑
'ma'cao'tui'bing 马槽退兵
'mai'ming'sha'jiang 埋名杀将
'man'tian'guo'hai 瞒天过海
'mao'ming'ding'ti 冒名顶替
'mao'sui'zi'jian 毛遂自荐
'mei'ren'ji 美人计
'meng'hun'guo'guan 蒙混过关
'min'yi'shi'wei'tian 民以食为天
'ming'xie'ming'da 明歇明打
'mo'du'zhi'mou 冒顿之谋
'mo'gu'zhan 蘑菇战
'mou'shi'san'ce 谋士三策
'mu'ma'ji 木马计
'nan'de'hu'tu 难得糊涂
'neng'er'shi'zhi'bu'neng 能而示之不能
'neng'jin'ze'jin 能进则进
'nu'er'nao'zhi 怒而挠之
'pang'qiao'ce'ji 旁敲侧击
'pao'jin'tao'ming 抛金逃命
'pao'zhuan'yin'yu 抛砖引玉
'pi'kang'dao'xu 批亢捣虚
'po'bi'zhi'po 破彼之破
'po'fu'chen'zhou 破釜沉舟
'po'xi'zhan 破袭战
'qi'zheng'xiang'sheng 奇正相生
'qiao'duo'di'shi 巧夺敌势
'qiao'jie'ri'ying 巧借日影
'qiao'jie'xie'yin 巧借谐音
'qiao'yong'di'jian 巧用敌间
'qiao'yong'di'tan 巧用敌坦
'qiao'yong'yin'xiang 巧用音响
'qiao'zhu'tu'cheng 巧筑土城
'qie'fang'yong'zhan 怯防勇战
'qiu'jiu'you'di 求救诱敌
'qu'hu'tun'lang 驱虎吞狼
'qu'jin'li'er'ge'yuan'hai 取近利而割远害
'qu'li'bi'hai 趋利避害
'ren'wei'shang'ji 忍为上计
'rui'jun'wu'gong 锐军勿攻
'ruo'nv'tui'di 弱女退敌
'ruo'shou'qiang'gong 弱守强攻
'sa'xing'zhen 撒星阵
'sha'di'yi'nu 杀敌以怒
'sha'yi'jing'bai 杀一儆百
'shan'dian'po'di 闪电破敌
'shan'yong'chao'xi 善用潮汐
'shan'zu'er'yang 善卒而养
'shang'wu'chou'ti 上屋抽梯
'sheng'dong'ji'xi 声东击西
'sheng'qi'luo'ren'xin 圣旗络人心
'sheng'qian'yan'hou 声前掩后
'sheng'yu'xin'xi 剩余信息
'shi'chu'you'ming 师出有名
'shi'di'bai'xiang 示敌败相
'shi'duan'fu'qi 示短伏奇
'shi'duan'zhi'chang 示短致长
'shi'er'shi'xu 实而示虚
'shi'er'shi'zhi 实而实之
'shi'er'xu'zhi 实而虚之
'shi'jia'yin'zhen 示假隐真
'shi'mian'mai'fu 十面埋伏
'shi'po'you'di 示破诱敌
'shi'ri'xie'bing 十日歇兵
'shi'ruo'jiao'di 示弱骄敌
'shi'ruo'you'di 示弱诱敌
'shi'shi'sheng'yi 示实生疑
'shi'zha'tui'di 施诈退敌
'shi'zha'xiang'di 施诈降敌
'shu'jin'zhi'jian 输金止间
'shu'shang'kai'hua 树上开花
'shu'ye'chuan'dan 树叶传单
'shu'zhi'she'yi 树帜设疑
'shuang'guan'qi'xia 双管齐下
'shun'shou'qian'yang 顺手牵羊
'shun'yang'di'yi 顺佯敌意
'si'mian'chu'ge 四面楚歌
'sun'gang'yi'rou 损刚益柔
'tan'li'you'di 贪利诱敌
'tan'xiao'ji 谈笑计
'tang'yi'pao'dan 糖衣炮弹
'tian'dan'bao'cheng 田单保城
'tong'gan'gong'ku 同甘共苦
'tong'zhou'gong'ji 同舟共济
'tou'er'diao'yu 投饵钓鱼
'tou'liang'huan'zhu 偷梁换柱
'tui'bi'san'she 退避三舍
'tuo'bing'qu'sheng 托病取胜
'wang'mei'zhi'ke 望梅止渴
'wei'cheng'da'yuan 围城打援
'wei'shi'bi'que 围师必阙
'wei'wei'jiu'zhao 围魏救赵
'wei'yuan'shan'zhuan 唯圆善转
'wu'zhong'er'qing 勿众而轻
'wu'zhong'sheng'you 无中生有
'xian'cong'hou'tu 先从后图
'xian'gao'kao'di 弦高犒敌
'xian'jing'zhan 陷阱战
'xian'sheng'duo'ren 先声夺人
'xian'sheng'hou'shi 先声后实
'xian'zhan'hou'zou 先斩后奏
'xiao'li'cang'dao 笑里藏刀
'xin'ze'bu'qi 信则不欺
'xiu'shou'pang'guan 袖手旁观
'xu'er'shi'shi 虚而示实
'xu'er'shi'xu 虚而示虚
'xu'huang'yi'qiang 虚晃一枪
'xu'shi'xiang'luan 虚实相乱
'xu'xu'shi'shi 虚虚实实
'xu'ying'dai'jie 蓄盈待竭
'xu'zhang'sheng'shi 虚张声势
'xuan'yang'ji'gu 悬羊击鼓
'xun'huan'yu'ma 循环浴马
'xun'ji'bu'er 寻机布饵
'xun'you'sha'jiang 巡游杀将
'yan'ren'er'mu 掩人耳目
'yan'wu'di'shi 延误敌时
'yang'bai'wu'cong 佯败勿从
'yang'bai'you'di 佯败诱敌
'yang'chen'huo'di 扬尘惑敌
'yang'dong'qi'di 佯动欺敌
'yang'duan'yi'chang 扬短抑长
'yang'feng'yin'wei 阳奉阴违
'yang'wei'hu'shi 佯为互市
'ye'hu'zhen 夜壶阵
'yi'bao'dai'ji 以饱待饥
'yi'bing'tui'di 疑兵退敌
'yi'di'jie'di 以敌借敌
'yi'gong'wei'shou 以攻为守
'yi'gong'yin'tui 以攻隐退
'yi'gong'zhi'gong 以攻制攻
'yi'gu'zuo'qi 一鼓作气
'yi'ji'jie'wei 以击解围
'yi'jia'luan'zhen 以假乱真
'yi'jia'zhi'di 以假致敌
'yi'jian'shuang'diao 一箭双雕
'yi'jin'dai'yuan 以近待远
'yi'jing'zhen'luan 以静镇乱
'yi'li'you'di 以利诱敌
'yi'neng'lao'zhi 逸能劳之
'yi'nu'zhi'di 以怒致敌
'yi'pin'you'mu 以牝诱牡
'yi'qie'zhi'di 以怯制敌
'yi'ruo'shi'qiang 以弱示强
'yi'ruo'wei'ruo 以弱为弱
'yi'shi'zhi'xiang 以狮制象
'yi'shou'dai'gong 以守待攻
'yi'wei'ji'yong 异为己用
'yi'wei'shi'he 以威示和
'yi'yi'dai'lao 以逸待劳
'yi'yi'zhi'yi 以夷制夷
'yi'yu'wei'zhi 以迂为直
'yi'zhan'dai'shou 以战代守
'yi'zhi'dai'luan 以治待乱
'yi'zhi'po'di 移帜破敌
'yi'zhong'dai'qing 以重待轻
'yi'zhuang'po'di 易装破敌
'yin'bai'wei'sheng 因败为胜
'yin'bing'you'di 隐兵诱敌
'yin'di'yong'bing 因地用兵
'yin'di'yong'bing 因敌用兵
'yin'ji'yong'bing 因己用兵
'yin'li'jian'dou 因利间斗
'yin'she'chu'dong 引蛇出动
'yin'shi'yong'bing 因时用兵
'yin'xi'jian'qin 因隙间亲
'yin'xing'yong'bing 因形用兵
'yong'er'shi'zhi'bu'yong 用而示之不用
'yong'yu'tui'di 用鱼退敌
'you'bei'wu'huan 有备无患
'you'di'bu'zheng 有地不争
'you'di'shen'ru 诱敌深入
'you'di'tui'jun 诱敌退军
'yu'jiu'gu'da 欲救故打
'yu'ma'yu'jin 浴马于津
'yu'mu'hun'zhu 鱼目混珠
'yu'tui'xian'gong 欲退先攻
'yuan'er'shi'zhi'jin 远而示之近
'yuan'jiao'jin'gong 远交近攻
'yue'jun'yu'di 约军愚敌
'zao'ling'mai'che 凿凌埋车
'zha'bai'you'di 诈败诱敌
'zha'xiang'xie'di 诈降懈敌
'zha'xiang'zhen'ying 诈降真迎
'zha'zhai'xie'jun'ji 扎寨泄军机
'zhang'guan'li'dai 张冠李戴
'zhang'ji'she'jing 张机设阱
'zhao'xiang'na'pan 招降纳叛
'zheng'sheng'po'di 钲声破敌
'zhi'bao'tu'wei 掷宝突围
'zhi'er'yan'zhi 致而掩之
'zhi'nan'er'tui 知难而退
'zhi'po'fu'bing 智破伏兵
'zhi'ren'er'bu'zhi'yu'ren 致人而不致于人
'zhi'ren'xuan'jiang 知人选将
'zhi'yong'jian'bei 智勇兼备
'zhi'zhi'si'di'er'hou'sheng 置之死地而后生
'zhong'er'xing'si'gua 众而形似寡
'zhu'cheng'pian'di 筑城骗敌
'zhu'da'shang'xiao 诛大赏小
'zi'shang'you'di 自伤诱敌
'zou'wei'shang 走为上
'zui'ren'si'shi 罪人死士
'zuo'xiang'qi'li 坐享其利
'zuo'you'kai'gong 左右开弓
'zuo'you'yan'ji 左右掩击
