'ben'bing 本兵
'bian'lei'sheng'zheng'jian'tao'guan 编类圣政检讨官
'bian'lei'sheng'zheng'suo 编类圣政所
'bian'li 编礼
'bian'xiu'chi'ling'suo 编修敕令所
'bian'xiu'tiao'li'si 编修条例司
'bian'xiu'wen'zi 编修文字
'bian'xiu'zhong'shu'tiao'li 编修中书条例
'bian'xiu'zhong'shu'tiao'li'si 编修中书条例司
'bian'xiu'zhong'shu'tiao'li'suo 编修中书条例所
'bian'xiu'zhu'si'chi'shi'suo 编修诸司敕式所
'bian'xiu'zhu'si'ling'shi'suo 编修诸司令式所
'bing'bu'gao'yuan 兵部告院
'bing'fu 兵府
'bing'ma'si 兵马司
'bo'ma'wu 剥马务
'bo'shou 剥手
'chai'qian'yuan 差遣院
'chang'ben'bing 长本兵
'chao'ji'yuan 朝集院
'chao'ting 朝廷
'cheng'xiang'fu 丞相府
'cheng'zhi'guan 承旨官
'cheng'zhi'si 承旨司
'chi'ling'suo 敕令所
'chong'xiu'chi'ling'suo 重修敕令所
'da'cheng'guan 大程官
'da'cheng'guan'ying 大程官营
'dai'lou'yuan 待漏院
'dian'jian'yin'tai'tong'jin'si'gong'shi 点检银台通进司公事
'ding'si 鼎司
'dong'fu 东府
'dong'ge 东閤
'dong'shen'yuan 东审院
'dong'yuan 东院
'dou'cheng 都承
'dou'cheng'zhi 都承旨
'dou'da'ti'ju'zai'jing'zhu'si'ku'wu 都大提举在京诸司库务
'dou'da'ti'ju'zai'jing'zhu'si'ku'wu'si 都大提举在京诸司库务司
'dou'jian'zheng 都检正
'dou'ku'jing 都库经
'dou'tong'zhi 都统制
'er'fu 二府
'er'shu 贰枢
'er'shu'guan 贰枢筦
'er'shu'ting 贰枢廷
'fa'chi'guan 发敕官
'fa'chi'si 发敕司
'fa'si 法司
'fa'si'tie'si 法司贴司
'fei'zhi'si 废置司
'fu'dou'cheng'zhi 副都承旨
'fu'du'tong'zhi 副都统制
'fu'jiang 副将
'fu'mi 副密
'fu'shu 副枢
'gan'ban'guan 干办官
'ge'shi 格式
'ge'shi'si 格式司
'gong'jian'wen'zi 供检文字
'gong'ma'jiao'tou 弓马教头
'gong'ma'zi'di'suo 弓马子弟所
'gou'dang'gong'shi 勾当公事
'gou'dang'san'ban'yuan'gong'shi 勾当三班院公事
'gou'dang'si'shi 勾当司事
'gou'dang'tong'jin'yin'tai'shi'jian'men'xia'feng'bo'gong'shi 勾当通进银台事兼门下封驳公事
'guan'gao'yuan 官告院
'guan'gou'yin'tai'si'gong'shi 管勾银台司公事
'guan'zhi'ju 官制局
'guan'zhi'suo 官制所
'hong'shu 洪枢
'hong'shu 鸿枢
'huang'fei 黄扉
'huang'ge 黄閤
'ji'shang'jiu'ku 激赏酒库
'ji'shang'ku 激赏库
'ji'yi'guan 计议官
'ji'zhu'guan 记注官
'jia'ku 甲库
'jian'men'guan 监门官
'jian'san'xing'shu'mi'yuan'men 监三省枢密院门
'jian'xiang 检详
'jian'xiang'guan 检详官
'jian'xiang'shu'mi'yuan'zhu'fang'wen'zi 检详枢密院诸房文字
'jian'xiang'suo 检详所
'jian'zheng 检正
'jian'zheng'gong'shi 检正公事
'jian'zheng'wu'fang'gong'shi 检正五房公事
'jian'zheng'zhong'shu'hu'fang'gong'shi 检正中书户房公事
'jian'zheng'zhong'shu'kong'mu'fang'gong'shi 检正中书孔目房公事
'jian'zheng'zhong'shu'li'fang'gong'shi 检正中书吏房公事
'jian'zheng'zhong'shu'li'fang'gong'shi 检正中书礼房公事
'jian'zheng'zhong'shu'wu'fang'gong'shi 检正中书五房公事
'jian'zheng'zhong'shu'xing'fang'gong'shi 检正中书刑房公事
'jian'zhuan'gong'ren 监专公人
'jiang'zuo 将佐
'jie'ji 节级
'jing'chao'guan'chai'qian'yuan 京朝官差遣院
'jun'dian 军典
'kan'xiang'bian'xiu'zhong'shu'men'xia'tiao'li'suo 看详编修中书门下条例所
'kan'xiang'bian'xiu'zhong'shu'tiao'li 看详编修中书条例
