'a'bi 阿碧
'a'er 阿二
'a'er'ni 阿尔尼
'a'fan'ti 阿凡提
'a'fan'ti'qi 阿凡提妻
'a'gen 阿根
'a'hong 阿洪
'a'ji'chi 阿济赤
'a'jiu 阿九
'a'li 阿里
'a'man 阿曼
'a'san 阿三
'a'sheng 阿胜
'a'zhu 阿朱
'a'zi 阿紫
'ai'lao'zhe 矮老者
'an'da'niang 安大娘
'an'feng'ri 安奉日
'an'jian'gang 安健刚
'an'jian'qing 安剑清
'an'ti'du 安提督
'an'xiao'hui 安小慧
'ao'bai 鳌拜
'ao'biao 敖彪
'ba'lang'xing 巴郎星
'ba'tai 巴泰
'ba'tian'shi 巴天石
'ba'yan'fa'shi 巴颜法师
'bai'a'xiu 白阿绣
'bai'cao'xian 百草仙
'bai'er 白二
'bai'gui'shou 白龟寿
'bai'han'feng 白寒枫
'bai'han'song 白寒松
'bai'lian'ren 白脸人
'bai'ma'xiao'xi'feng 白马啸西风
'bai'shi'jing 白世镜
'bai'wan'jian 白万剑
'bai'xiong 白熊
'bai'zhen 白振
'bai'zi'zai 白自在
'ban'shu'xian 班淑娴
'bao'bu'tong 包不同
'bao'cheng'xian 鲍承先
'bao'da'chu 鲍大楚
'bao'qian'ling 鲍千灵
'bao'shu 宝树
'bao'xi'ruo 包惜弱
'bao'xiang'he'shang 宝象和尚
'bei'hai'shi 贝海石
'bei'jin'yi 贝锦仪
'bei'ren'long 贝人龙
'ben'can 本参
'ben'guan 本观
'ben'xiang 本相
'ben'yin 本因
'bi'de 彼得
'bi'tie'shi 笔贴式
'bi'xue'jian 碧血剑
'bo'chen 卜沉
'bo'er'hu 博尔忽
'bo'er'shu 博尔术
'bo'luo'xing 波罗星
'bo'su'tai 拨速台
'bo'tai 卜泰
'bo'yuan 卜垣
'bu'guo'jiang 补锅匠
'bu'jie'he'shang 不戒和尚
'bu'ping'dao'ren 不平道人
'cai'de'zhong 蔡德忠
'cai'wei 蔡威
'cang'bian'da'chou 藏边大丑
'cang'bian'er'chou 藏边二丑
'cang'bian'san'chou 藏边三丑
'cang'bian'si'chou 藏边四丑
'cang'bian'wu'chou 藏边五丑
'cao'hua'chun 曹化淳
'cao'meng 曹猛
'cao'neng 曹能
'cao'si'peng 曹司朋
'cao'yun'qi 曹云奇
'cen'qi'si 岑其斯
'ceng'rou 曾柔
'ceng'tie'ou 曾铁鸥
'ceng'tu'nan 曾图南
'cha'er'zhu 察尔珠
'cha'han'te'mu'er 察罕特穆尔
'cha'he'tai 察合台
'cha'ji'zuo 查继左
'chang'bo'zhi 常伯志
'chang'chang'feng 常长风
'chang'he'zhi 常赫志
'chang'jin'peng 常金鹏
'chang'jing'zhi 常敬之
'chang'qi 昌齐
'chang'qing'zi 长青子
'chang'sheng'bao'shu'wang 常胜宝树王
'chang'yu'chun 常遇春
'che'er'ku 车尔库
'che'fu 车夫
'chen'chong'zhi 陈冲之
'chen'da'fang 陈大方
'chen'da'hai 陈达海
'chen'gao'bo 陈高波
'chen'gu'yan 陈孤雁
'chen'jia'luo 陈家洛
'chen'jin'nan 陈近南
'chen'ke 陈珂
'chen'lao'gai 陈老丐
'chen'qi 陈七
'chen'wai'zui 陈歪嘴
'chen'xuan'feng 陈玄风
'chen'you'liang 陈友谅
'chen'yu 陈禹
'chen'yuan'yuan 陈圆圆
'chen'zheng'de 陈正德
'cheng'bu'you 成不忧
'cheng'gao'dao'ren 成高道人
'cheng'guan 澄观
'cheng'guang 澄光
'cheng'huang 成璜
'cheng'kun 成昆
'cheng'ling'su 程灵素
'cheng'qing'shuang 程青霜
'cheng'qing'zhu 程青竹
'cheng'shi 澄识
'cheng'tan'zhu 程坛主
'cheng'tong 澄通
'cheng'wei'fan 程维藩
'cheng'xin 澄心
'cheng'yao'jia 程遥迦
'cheng'yao'jia 程瑶迦
'cheng'ying 程瑛
'cheng'zi'xue 成自学
'chi'bai'cheng 迟百诚
'chi'lao'wen 赤老温
'chi'xuan 迟玄
'chong'xu 冲虚
'chong'xu'dao'zhang 冲虚道长
'chou'lian'han'zi 丑脸汉子
'chou'song'nian 仇松年
'chu'chen'zi 出尘子
'chuan'gong'zhang'lao 传功长老
'cong'bu'qi 丛不弃
'cui'bai'quan 崔百泉
'cui'bai'sheng 崔百胜
'cui'biao'tou 崔镖头
'cui'lv'hua 崔绿华
'cui'ming'gui 催命鬼
'cui'qiu'shan 崔秋山
'cui'xi'min 崔希敏
'cui'xia'zi 崔瞎子
'cui'zhi'fang 崔志方
'da'bei'lao'ren 大悲老人
'da'chi 大痴
'da'dian 大癫
'da'er'ba 达尔巴
'da'han 大汉
'da'ku 大苦
'da'tou'gui 大头鬼
'da'zhi'chan'shi 大智禅师
'dai'yong'ming 戴永明
'dan'bo'shan 单伯山
'dan'ji'shan 单季山
'dan'qing'sheng 丹青生
'dan'shu'shan 单叔山
'dan'tie'sheng 单铁生
'dan'xiao'shan 单小山
'dan'zheng 单正
'dao'bai'feng 刀白凤
'de'bu 德布
'de'cheng 德成
'de'e 德鄂
'deng'ba'gong 邓八公
'deng'bai'chuan 邓百川
'deng'bing'chun 邓炳春
'deng'yu 邓愈
'di'biao'tou 狄镖头
'di'xiu 狄修
'di'yun 狄云
'dian'ban 店伴
'dian'cang'yu'yin 点苍渔隐
'diao'si'gui 吊死鬼
'ding'bu'san 丁不三
'ding'bu'si 丁不四
'ding'chun'qiu 丁春秋
'ding'da'quan 丁大全
'ding'dang 丁珰
'ding'dian 丁典
'ding'jian 丁坚
'ding'jing'shi'tai 定静师太
'ding'mian 丁勉
'ding'min'yin 丁敏尹
'ding'tong 丁同
'ding'yi 定逸
'ding'you 丁游
'dong'fang'bu'bai 东方不败
'dong'kai'shan 董开山
'dong'xuan 洞玄
'dou'da'jin 都大锦
'dou'shi 都史
'du'bai'dang 杜百当
'du'e 渡厄
'du'jie 渡劫
'du'li'de 杜立德
'du'nan 渡难
'du'xi'meng 杜希孟
'du'zhang'lao 杜长老
'duan'mu'yuan 端木元
'duan'tian'de 段天德
'duan'yan'qing 段延庆
'duan'yu 段誉
'duan'zheng'chun 段正淳
'duan'zheng'ming 段正明
'dui'ka'na 对喀纳
'duo'er'gun 多尔衮
'duo'long 多隆
'e'er'duo 鄂尔多
'fan'bai'ling 范百龄
'fan'bang'zhu 范帮主
'fan'gang 樊纲
'fan'hua 范骅
'fan'wen'cheng 范文程
'fan'yao 范遥
'fan'yi'fei 范一飞
'fan'yi'weng 樊一翁
'fan'yu 范禹
'fan'zhong'en 范中恩
'fang'da'hong 方大洪
'fang'dong'bai 方东白
'fang'ren'zhi 方人智
'fang'sheng 方生
'fang'tian'lao 方天劳
'fang'yi 方怡
'fang'you'de 方有德
'fang'zheng 方证
'fei'bin 费彬
'fei'yao'duo'luo 费要多罗
'feng'a'san 冯阿三
'feng'bo'e 风波恶
'feng'bu'cui 冯不摧
'feng'bu'ping 封不平
'feng'bu'po 冯不破
'feng'heng 冯衡
'feng'hui 冯辉
'feng'ji'zhong 风际中
'feng'liang 风良
'feng'mo'feng 冯默风
'feng'nan'di 冯难敌
'feng'nan'tian 凤南天
'feng'qi 凤七
'feng'qing'yang 风清扬
'feng'tan 冯坦
'feng'tan'zhu 封坛主
'feng'tong'zhi 冯同知
'feng'wan'li 封万里
'feng'xi'fan 冯锡范
'feng'yi'ming 凤一鸣
'feng'zhen'wu 冯振武
'fu'chun 富春
'fu'kang'an 福康安
'fu'min'yi 符敏仪
'fu'si'gui 傅思归
'gai'yi'ming 盖一鸣
'gai'yun'cong 盖运聪
'gan'bao'bao 甘宝宝
'gang'xiang 刚相
'gao'guan'jia 高管家
'gao'ke'xin 高克新
'gao'lao'zhe 高老者
'gao'li'jin 高里津
'gao'ming'gen 高明根
'gao'san'niang'zi 高三娘子
'gao'sheng'tai 高升泰
'gao'shi'di 高师弟
'gao'yan'chao 高颜超
'gao'ze'cheng 高则成
'ge'er'dan 葛尔丹
'ge'guang'pei 葛光佩
'ge'tong 葛通
'ge'zhang'lao 葛长老
'geng'tian'shuang 耿天霜
'geng'wan'zhong 耿万钟
'gong'guang'jie 龚光杰
'gong'jiu'jia 宫九佳
'gong'sun'lv'e 公孙绿萼
'gong'sun'zhi 公孙止
'gong'ye'qian 公冶乾
'gou'du 苟读
'gou'tou'tuo 狗头陀
'gu'du'cheng 古笃诚
'gu'jin'biao 顾金标
'gu'ren'da 贾人达
'gu'ruo'ban 古若般
'gu'yan'wu 顾炎武
'guan'an'ji 关安基
'guan'ming'mei 关明梅
'gui'er'niang 归二娘
'gui'xin'shu 归辛树
'gui'zhong 归钟
'guo'fu 郭芙
'guo'jing 郭靖
'guo'po'lu 郭破虏
'guo'san'quan 过三拳
'guo'xiang 郭襄
'guo'xiao'tian 郭啸天
'guo'yan'zhi 过彦之
'guo'yu'tang 郭玉堂
'ha'chi'da'shi 哈赤大师
'ha'da'ba 哈大霸
'ha'he'tai 哈合台
'ha'zong'guan 哈总管
'hai'da'fu 海大富
'hai'lan'bi 海兰弼
'han'bao'ju 韩宝驹
'han'chun'lin 韩春霖
'han'lao'gai 韩老丐
'han'lin'er 韩林儿
'han'qian'ye 韩千叶
'han'tie'mo 罕贴摩
'han'wen'chong 韩文冲
'han'wu'gou 韩无垢
'han'xiao'ying 韩小莹
'han'zi 汉子
'hao'da'tong 郝大通
'hao'mi 郝密
'hao'tai'jian 郝太监
'he'bi'weng 鹤笔翁
'he'da'tong 赫大通
'he'er'da 和尔大
'he'hong'yao 何红药
'he'lao'san 贺老三
'he'li'bu 和里布
'he'lian'tie'shu 赫连铁树
'he'san'qi 何三七
'he'shen 和珅
'he'si'hao 何思豪
'he'tai'chong 何太冲
'he'ti'shou 何惕守
'he'tie'shou 何铁手
'he'wang'hai 何望海
'he'zu'dao 何足道
'hei'bai'zi 黑白子
'hei'xiong 黑熊
'hong'an'tong 洪安通
'hong'chao 洪朝
'hong'ling'bo 洪凌波
'hong'niang'zi 红娘子
'hong'qi'gong 洪七公
'hong'ren'xiong 洪人雄
'hong'sheng'hai 洪胜海
'hou'fei'wen 侯飞文
'hou'ren'ying 侯人英
'hou'tong'hai 侯通海
'hu'ba'yin 呼巴音
'hu'bi'lie 忽必烈
'hu'da'ge 胡大哥
'hu'de'di 胡德第
'hu'dou'hu 忽都虎
'hu'fei 胡斐
'hu'fu'ren 胡夫人
'hu'gui'nan 胡桂南
'hu'lao'san 胡老三
'hu'lao'ye 胡老爷
'hu'lun'da'hu 忽伦大虎
'hu'lun'er'hu 忽伦二虎
'hu'lun'san'hu 忽伦三虎
'hu'lun'si'hu 忽伦四虎
'hu'qing'niu 胡青牛
'hu'qing'yang 胡青羊
'hu'yan'wan'shan 呼延万善
'hu'yi'dao 胡一刀
'hu'yi'zhi 胡逸之
'hu'yin'ke 呼音克
'hua'bo'si'ji 华伯斯基
'hua'he'gen 华赫艮
'hua'jian'ying 花剑影
'hua'tie'gan 花铁干
'hua'wan'zi 花万紫
'hua'yun 花云
'hua'zheng 华筝
'huang'bo'liu 黄伯流
'huang'er'mao'zi 黄二毛子
'huang'fu 黄甫
'huang'fu'ge 皇甫阁
'huang'guo'bai 黄国柏
'huang'jin'kui 黄金魁
'huang'mei'he'shang 黄眉和尚
'huang'mian'dao'ren 黄面道人
'huang'rong 黄蓉
'huang'tai'hou 皇太后
'huang'tai'ji 皇太极
'huang'xi'jie 黄希节
'huang'xu'ren 黄须人
'huang'yao'shi 黄药师
'huang'zhen 黄真
'huang'zhong'gong 黄钟公
'huang'zong'xi 黄宗羲
'hui'cong'chan'shi 晦聪禅师
'hui'fang 慧方
'hui'guan 慧观
'hui'jing 慧净
'hui'yue'shi 辉月使
'hui'zhen 慧真
'huo'a'yi 霍阿伊
'huo'du 霍都
'huo'qing'tong 霍青桐
'huo'yuan'long 霍元龙
'ji'biao'tou 季镖头
'ji'qing'xuan 姬清玄
'ji'ren'tong 吉人通
'ji'wu'shi 计无施
'ji'xiao'feng 姬晓峰
'ji'xiao'fu 纪晓芙
'ji'zhang'lao 季长老
'jia'bu 贾布
'jia'dong'fang'bu'bai 假东方不败
'jia'lao'liu 贾老六
'jia'lao'zhe 贾老者
'jian'chu 建除
'jian'guan'jia 简管家
'jian'jie 简捷
'jian'ning'gong'zhu 建宁公主
'jian'zhang'lao 简长老
'jiang'bai'sheng 江百胜
'jiang'shi'quan 蒋士铨
'jiang'shi'shu 姜师叔
'jiang'si'gen 蒋四根
'jiang'tao 蒋涛
'jiang'tian'shou 蒋天寿
'jiang'tiao'hou 蒋调侯
'jiang'tie'shan 姜铁山
'jiang'wen 姜文
'jiang'xiao'tie 姜小铁
'jiao'fu 脚夫
'jiao'gong'li 焦公礼
'jiao'mu'he'shang 焦木和尚
'jiao'shi 教士
'jiao'shu'xian'sheng 教书先生
'jiao'wan'er 焦宛儿
'jiao'wen'qi 焦文期
'jiao'zhang 教长
'jie'feng 解风
'jie'shu 杰书
'jie'wen'bao 解文豹
'jin'hua'po'po 金花婆婆
'jin'lun'fa'wang 金轮法王
'jing'hui 静慧
'jing'ji 净济
'jing'jia 静迦
'jing'kong 静空
'jing'qing 净清
'jing'xu'shi'tai 静虚师太
'jing'xuan'shi'tai 静玄师太
'jing'zhao 静照
'jing'zhi'da'shi 静智大师
'jiu'mo'zhi 鸠摩智
'jiu'nan 九难
'jiu'si'sheng 九死生
'ju'fang 菊芳
'ju'jian 菊剑
'ju'ming'bao'shu'wang 俱明宝树王
'ju'you 菊友
'jue'yuan 觉远
'jue'yuan'da'shi 觉远大师
'jue'yue 觉月
'ka'si'li 喀丝丽
'kai'bie'xing 凯别兴
'kang'guang'ling 康广陵
'ke'wan'jun 柯万钧
'ke'zhen'e 柯镇恶
'kong'jian 空见
'kong'wen 空闻
'kong'xin'cai 空心菜
'kong'xing 空性
'kong'zhi 空智
'ku'mu 枯木
'ku'rong'zhang'lao 枯荣长老
'kuang'bao'guan 邝宝官
'kuang'tian'xiong 邝天雄
'lai'fu'er 来福儿
'lan'feng'huang 蓝凤凰
'lan'jian 兰剑
'lan'qin 蓝秦
'lan'tian'he 蓝天和
'lang'shi'fu 郎师傅
'lao'bu'si 老不死
'lao'de'nuo 劳德诺
'lao'li 老李
'lao'tai'jian 劳太监
'lao'tou'zi 老头子
'lao'wang 老王
'lao'wu 老吴
'le'hou 乐厚
'lei'meng 雷猛
'lei'yi'xiao 雷一啸
'leng'qian 冷谦
'li'chun'lai 李春来
'li'da'yuan 李大元
'li'fu'ren 黎夫人
'li'gang 黎刚
'li'ke'xiu 李可秀
'li'kui'lei 李傀儡
'li'li'shi 李力世
'li'mo'chou 李莫愁
'li'ping 李萍
'li'qiu'shui 李秋水
'li'san 李三
'li'sheng 黎生
'li'shi'kai 李式开
'li'si 李四
'li'si'cui 李四摧
'li'tian'heng 李天恒
'li'ting'bao 李廷豹
'li'wan'shan 李万山
'li'wen'xiu 李文秀
'li'xi'hua 李西华
'li'yan 李岩
'li'yuan'zhi 李沅芷
'li'zhi'chang 李志常
'li'zi'cheng 李自成
'lian'cheng'jue 连诚诀
'liang'fa 梁发
'liang'zhang'lao 梁长老
'liang'zi'jin 梁自进
'liang'zi'weng 梁子翁
'liao'zi'li 廖自砺
'lin'chao'ying 林朝英
'lin'ping'zhi 林平之
'lin'xing'zhu 林兴珠
'lin'yong'chao 林永超
'lin'yu'long 林玉龙
'lin'yuan'tu 林远图
'lin'zhen'nan 林震南
'ling'hu'chong 令狐冲
'ling'shuang'hua 凌霜华
'ling'tui'si 凌退思
'ling'xu 灵虚
'ling'zhi'shang'ren 灵智上人
'liu'ao 刘敖
'liu'cheng'feng 刘乘风
'liu'chu'xuan 刘处玄
'liu'da'hong 柳大洪
'liu'fang'liang 刘芳亮
'liu'he'zhen 刘鹤真
'liu'jing 刘菁
'liu'pei'sheng 刘培生
'liu'qin 刘芹
'liu'xuan'chu 刘玄处
'liu'yan 柳燕
'liu'yi'zhou 刘一舟
'liu'ying'gu 刘瑛姑
'liu'yu'yi 刘於义
'liu'yuan'he 刘元鹤
'liu'yun'shi 流云使
'liu'zheng'feng 刘正风
'liu'zhi'yu 刘之余
'liu'zhu'zhuang 刘竹庄
'liu'zong'min 刘宗敏
'long'dao'zhu 龙岛主
'long'de'lin 龙德邻
'long'jun 龙骏
'long'ya'po'po 聋哑婆婆
'lu'bo 陆伯
'lu'cheng'feng 陆乘风
'lu'da'you 陆大有
'lu'ding'ji 鹿鼎记
'lu'ding'li 陆鼎立
'lu'er'niang 陆二娘
'lu'fei'qing 陆菲青
'lu'fu'jiang 路副将
'lu'gao'xuan 陆高轩
'lu'guan'ying 陆冠英
'lu'kun 鲁坤
'lu'lian'rong 鲁连荣
'lu'qing'du 鹿清笃
'lu'tian'shu 陆天抒
'lu'wu'shuang 陆无双
'lu'yi'feng 卢一峰
'lu'you'jiao 鲁有脚
'lu'zhang'ke 鹿杖客
'luo'bing 骆冰
'luo'da'qian 罗大千
'luo'li'ru 罗立如
'luo'ren'jie 罗人杰
'luo'xin 罗信
'lv'bao'zhong 吕葆中
'lv'liu'liang 吕留良
'lv'qi 吕七
'lv'wen'de 吕文德
'lv'xiao'mei 吕小妹
'lv'yi'zhong 吕毅中
'lv'zheng'ping 吕正平
'lv'zhu'weng 绿竹翁
'ma'bao 马宝
'ma'bo'ren 马博仁
'ma'chao'xing 马超兴
'ma'chun'hua 马春花
'ma'da'ming 马大鸣
'ma'da'ting 马大挺
'ma'fa'tong 马法通
'ma'fu'ren 马夫人
'ma'gong'zi 马公子
'ma'guang'zuo 马光佐
'ma'jia'jun 马家骏
'ma'jing'xia 马敬侠
'ma'la 马喇
'ma'mi'er 玛米尔
'ma'qi 马齐
'ma'qing'xiong 马青雄
'ma'shan'jun 马善均
'ma'wu'de 马五德
