'a'ye 阿夜
'bian'li'rui'hui 边里瑞惠
'bian'li'wei 边里唯
'bian'li'wei'shi 边里唯世
'bian'shen 变身
'chu'dai'ping'heng 初代平衡
'da'di 大地
'dai'ya 戴雅
'er'jie'tang'you 二阶堂悠
'fang'kuai 方块
'fu'huo'she 复活社
'ge'bei 歌呗
'huai'dan 坏蛋
'huai'tian'xin 坏甜心
'huang'shi'pi'jian 皇室披肩
'hui'liu 绘琉
'jie'mu'mi'ye 结木弥耶
'jie'mu'ya'ya 结木雅雅
'jie'zhuan 阶砖
'jie'zou 节奏
'jiu'shi'jiu 九十九
'ku'bi'huo'la 酷毙火辣
'li'mo'mo 璃茉茉
'li'xiang'zhong'de'zi'ji 理想中的自己
'lu'lu 露露
'lu'lu'tang'mo'lu'si'lu 露露堂莫鲁斯露
'lu'lu'tang'mo'lu'si'lu'shan'ben 露露堂莫鲁斯露山本
'mei'qi 美琪
'mi'gong'hu'die 迷宫蝴蝶
'mi'zhi'dan 谜之蛋
'mi'zhi'shou'hu'dan 谜之守护蛋
'mo'fa'dan 魔法蛋
'na'na 娜娜
'pei'tai 胚胎
'pi'pi 皮皮
'ping'heng'chao'ping'heng 平衡超平衡
'qi'ji 奇迹
'qian'qian'wan 千千丸
'ri'nai'sen'cui 日奈森翠
'ri'nai'sen'fang 日奈森纺
'ri'nai'sen'ya'mei 日奈森亚美
'ri'nai'sen'ya'meng 日奈森亚梦
'ri'nai'sen'ya'shi 日奈森亚实
'san'tiao'hai'li 三条海里
'san'tiao'you'jia'li 三条由佳里
'sheng'ye'xue'yuan 圣夜学园
'shou'hu'dan 守护蛋
'shou'hu'tian'xin 守护甜心
'shou'hu'zhe 守护者
'shou'ju 手鞠
'teng'xiao'fu'zi 藤咲抚子
'teng'xiao'xue'yuan'yan 藤咲学园彦
'tian'he'si 天河司
'wan'tian 万田
'wu'zang 武藏
'xi'xi 嘻嘻
'xiang'ben'dan'yi'yang 像笨蛋一样
'xiang'ma'hai'tong 相马海童
'xiang'ma'kong'hai 相马空海
'xiang'ma'lian'li 相马莲璃
'xiang'ma'xiu'shui 相马秀水
'xiang'ma'yun'hai 相马云海
'xiao'lan 小兰
'xiao'si 小丝
'xin'ling'zhi'dan 心灵之蛋
'xing'ming'yi'chen 星名一臣
'xing'na'ge'bei 星那歌呗
'xing'na'zou'zi 星那奏子
'xing'xiang'gai'zao 形象改造
'ya'meng 亚梦
'ya'meng'jiang 亚梦酱
'yi'liu 依琉
'you'kong'sen'tong'xue 有空森同学
'yue'yong'ge'bei 月咏歌呗
'yue'yong'huo'dou 月咏或斗
'yue'yong'ji'dou 月咏几斗
'zhen'cheng'li'mo 真城璃茉
'zhen'cheng'li'wu 真城璃舞
'zheng'fu'shi'jie 征服世界
