'bai'ri'deng 白日灯
'bai'ye'xiang 百叶箱
'bian'xing'jing'mian 变形镜面
'bu'huo'qian 捕获钳
'bu'huo'wang 捕获网
'bu'huo'wang'xiang 捕获网箱
'cai'jue'zhi'lun 裁决之轮
'chu'e'niao'xing'zhi 除厄鸟形纸
'chu'ling'sha'lou 除灵沙漏
'chu'ling'shi 除灵师
'chuan'sheng'tong 传声筒
'cui'mian'tong'qian 催眠铜钱
'cun'chuan'li'yi 村川梨衣
'de'jing'qing'kong 德井青空
'duo'mo'si'shen 堕魔死神
'e'ling'qi'qiu 恶灵气球
'fang'xue'hou'zhen'hun 放学后镇魂
'fen'li'xiang 分离香
'feng'yin'tie'zhi 封印贴纸
'fu'ling'ren'ou 附灵人偶
'fu'you'ling'wu 浮游灵屋
'gao'qiao'liu'mei'zi 高桥留美子
'gou'gu'tou 狗骨头
'guang'min'ling'shi'ji 光敏灵试剂
'huan'ye'deng 幻夜灯
'huang'quan'yu'zhi 黄泉羽织
'hun'zi 魂子
'huo'che'lie'duan 火车烈断
'ji'wa'wa'you'ling 吉娃娃幽灵
'jia'yin 架印
'jian'yi'ling'dao'kai'tong'qian'bi 简易灵道开通铅笔
'jian'yi'you'ling'bu'huo'zhuang'zhi 简易幽灵捕获装置
'jie'jie'feng'xiang'jiao'dai 结界封箱胶带
'jing'jie'zhi'lun'hui 境界之轮回
'jing'shang'ma'li'nai 井上麻里奈
'jiu'jing 臼井
'jiu'shi'jiu'shen'bu'huo'wang 九十九神捕获网
'jiu'shi'jiu'shen'bu'huo'yong'liu'xing'chui 九十九神捕获用流星锤
'jiu'shi'jiu'shen'tie'zhi 九十九神贴纸
'la'mian'lao'ban 拉面老板
'li'jia 理嘉
'li'xiang 理香
'ling'jie 灵界
'ling'ti'tuo'li'diao'gan 灵体脱离钓竿
'ling'ti'yong'ran'se'qiu 灵体用染色球
'liu'dao'lun'hui 六道轮回
'liu'dao'qing'ren 六道鲭人
'liu'wen 六文
'lun'hui'zhi'lun 轮回之轮
'mei'bao 美保
'mei'sui 美穗
'ming'jie'tang'guo 冥界糖果
'ming'jie'zhi'da'yi 冥界直达翼
'mo'wu 沫悟
'mo'xia'ren 魔狭人
'mu'cun'liang'ping 木村良平
'nian'du'pao'mo'su'da 念读泡沫苏打
'nian'fen 念粉
'pin'qiong'e 贫穷蛾
'ping'jing'zhi'hao 坪井智浩
'ping'yi'qi'qiu 凭依气球
'qi'teng'zhuang'ma 齐藤壮马
'qi'yue'hei'mao 契约黑猫
'qian'zhi'feng'qi'liu 千之风气流
'shan'kou'sheng'ping 山口胜平
'shao'dong 少东
'shen'pan'zhi'lun 审判之轮
'sheng'hui 圣灰
'sheng'ling'ling'li'zeng'qiang'er'ji 生灵灵力增强耳机
'sheng'ming'zhi'huo 生命之火
'sheng'tian'mu'ren'mei 生天目仁美
'shi'chuan'jie'ren 石川界人
'shi'guang'dao'liu'xian'xiang'qi 时光倒流显像器
'shi'wen'zi'yi 十文字翼
'shi'yuan'che'ye 柿原彻也
'shi'zi'jia 十字架
'shou'ming'guan'li'ju 寿命管理局
'si'mo'lian'hua 四魔莲华
'si'shen 死神
'si'shen'lian'dao 死神镰刀
'ti'shen'ren'ou 替身人偶
'xi'xue'huo'che 吸血火车
'xiang'zhen 翔真
'xing'zhu 杏珠
'xuan'tian'zhe'zhang 玄田哲章
'xue'ye'wu'yue 雪野五月
'xun'e'yan 熏蛾烟
'yan'wu'dan 烟雾弹
'yi'ci'xing'ling'dao 一次性灵道
'yin'yang'zu'duan 阴阳阻断
'you'ling 幽灵
'you'ling'hai'tan 幽灵海滩
'you'ling'hui'ti'qi 幽灵回体器
'yun'wai'jing 云外镜
'zhen'gong'ying 真宫樱
'zhen'hun 镇魂
'zheng'yi'zhi'dun 正义之盾
'zhou'qi'ling 洲崎绫
'zhui'di'yue 追荻月
'zou'ma'deng 走马灯
'zui'dan'ding'de'nv'zhu 最淡定的女主
