'bai'gong 白宫
'cai'jing'lu 财经路
'cai'yuan 菜园
'cai'yuan 财院
'cai'zheng'yu'gong'gong'guan'li'xue'yuan 财政与公共管理学院
'cheng'yi'xiu'shen'xin'yi'li'ye 诚以修身信以立业
'chuang'xin'chuang'ye'xie'hui 创新创业协会
'da'xue'xi'lu'hao 大学西路号
'er'shi'san'dong 二十三栋
'fa'xue'yuan 法学院
'fang'cheng'gang'xue'yuan 防城港学院
'gong'shang'guan'li'xue'yuan 工商管理学院
'guan'li'ke'xue'yu'gong'cheng'xue'yuan 管理科学与工程学院
'guang'xi'cai'jing'xue'yuan 广西财经学院
'guang'xi'cai'jing'xue'yuan'fang'cheng'gang'xiao'qu 广西财经学院防城港校区
'guang'xi'cai'jing'xue'yuan'ming'xiu'xiao'qu 广西财经学院明秀校区
'guang'xi'cai'jing'xue'yuan'xiang'si'hu'xiao'qu 广西财经学院相思湖校区
'guo'ji'jiao'yu'xue'yuan 国际教育学院
'huang'gong 黄宫
'huang'si'jin 黄丝巾
'hui'zhan'xie'hui 会展协会
'jin'rong'yu'bao'xian'xue'yuan 金融与保险学院
'jing'hu 镜湖
'jing'ji'yu'mao'yi'xue'yuan 经济与贸易学院
'jing'ying'hui 精英汇
'kuai'ji'yu'shen'ji'xue'yuan 会计与审计学院
'leng'gong 冷宫
'lian'hu 莲湖
'lian'hu'yi'jie 莲湖一阶
'liang'di'san'qu 两地三区
'ma'ke'si'zhu'yi'xue'yuan 马克思主义学院
'ming'de'hong'yi'he'xie'ri'xin 明德弘毅和谐日新
'ming'xiu'xi'lu'hao 明秀西路号
'pin'wei'xuan 品味轩
'qi'pai'xie'hui 棋牌协会
'qing'feng'fu'wu'dui 清风服务队
'qing'lou 青楼
'san'shi'tang 三食堂
'she'ying'xie'hui 摄影协会
'shi'ba'dong 十八栋
'shi'chang'ying'xiao'xie'hui 市场营销协会
'shi'jiu'dong 十九栋
'shi'qi'dong 十七栋
'tian'jian'she 天健社
'tou'zi'xie'hui 投资协会
'wai'guo'yu'xue'yuan 外国语学院
'wei'bo'xie'hui 微博协会
'wen'hua'chuan'bo'xue'yuan 文化传播学院
'xiang'si'gou 相思沟
'xin'xi'yu'tong'ji'xue'yuan 信息与统计学院
'xing'yun'qiao 行云桥
'zhi'en'ge 知恩阁
