'an'shi'zhi'luan 安史之乱
'bai'di 白堤
'bai'liu'li 白琉璃
'bai'ma'si 白马寺
'bu'bing'xiao'wei 步兵校尉
'bu'nian'tu 步辇图
'bu'she'zhe'shuo 捕蛇者说
'bu'xie 布鞋
'cai'hong 彩虹
'cao'cao 曹操
'cao'hai'dan 草还丹
'cen'shen 岑参
'chang'an 长安
'chang'hen'ge 长恨歌
'chen'xuan'zang 陈玄奘
'cheng'zhi'jie 程知节
'chui'niu'wang 吹牛王
'chun'jie 春节
'chun'wang 春望
'ci'hen'mian'mian'wu'jue'qi 此恨绵绵无绝期
'ci'wei 刺猬
'da'bian'fu 大蝙蝠
'da'cheng'fo'fa 大乘佛法
'da'tang'xi'yu'ji 大唐西域记
'da'zao'ji'qiao 打造技巧
'di'ren'jie 狄仁杰
'du'fu 杜甫
'du'gong'bu 杜工部
'du'mu 杜牧
'du'ru'hui 杜如晦
'duo'a'meng 哆啦梦
'duo'shan 躲闪
'fang'cun'shan 方寸山
'fang'xuan'ling 房玄龄
'fen'zhong 分钟
'gui'cheng'xiang 龟丞相
'guo'se'tian'xiang 国色天香
'guo'zi'yi 郭子仪
'han'yu 韩愈
'hao'ran 浩然
'huang'chao 黄巢
'huang'li 黄历
'jia'dao 贾岛
'jian'guan'ying'yu'hua'di'hua 间关莺语花底滑
'jian'shen'shu 健身术
'jian'zhen 鉴真
'jiang'nan'chun 江南春
'jiao'hua 狡猾
'jiao'shi 教师
'jin'gang'jing 金刚经
'jue'ju 绝句
'lai'jun'chen 来俊臣
'lan'tian'ri'nuan'yu'sheng'yan 蓝田日暖玉生烟
'lang'tao'feng'bo'zi'tian'ya 浪淘风簸自天涯
'li'bai 李白
'li'chun'feng 李淳风
'li'ji 李绩
'li'lin'fu 李林甫
'li'long'ji 李隆基
'li'mi 厘米
'li'shang'yin 李商隐
'li'yuan 李渊
'lian'jin'shu 炼金术
'ling'yan'ge 凌烟阁
'liu'gong'quan 柳公权
'liu'shu 柳树
'liu'yong 柳永
'liu'yu'xi 刘禹锡
'liu'zong'yuan 柳宗元
'lu'dong'zan 禄东赞
'lu'shan 庐山
'luo'bin'wang 骆宾王
'luo'yang 洛阳
'ma'fang 马芳
'mei'ge'yue 每个月
'mo'wang'zhai 魔王寨
'ni'ye'lai'le 你也来了
'pi'shuang 砒霜
'pu'bu 瀑布
'pu'sa'man 菩萨蛮
'pu'tuo'shan 普陀山
'qi'yan 七言
'qian'li'jiang'ling'yi'ri'huan 千里江陵一日还
'qiang'shen'shu 强身术
'qiao'ke'li'bang 巧克力棒
'qin'qiong 秦琼
'qin'wang 秦王
'qiu'tian 秋天
'san'bie 三别
'seng'yi'xing 僧一行
'shan'he'xian'jun 山河险峻
'shang'guan'wan'er 上官婉儿
'shao'shu'min'zu 少数民族
'shi'shi 诗史
'shi'shuo 师说
'shu'bao 叔宝
'shu'dao'nan 蜀道难
'shu'zi'shi 数字诗
'shui'jia'xin'yan'zhuo'chun'ni 谁家新燕啄春泥
'song'zan'gan'bu 松赞干布
'song'zhen'zong 宋真宗
'sun'si'miao 孙思邈
'tai'shan 泰山
'tai'shang'lao'jun 太上老君
'tang'shi 唐诗
'tao'yuan'ming 陶渊明
'teng'wang'ge'xu 滕王阁序
'tian'ke'han 天可汗
'tou'bu 头部
'tu'bo 吐蕃
'tui'bei'tu 推背图
'wa'gang'zhai 瓦岗寨
'wan'tiao'chui'xia'lv'si'tao 万条垂下绿丝绦
'wang'wei 王维
'wei'cheng'chao'yu'yi'qing'chen 渭城朝雨邑轻尘
'wei'zheng 魏征
'wen'du'ji 温度计
'wu'dao'zi 吴道子
'wu'liu'xian'sheng 五柳先生
'wu'yan'jue'ju 五言绝句
'wu'ze'tian 武则天
'xi'an 西安
'xi'zhou'qu 西洲曲
'xiang'dui'lun 相对论
'xiang'jian'shi'nan'bie'yi'nan 相见时难别亦难
'xiang'shan'ju'shi 香山居士
'xiang'si 相思
'xiao'bai'tu 小白兔
'xiao'xian'qie'qie'ru'si'yu 小弦切切如私语
'xiao'xiao'hu 小小虎
'xiao'yu 小雨
'xie'jiang 蟹将
'xin'tang'shu 新唐书
'xing'gong 行宫
'xuan'wu'men 玄武门
'xue'ren'gui 薛仁贵
'yan'jing 眼镜
'yan'ying 晏婴
'yan'zhen'qing 颜真卿
'yang'gui'fei 杨贵妃
'yu'hua'qiao 雨花桥
'yu'san 雨伞
'yu'shi'tong'jun 与世同君
'yuan'hun'bu'san 冤魂不散
'yuan'shang'han'shan'shi'jing'xie 远上寒山石径斜
'yuan'zhen 元稹
'zao'shu 枣树
'zhang'sun'wu'ji 长孙无忌
'zhang'xian 张先
'zhang'xu 张旭
'zhang'zhong'jing 张仲景
'zhen'guan 贞观
'zhi'shi'jin'huang'hun 只是近黄昏
'zhi'wei'di'xia 职位低下
'zhi'zhu'jing 蜘蛛精
'zhong'shu'sheng 中书省
'zhu'chi'fang'zhang 主持方丈
'zhu'ge'liang 诸葛亮
'zhu'sui'liang 褚遂良
'zhu'wen 朱温
'zi'jiang'mo'xi'ren'qian'chao 自将磨洗认前朝
'zi'se 紫色
'zuo'yan 左眼
