'ao'si'ka 奥斯卡
'bai'chen'xiang 白沉香
'bai'xiu'xiu 白秀秀
'bei'bei 贝贝
'bi'bi'dong 比比东
'bing'di 冰帝
'bo'sai'dong 波塞冬
'cao'de'zhi 曹德智
'dai'mu'bai 戴沐白
'dong'qian'qiu 冻千秋
'dou'luo'da'lu 斗罗大陆
'gu'yue 古月
'gu'yue'na 古月娜
'gui'mei 鬼魅
'he'cai'tou 和菜头
'huang'yuan'lang 皇元朗
'huo'yu'hao 霍雨浩
'jiang'nan'nan 江楠楠
'ju'hua'guan 菊花关
'jue'shi'tang'men 绝世唐门
'lan'meng'qin 蓝梦琴
'lan'xuan'yu 蓝轩宇
'liu'feng 刘峰
'long'wang'chuan'shuo 龙王传说
'ma'hong'jun 马红俊
'ma'xiao'tao 马小桃
'meng'hong'chen 梦红尘
'ning'rong'rong 宁荣荣
'qian'lei 钱磊
'tang'hao 唐昊
'tang'san 唐三
'tang'wu'lin 唐舞麟
'tang'wu'tong 唐舞桐
'tang'ya 唐雅
'tang'yu'ge 唐雨格
'tian'meng'bing'can 天梦冰蚕
'wang'dong 王东
'wu'chang'kong 舞长空
'xiao'hong'chen 笑红尘
'xiao'wu 小舞
'xiao'xiao 萧萧
'xie'xie 谢懈
'xu'san'shi 徐三石
'xu'xiao'yan 许小言
'xue'di 雪帝
'yi'lai'ke'si 伊莱克斯
'yuan'en'hui'hui 原恩辉辉
'yuan'en'ye'hui 原恩夜辉
'yue'zheng'yu 乐正宇
'zhong'ji'dou'luo 终极斗罗
'zhu'zhu'qing 朱竹清
'zhu'zhu'yun 朱竹云
