'a'er'fa 阿尔法
'a'er'fa'gou 阿尔法狗
'ba'hua 拔花
'bai'da'long 白大龙
'bu'huo 不活
'cai'xian 猜先
'chan'rao 缠绕
'da'fei 大飞
'da'jie 打劫
'da'long 大龙
'da'ru 打入
'da'shao 打勺
'fen'tou 分投
'gong'huo 共活
'gun'da'bao'shou 滚打包收
'hei'da'long 黑大龙
'hou'shou 后手
'huan'shou 缓手
'huo'qi 活棋
'jiang'shi'liu 僵尸流
'jie'bai 劫败
'jie'cai 劫材
'jie'huo 劫活
'jie'zheng 劫争
'jin'mao'liu 金毛流
'ju'shao 巨勺
'jue'yi 绝艺
'kai'jie 开劫
'kua'duan 跨断
'mi'shi'yao'dao 芈氏妖刀
'miao'shou 妙手
'niu'duan 扭断
'qi'zi'bao'shou 弃子包收
'rang'xian 让先
'san'jie'xun'huan 三劫循环
'san'lian'xing 三连星
'san'san 三三
'shao'zi 勺子
'shen'zhi'yi'shou 神之一手
'sheng'si'jie 生死劫
'shuang'huo 双活
'si'jie'xun'huan 四劫循环
'teng'nuo 腾挪
'tian'yuan 天元
'tu'long 屠龙
'wu'you'jie 无忧劫
'xian'lao'hou'xi 先捞后洗
'xian'shou 先手
'xiao'fei 小飞
'xiao'jie 消劫
'xing'wei 星位
'xun'huan'jie 循环劫
'yao'tou'jie 摇头劫
'ying'jie 应劫
'yu'zhou'liu 宇宙流
'zhi'gu 治孤
'zhong'fu 中腹
'zhong'guo'liu 中国流
'zuo'huo 做活
