'an'zhi'jue'yi'zhui'feng'zu 安知决臆追风足
'an'zhi'you'cang'chi 安知有苍池
'an'zhuan'yi'jiang'hu 岸转异江湖
'ao'ni'fu'qiao'bi 傲睨俯峭壁
'ao'you'su'nan'shan 遨游宿南山
'ba'ai'shi 八哀诗
'ba'bi'kai'zun'yin'wo'jiu 把臂开尊饮我酒
'ba'bi'you'duo'ri 把臂有多日
'ba'chao'gui'bu'tong 罢朝归不同
'ba'cheng'tian'lei'yan 巴城添泪眼
'ba'dao'ci'xiang'feng 巴道此相逢
'ba'diao'dai'qiu'feng 把钓待秋风
'ba'dong'feng'li'chao 巴东逢李潮
'ba'dong'zhi'xia'sheng'ling'si 巴东之峡生凌澌
'ba'fen'gai'qiao'cui 八分盖憔悴
'ba'fen'yi'zi'zhi'bai'jin 八分一字直百金
'ba'guan'yi'you'ren 罢官亦由人
'ba'huang'kai'shou'yu 八荒开寿域
'ba'huang'shi'nian'fang'dao'zei 八荒十年防盗贼
'ba'ji'nian'huai'rou 八极念怀柔
'ba'jian'bo'nian'shuai 拔剑拨年衰
'ba'jian'huo'yu'jiao'long'zheng 拔剑或与蛟龙争
'ba'jian'ji'da'huang 拔剑击大荒
'ba'jian'mi'xu'jun 把剑觅徐君
'ba'jian'ran'han'guang 巴笺染翰光
'ba'jian'yu'zhan'qie'fu'xiu 拔剑欲斩且复休
'ba'jiu'cong'yi'shi 把酒从衣湿
'ba'jiu'han'ge'tuo'jin'ji 罢酒酣歌拓金戟
'ba'jiu'yi'mang'ran 把酒意茫然
'ba'jiu'yi'shen'zhuo 把酒宜深酌
'ba'jun'shi'guo'ri 把君诗过日
'ba'jun'sui'tian'zi 八骏随天子
'ba'ling'dong'ting'ri'ben'dong 巴陵洞庭日本东
'ba'qi'ceng'jian'fa 霸气曾间发
'ba'qi'xi'nan'xie 霸气西南歇
'ba'qin'chou'chang'yue'zhao'xi 罢琴惆怅月照席
'ba'ren'bu'zai'cun 罢人不在村
'ba'ren'chang'xiao'geng 巴人常小梗
'ba'ren'kun'jun'xu 巴人困军须
'ba'ru'jiang'hai'ning'qing'guang 罢如江海凝清光
'ba'shan'ba'shan'yu'zhong'shi 巴山巴山遇中使
'ba'shan'chun'se'jing 巴山春色静
'ba'shang'yuan'chou'ren 霸上远愁人
'ba'she'ceng'bu'ni 跋涉曾不泥
'ba'she'jue'shen'lao 跋涉觉身劳
'ba'she'ti'he'ru 跋涉体何如
'ba'shu'juan'piao'lue 巴蜀倦剽掠
'ba'shu'lai'duo'bing 巴蜀来多病
'ba'shui'san'feng'tao 八水散风涛
'ba'su'zi'wei'lin 巴俗自为邻
'ba'tong'dang'jiang'qi'ce'guo 巴童荡桨欹侧过
'ba'tong'hun'bu'qin 巴童浑不寝
'ba'wei'tian'jun'zuo 拔为天军佐
'ba'wen'jing'xiao'lu 把文惊小陆
'ba'xi'chi'shi'xi 巴西敕使稀
'ba'xi'dao'lu'nan 巴西道路难
'ba'xi'yi'ting'guan'jiang'zhang 巴西驿亭观江涨
'ba'ye'xun'chang'ti 霸业寻常体
'ba'ying'fen'wei'xi 巴莺纷未稀
'ba'yue'zi'zhi'gui 八月自知归
'ba'zhao'zi'wei'tian 把诏紫微天
'ba'zhou'ci'shi'si'yi'zhan 八州刺史思一战
'ba'zhou'niao'dao'bian 巴州鸟道边
'ba'zhu'bing'tun'zai'wu'qing 霸主并吞在物情
'ba'zhu'cheng'qiao'ye 把烛成桥夜
'ba'zuo'ji'shi'chu 八座几时除
'bai'bang'qian'jia'yi 白榜千家邑
'bai'bian'xiang'kan'yi'wei'lan 百遍相看意未阑
'bai'bo'chui'fen'bi 白波吹粉壁
'bai'chuan'jie'luan'liu 百川皆乱流
'bai'ci'yi'que'xia 拜辞诣阙下
'bai'cui'xiu'gu'long'hu'si 白摧朽骨龙虎死
'bai'di'cheng'gao'ji'mu'zhen 白帝城高急暮砧
'bai'di'cheng'men'shui'yun'wai 白帝城门水云外
'bai'di'cheng'xi'guo'yu'hen 白帝城西过雨痕
'bai'di'cheng'xi'wan'zhu'pan 白帝城西万竹蟠
'bai'di'cheng'xia'yu'fan'pen 白帝城下雨翻盆
'bai'di'gao'wei'san'xia'zhen 白帝高为三峡镇
'bai'di'han'cheng'zhu'jin'pao 白帝寒城驻锦袍
'bai'di'kong'ci'miao 白帝空祠庙
'bai'di'kui'zhou'ge'yi'cheng 白帝夔州各异城
'bai'di'xia'feng'han 白帝峡风寒
'bai'di'yun'tou'bi'hai'chun 白帝云偷碧海春
'bai'fa'fan'duo'jiu 白发烦多酒
'bai'fa'gan'diao'sang 白发甘凋丧
'bai'fa'hao'jin'chun 白发好禁春
'bai'fa'jing'shui'lian 白发竟谁怜
'bai'fa'mei'chang'zao 白发寐常早
'bai'fa'qian'jing'xue 白发千茎雪
'bai'fa'shao'xin'xi 白发少新洗
'bai'fa'shen'bei'yi'bu'ci 百罚深杯亦不辞
'bai'fa'si'nan'li 白发丝难理
'bai'fa'zi'neng'shu 白发自能梳
'bai'gong'zhen'kui'guo 柏公镇夔国
'bai'gou'huang'niu'xia 白狗黄牛峡
'bai'gou'xie'lin'bei 白狗斜临北
'bai'gu'bian'qi'hou 白谷变气候
'bai'gu'geng'he'you 白骨更何忧
'bai'gu'hui'shen'you 白谷会深游
'bai'gu'jie'yi'qi 百谷皆已弃
'bai'gu'lou'bo'tao 百谷漏波涛
'bai'gu'xin'jiao'zhan 白骨新交战
'bai'guan'xian'zu'sui'tian'wang 百官跣足随天王
'bai'gui'ti'feng'xiang'duan'wu 拜跪题封向端午
'bai'guo'luo'wu'sha 百过落乌纱
'bai'he'jiu'tong'lin 白鹤久同林
'bai'he'pan'wo'fei 摆阖盘涡沸
'bai'hu'chi'chui'yan'liu'xue 白鹄翅垂眼流血
'bai'hu'na'song'jiu'ru'quan 百壶那送酒如泉
'bai'hu'qie'shi'kai'huai'bao 百壶且试开怀抱
'bai'hu'sui'bu'lai 白鹄遂不来
'bai'hu'tiao'liang'huang'hu'li 白狐跳梁黄狐立
'bai'hua'gao'lou'geng'ke'lian 百花高楼更可怜
'bai'hua'tan'bei'zhuang 百花潭北庄
'bai'hua'tan'shui'ji'cang'lang 百花潭水即沧浪
'bai'hua'yan'wai'duo 白花檐外朵
'bai'ji'zi'qun'xun 败绩自逡巡
'bai'jian'bo'hua'chong 白间剥画虫
'bai'jian'sheng'hei'si 白间生黑丝
'bai'jiang'feng'biao'cui 白蒋风飙脆
'bai'jin'zhuang'dao'tou 百金装刀头
