'fang'shen'ba'ji'wai 放神八极外
'fang'shen'dong'ru'lv 防身动如律
'fang'shen'yi'chang'jian 防身一长剑
'fang'shou'shang'kui'gen 放手伤葵根
'fang'shuo'xie'tai'wang 方朔谐太枉
'fang'shuo'xu'chuan'shi'sui'xing 方朔虚传是岁星
'fang'ti'zhi'chi'ji 放蹄知赤骥
'fang'wai'jiu'tu'xi'zui'mian 方外酒徒稀醉眠
'fang'xiang'shi'jiao'ren 仿像识鲛人
'fang'xing'chen'an'jing 方行郴岸静
'fang'yan'ci'shi'ju 芳宴此时具
'fang'yi'he'zi'ruo 放意何自若
'fang'yu'bo'bo'se'sheng'yin 鲂鱼鱍鱍色胜银
'fang'yu'ci'he'ji 防虞此何及
'fang'yu'fei'mei'zhi'di'yi 鲂鱼肥美知第一
'fang'yu'yi'shui'guan 防隅一水关
'fang'yuan'gou'ju'yu 方圆苟龃龉
'fang'zhang'hun'lian'shui 方丈浑连水
'fang'zhang'she'hai'fei'shi'jie 方丈涉海费时节
'fang'zhi'bu'cai'zhe 方知不材者
'fang'zhi'wu'xi'bin 放之五溪滨
'fang'zhi'xiang'jiao'li 方知象教力
'fang'zhu'lai'shang'guo 放逐来上国
'fang'zhu'ning'wei'xing 放逐宁违性
'fang'zhu'wei'jue'jin'pan'kong 放箸未觉金盘空
'fang'zhu'zao'lian'pian 放逐早联翩
'fei'bing'ji'shi'zhao'ri'bian 肺病几时朝日边
'fei'chong'man'yuan'you 飞虫满院游
'fei'chuan'zi'he'long 飞传自河陇
'fei'cui'ming'yi'heng 翡翠鸣衣桁
'fei'dian'chang'zai'mu 飞电常在目
'fei'dong'cui'pi'li 飞动摧霹雳
'fei'dong'zi'chou'pi 飞动自俦匹
'fei'du'yan'se'hao 非独颜色好
'fei'er'geng'ku'jie 非尔更苦节
'fei'fei'feng'die'duo 飞飞蜂蝶多
'fei'fei'hong'su'qing 菲菲红素轻
'fei'fei'yun'qi'zhong 霏霏云气重
'fei'gan'ruo'shao'yu 肺肝若稍愈
'fei'ge'juan'lian'tu'hua'li 飞阁卷帘图画里
'fei'gong'zhe'yao'ju 非供折腰具
'fei'guan'feng'lu'diao 非关风露凋
'fei'guan'gu'an'pai 非关故安排
'fei'guan'shi'zhe'zheng'qiu'ji 非关使者征求急
'fei'hong'zhou'rui'luan 霏红洲蕊乱
'fei'huo'qu'pei'hui 飞藿去裴回
'fei'jun'ai'ren'ke 非君爱人客
'fei'jun'shui'yu'lun 非君谁与论
'fei'ku'ke'tai'shen 肺枯渴太甚
'fei'lai'liang'bai'he 飞来两白鹤
'fei'lai'shuang'bai'he 飞来双白鹤
'fei'lu'ben'wu'di 飞橹本无蒂
'fei'ming'hai'jie'chi 飞鸣还接翅
'fei'ming'sheng'nian'qun 飞鸣声念群
'fei'nan'you'mu'song 肥男有母送
'fei'niao'bi'yuan'men 飞鸟避辕门
'fei'niao'bu'neng'yu 飞鸟不能逾
'fei'niao'bu'zai'wai 飞鸟不在外
'fei'niao'ku're'si 飞鸟苦热死
'fei'niao'shu'qiu'shi 飞鸟数求食
'fei'qi'jia'yi'zhi 飞栖假一枝
'fei'qi'jiu'shuai'weng 肺气久衰翁
'fei'qi'qiu'shu'yong'shuang'lu 废畦秋蔬拥霜露
'fei'qu'duo'er'qian 飞去堕尔前
'fei'ri'ku'qing'ji 费日苦轻赍
'fei'ri'xi'zhou'chang 费日系舟长
'fei'rou'da'jiu'tu'xiang'yao 肥肉大酒徒相要
'fei'shi'cang'geng'lin 非是仓庚邻
'fei'shi'niao'gong'wen 非时鸟共闻
'fei'shu'bai'di'ying'dou'su 飞书白帝营斗粟
'fei'shuang'ren'qing'nv 飞霜任青女
'fei'teng'ji'ji'shi 飞腾急济时
'fei'teng'mu'jing'xie 飞腾暮景斜
'fei'teng'wu'na'gu'ren'he 飞腾无那故人何
'fei'teng'zhan'fa'ming 飞腾战伐名
'fei'teng'zhi'you'ce 飞腾知有策
'fei'tian'wan'sheng'dong 沸天万乘动
'fei'tu'bu'jin'jia 飞兔不近驾
'fei'wei'di'lao'da 匪唯帝老大
'fei'wei'he'han'qiao 霏微河汉桥
'fei'wei'shu'jiu'zhan 肺萎属久战
'fei'wei'yi'chuan'du 非唯一川渎
'fei'wu'jiang'hai'zhi 非无江海志
'fei'wu'wan'li'zi 非无万里姿
'fei'xi'qu'nian'ti'yi'zi 飞锡去年啼邑子
'fei'xia'shi'er'lou 飞下十二楼
'fei'xin'gu'xi'shi'yi'yi 费心姑息是一役
'fei'xing'guo'shui'bai 飞星过水白
'fei'xun'dai'an'dao 非寻戴安道
'fei'yang'ba'hu'wei'shui'xiong 飞扬跋扈为谁雄
'fei'yi'hu'li'yu 废邑狐狸语
'fei'yu'ai'er'zhi 飞雨霭而至
'fei'yu'dong'hua'wu 飞雨动华屋
'fei'zhao'chu'jiang'han 飞旐出江汉
'fei'zhao'fan'tang'qian 飞旐泛堂前
'fei'zi'shui'fu'jian'you'xin 非子谁复见幽心
'fei'zou'shi'wo'gao 飞走使我高
'fen'ai'qi'bi'sao 氛埃期必扫
'fen'cao'shi'yi'tong 分曹失异同
'fen'dai'yi'jie'bao 粉黛亦解苞
'fen'die'dian'zhuan'zi'you'jiang 粉堞电转紫游缰
'fen'fang'meng'mu'lin 芬芳孟母邻
'fen'fei'chao'deng'ji 奋飞超等级
'fen'fei'ji'hu'yue 奋飞既胡越
'fen'fen'cheng'bai'ma 纷纷乘白马
'fen'fen'qing'bo'he'xu'shu 纷纷轻薄何须数
'fen'fen'tao'li'zhi 纷纷桃李枝
'fen'fu'xian'ling'wang 分符先令望
'fen'gong'huo'che'ming 焚宫火彻明
'fen'hun'mai'ri'che 氛昏霾日车
'fen'ji'chi'lin'qiu 愤激驰林丘
'fen'jian'ji'xi'yu 分减及溪鱼
'fen'jin'wei'feng'pei 汾晋为丰沛
'fen'jun'ying'gong'gei 分军应供给
'fen'kun'jiu'shi'yong'xian'hao 分阃救世用贤豪
'fen'mi'ri'yue'huang 氛迷日月黄
'fen'ming'jian'xi'ban 分明见溪伴
'fen'ming'nang'xian'ji 分明曩贤计
'fen'ming'yuan'hen'qu'zhong'lun 分明怨恨曲中论
'fen'ming'zai'xi'cen 分明在夕岑
'fen'ming'zai'yan'qian 分明在眼前
'fen'ming'zhuan'yu'en 分明馔玉恩
'fen'mo'qie'xiao'se 粉墨且萧瑟
'fen'mo'xing'si'jian 粉墨形似间
'fen'nu'xiang'wo'luo 奋怒向我落
'fen'pi'chang'song'dao 纷披长松倒
'fen'pi'wei'shui'xiu 纷披为谁秀
'fen'ran'bu'shi'kou 纷然不适口
'fen'ri'shi'zhu'wang 分日示诸王
'fen'shao'he'tai'pin 焚烧何太频
'fen'she'dong'tian'yi 奋舌动天意
'fen'shen'yong'suo'wen 奋身勇所闻
'fen'wan'fu'he'you 愤惋复何有
'fen'xiang'shu'jing'dian 焚香淑景殿
'fen'xiang'yu'nv'gui 焚香玉女跪
'fen'zhai'tuo'can'jian 分宅脱骖间
'fen'zhang'su'you'qi 分张素有期
'feng'an'die'qing'cen 枫岸叠青岑
'feng'bei'fu'yun'qu 风悲浮云去
'feng'biao'hu'huo'wen 风飙虎或闻
'feng'bo'kong'yuan'she 风波空远涉
'feng'cang'dan'xiao'mu 凤藏丹霄暮
'feng'cao'qing'qing'han'bu'si 丰草青青寒不死
'feng'chai'bu'gan'du 蜂虿不敢毒
'feng'chai'zhong'huai'du 蜂虿终怀毒
'feng'chen'an'bu'kai 风尘暗不开
'feng'chen'bing'gan'ci 风尘病敢辞
'feng'chen'feng'wo'di 风尘逢我地
'feng'chen'ku'wei'xi 风尘苦未息
'feng'chen'qi'zhu'yan 风尘岂驻颜
'feng'chen'qing'dong'hun'wang'shi 风尘倾动昏王室
'feng'chen'ren'ran'yin'shu'jue 风尘荏苒音书绝
'feng'chen'san'chi'jian 风尘三尺剑
'feng'chen'wei'ke'ri 风尘为客日
'feng'chen'xiang'gong'dong 风尘相澒洞
'feng'chen'yan'bie'ri 风尘淹别日
'feng'chen'zhan'fa'duo 风尘战伐多
'feng'chen'zhong'bu'jie 风尘终不解
'feng'cheng'ke'zi'wang'ji'you 酆城客子王季友
'feng'chi'ri'cheng'bi 凤池日澄碧
'feng'chu'ji'fen'fen 风处急纷纷
'feng'chu'wu'fan'mao 凤雏无凡毛
'feng'chuang'zhan'shu'juan 风床展书卷
'feng'chui'cang'jiang'shu 风吹苍江树
'feng'chui'hua'pian'pian 风吹花片片
'feng'chui'ju'yan'zuo 风吹巨焰作
'feng'chui'ke'yi'ri'gao'gao 风吹客衣日杲杲
'feng'chui'qing'jing'qin 风吹青井芹
'feng'chui'xi'xi'xiang 风吹细细香
'feng'chui'yun'yi'sheng 风吹晕已生
'feng'chun'ru'yan'nong 逢春入眼浓
'feng'ci'hai'zhang'ce 奉辞还杖策
'feng'deng'chui'yin'xue 风磴吹阴雪
'feng'deng'zhao'ye'yu'san'geng 风灯照夜欲三更
'feng'di'gong'chu'li 锋镝供锄犁
'feng'die'qin'yi'jiang 风蝶勤依桨
'feng'dong'jiang'jun'mu 风动将军幕
'feng'dong'jin'lang'dang 风动金锒铛
'feng'du'hong'hua'que'dao'chui 风妒红花却倒吹
'feng'duan'qing'pu'jie 风断青蒲节
'feng'fan'shu'yi'ting 风帆数驿亭
'feng'fan'yi'cui'gai 风帆倚翠盖
'feng'fei'yan'bu'ding 风扉掩不定
'feng'feng'ci'di'ang 峰峰次低昂
'feng'gao'hu'yong'bo 风高湖涌波
'feng'gong'ju'gu'rou 奉公举骨肉
'feng'gua'yin'ben'qiao 枫栝隐奔峭
'feng'guo'qi'wan'nu 风过齐万弩
'feng'han'cui'xiao'juan'juan'jing 风含翠筱娟娟静
'feng'han'guang'an'bo 风含广岸波
'feng'hao'wen'hu'bao 风号闻虎豹
'feng'he'jiu'xiao'peng 风翮九霄鹏
'feng'hou'bu'ji'nian 封侯不计年
'feng'hou'li'mu'chang'hui'shou 风后力牧长回首
'feng'hou'yi'shu'kuo 封侯意疏阔
'feng'hua'bai'di'cheng 风花白帝城
'feng'hua'gao'xia'fei 风花高下飞
'feng'huang'chi'shang'ying'hui'shou 凤凰池上应回首
'feng'huang'cong'dong'lai 凤凰从东来
'feng'huang'qi'lin'an'zai'zai 凤凰麒麟安在哉
'feng'hui'fan'wu'chu 风回返无处
'feng'huo'bei'gang'luan 烽火被冈峦
'feng'huo'lian'san'yue 烽火连三月
'feng'huo'wei'quan'ting 烽火未全停
'feng'huo'zhao'ye'shi'zong'heng 烽火照夜尸纵横
'feng'ji'bian'sheng'ri 凤纪编生日
'feng'ji'da'chuan'tou 风急打船头
'feng'ji'shou'zu'han 风急手足寒
'feng'jiang'bu'chang'quan 封疆不常全
'feng'jiang'sa'sa'luan'fan'qiu 风江飒飒乱帆秋
'feng'jing'kai'yang'yi 风景开怏悒
'feng'ju'xin'han'zhan 烽举新酣战
'feng'lai'bei'dou'hun 风来北斗昏
'feng'lang'shao'xing'zhou 风浪少行舟
'feng'lang'wu'chen'mu 风浪无晨暮
'feng'lang'yu'yun'ping 风浪与云平
'feng'lei'chan'di'mai 风雷缠地脉
'feng'lei'ken'wei'shen 风雷肯为神
'feng'lei'sa'wan'li 风雷飒万里
'feng'lei'sou'bai'ling 风雷搜百灵
'feng'leng'shou'gu'cheng 锋棱瘦骨成
'feng'lian'xi'ji'dong 风连西极动
'feng'lian'zi'shang'gou 风帘自上钩
'feng'liang'chu'wu'yu 风凉出舞雩
'feng'lin'ge'wei'xi 凤林戈未息
'feng'lin'ju'shu'dan'qing'he 枫林橘树丹青合
'feng'ling'da'jiao'hu'wu'bai 冯陵大叫呼五白
'feng'liu'han'shu'lang 风流汉署郎
'feng'liu'hou'dai'xi 风流后代希
'feng'liu'ju'shan'jia 风流俱善价
'feng'liu'ru'ya'yi'wu'shi 风流儒雅亦吾师
'feng'liu'san'jin'shi 风流散金石
'feng'liu'wu'xian'shao 风流吾贤绍
'feng'lu'pan'cheng'huang 烽橹蟠城隍
'feng'luan'ping'sha'shu 风乱平沙树
'feng'luan'yao'tiao'ji'gu'hei 峰峦窈窕谿谷黑
'feng'luo'shou'song'zi 风落收松子
'feng'man'bu'yi'lou 风幔不依楼
'feng'man'he'shi'juan 风幔何时卷
'feng'men'sa'ta'kai 风门飒踏开
'feng'miao'yi'yi'ji 丰苗亦已穊
'feng'ming'pai'kan'qi 风鸣排槛旗
'feng'nei'bi'wu'yu 封内必舞雩
'feng'nei'quan'de'an 封内权得按
'feng'nei'ru'tai'gu 封内如太古
'feng'ni'xuan'sui'yun 风逆旋随云
'feng'ni'yan'wu'xing 风逆雁无行
'feng'ni'yu'mao'shang 风逆羽毛伤
'feng'nian'shu'yun'chi 丰年孰云迟
'feng'piao'lv'lv'xiang'he'qie 风飘律吕相和切
'feng'piao'wan'dian'zheng'chou'ren 风飘万点正愁人
'feng'po'han'jiang'chi 风破寒江迟
'feng'qi'chun'cheng'mu 风起春城暮
'feng'qi'chun'deng'luan 风起春灯乱
'feng'qi'zhong'po'lang 风期终破浪
'feng'qian'jing'zhu'xie 风前径竹斜
'feng'qian'shi'san'shi'zi'jin 俸钱时散士子尽
'feng'qing'fen'die'xi 风轻粉蝶喜
'feng'rang'dai'san'miao 风壤带三苗
'feng'ren'duo'hou'yan 逢人多厚颜
'feng'ren'wen'gong'qing 逢人问公卿
'feng'ren'wen'ji'xian 逢人问几贤
'feng'ren'wen'kong'rong 逢人问孔融
'feng'ru'si'ti'qing 风入四蹄轻
'feng'sa'chang'sha'liu 风飒长沙柳
'feng'san'ru'yun'bei 风散入云悲
'feng'sao'gong'tui'ji 风骚共推激
'feng'shan'ceng'shu'yi 风杉曾曙倚
'feng'shen'dang'jiang'hu 风神荡江湖
'feng'sheng'jin'xiu'xiang 风生锦绣香
'feng'sheng'yi'nuan'you 蜂声亦暖游
'feng'sheng'yi'ren'piao 风生一任飘
'feng'sheng'yi'you'you 凤声亦悠悠
'feng'sheng'zhou'zhu'jin'fan'kai 风生洲渚锦帆开
'feng'shi'dai'zhang'qian 奉使待张骞
'feng'shi'san'xia'zhong 奉使三峡中
'feng'shi'shi'zhang'qian 奉使失张骞
'feng'shi'xu'sui'ba'yue'cha 奉使虚随八月查
'feng'shu'huo'bu'shao 烽疏火不烧
'feng'shu'ji'yu'lei'chan'yuan 封书寄与泪潺湲
'feng'shu'liang'hang'lei 封书两行泪
'feng'shu'zuo'yuan'shen 枫树坐猿深
'feng'shui'bai'ren'se 风水白刃涩
'feng'shui'chun'lai'dong'ting'kuo 风水春来洞庭阔
'feng'song'jiao'long'yu 风送蛟龙雨
'feng'song'su'ling'ling 风松肃泠泠
'feng'su'dang'yuan'shu 风俗当园蔬
'feng'su'fang'zai'zao 风俗方再造
'feng'su'jin'hai'chun 风俗尽还淳
'feng'sui'qi'huang'qu 凤随其皇去
'feng'tang'mao'fa'bai 冯唐毛发白
'feng'tang'sui'wan'da 冯唐虽晚达
'feng'tao'mu'bu'wen 风涛暮不稳
'feng'tao'nu'you'xu 风涛怒犹蓄
'feng'tao'sa'sa'han'shan'yin 风涛飒飒寒山阴
'feng'tao'shang'chun'sha 风涛上春沙
'feng'ti'niao'shou'xing 封题鸟兽形
'feng'ting'jiu'gao'li 风听九皋唳
'feng'wu'bei'you'zi 风物悲游子
'feng'wu'chang'nian'bei 风物长年悲
'feng'wu'shan'hu'gou 丰屋珊瑚钩
'feng'xian'yi'ran'xue 锋先衣染血
'feng'xiang'qian'guan'qie'bao'fan 凤翔千官且饱饭
'feng'xie'liu'wei'shu 风榭柳微舒
'feng'xing'shi'jia'liu 讽兴诗家流
'feng'xue'chu'jie'hao 凤穴雏皆好
'feng'ya'ai'gu'xian 风雅蔼孤鶱
'feng'yan'han'yue'niao 风烟含越鸟
'feng'yan'miao'wu'shu 风烟渺吴蜀
'feng'yan'wu'xia'yuan 风烟巫峡远
'feng'yi'chui'hong'you 凤以垂鸿猷
'feng'yi'ji'gu'qun'long'qu 冯夷击鼓群龙趋
'feng'yi'long'qi'wei'yi'shi 凤臆龙鬐未易识
'feng'yin'geng'ru'si 风引更如丝
'feng'yin'lan'qi'sha'yuan'ma 奉引滥骑沙苑马
'feng'ying'nian'xi'zhen 逢迎念席珍
'feng'ying'shao'zhuang'fei'wu'dao 逢迎少壮非吾道
'feng'ying'yuan'fu'mi 逢迎远复迷
'feng'yong'zai'wu'ping 讽咏在务屏
'feng'yu'an'jing'man 风雨暗荆蛮
'feng'yu'bu'dong'an'ru'shan 风雨不动安如山
'feng'yu'jie'he'ji 风雨嗟何及
'feng'yu'kan'zhou'qian'luo'hua 风雨看舟前落花
'feng'yu'qiu'yi'ye 风雨秋一叶
'feng'yu'shi'shi'long'yi'yin 风雨时时龙一吟
'feng'yu'wen'hao'hu 风雨闻号呼
'feng'yu'yi'lai'guo 风雨亦来过
'feng'yuan'cang'jin'zhu 风鸳藏近渚
'feng'yue'zi'qing'ye 风月自清夜
'feng'yun'an'bai'man 风云暗百蛮
'feng'yun'di'yi'yu 风云地一隅
'feng'yun'ji'hui'qi 风云际会期
'feng'yun'ruo'you'qi 风云若有期
'feng'yun'sui'jue'zu 风云随绝足
'feng'zhao'bing'ji'chan 冯招病疾缠
'feng'zhao'fa'jin'wei 奉诏发金微
'feng'zhao'jie'heng'qu 凤沼接亨衢
'feng'zhao'ling'can'mou 奉诏令参谋
'feng'zhao'xu'qian'ju 奉诏许牵裾
'feng'zhen'zi'shan'bei 风振紫山悲
'feng'zheng'chui'yu'zhu 风筝吹玉柱
'feng'zhi'yi'xiang'wang 风至忆襄王
'feng'zhu'zai'hua'xuan 风竹在华轩
'fou'zang'tai'chang'yi 否臧太常议
'fu'bing'chui'zhu'fu 扶病垂朱绂
'fu'bing'xiang'shi'chang'sha'yi 扶病相识长沙驿
'fu'cai'gao'wu'di 符彩高无敌
'fu'cha'bing'zuo'de 浮查并坐得
'fu'chai'men'zhai'zhai 缚柴门窄窄
'fu'chen'gui'xian'qin 扶榇归咸秦
'fu'chi'zi'shi'shen'ming'li 扶持自是神明力
'fu'chuan'si'ming'xue 覆穿四明雪
'fu'chui'mai'yi'san 复吹霾翳散
'fu'dai'shi'luo'chang 拂黛石萝长
'fu'dao'chong'lou'jin'xiu'xuan 复道重楼锦绣悬
'fu'dao'shi'gui'qin 复道使归秦
'fu'dao'zhu'shan'de'yin'weng 复道诸山得银瓮
'fu'di'yu'zhen'chuan 福地语真传
'fu'dian'dai'zhu'shi 扶颠待柱石
'fu'dian'shi'zhi'chou'ce'liang 扶颠始知筹策良
'fu'dian'yong'xiao'tiao 扶颠永萧条
'fu'dian'you'quan'jie 扶颠有劝诫
'fu'du'geng'sang'min 复睹耕桑民
'fu'gua'gong'lao'bing 浮瓜供老病
'fu'gui'bi'cong'qin'ku'de 富贵必从勤苦得
'fu'gui'dang'ru'ci 富贵当如此
'fu'gui'gong'ming'yan'zu'tu 富贵功名焉足图
'fu'gui'he'ru'cao'tou'lu 富贵何如草头露
'fu'gui'kong'hui'shou 富贵空回首
'fu'gui'liu'hao'zhai'su'yan 复归刘颢宅宿宴
'fu'gui'ren'sheng'ya 富贵任生涯
'fu'gui'xu'wu'di 复归虚无底
'fu'gui'ying'xu'zhi'shen'zao 富贵应须致身早
'fu'gui'yu'wo'ru'fu'yun 富贵于我如浮云
'fu'han'liu'chang'ce 复汉留长策
'fu'hang'ji'ji'chuan 扶行几屐穿
'fu'hao'you'qian'jia'da'ge 富豪有钱驾大舸
'fu'he'ji'shuai'nuo 夫何激衰懦
'fu'huo'si'xiang'ru 赋或似相如
'fu'ji'you'suan'xin 抚迹犹酸辛
'fu'jia'chu'rou'chou 富家厨肉臭
'fu'jian'qian'li'huo 俯见千里豁
'fu'jian'tao'tang'li 复见陶唐理
'fu'jian'xiu'gu'qing 复见秀骨清
'fu'jiang'zui'fan'chuan 涪江醉泛船
'fu'jie'chen'shi'ping 复接尘事屏
'fu'jin'chu'mao'ji 复进出矛戟
'fu'jin'pan'dai'bu'gua'shen 幅巾鞶带不挂身
'fu'ke'zhuan'wei'zuo 浮客转危坐
'fu'kong'chu'cong'luan'li'shuo 复恐初从乱离说
'fu'kong'kun'zhou'ruo 俯恐坤轴弱
'fu'kong'zheng'rong'gan'ge'mi 复恐征戎干戈密
'fu'kou'shi'reng'hui 滏口师仍会
'fu'ku'bu'wei'jiao'hao'xu 府库不为骄豪虚
'fu'ku'shi'guo'fang 府库实过防
'fu'la'ti'lian'lian 伏腊涕涟涟
'fu'lai'ti'zhen'wu 复来薙榛芜
'fu'lan'zei'tui'pian 复览贼退篇
'fu'lao'si'wu'ren 父老四五人
'fu'li'qiu'hao'fa 服礼求毫发
'fu'li'wang'qing'qiu 扶藜望清秋
'fu'li'zai'jiong'kong'da'cun 伏枥在坰空大存
'fu'lian'qiang'shu'qin 赋敛强输秦
'fu'lian'ye'shen'gui 赋敛夜深归
'fu'liang'niao'xiang'zhu 浮梁袅相拄
'fu'liao'yang'xiong'di 赋料扬雄敌
'fu'ling'shi'zhe'jiu'tan'jie 复令识者久叹嗟
'fu'ling'tai'yuan'yi 复领太原役
'fu'liu'he'chu'ru 洑流何处入
'fu'long'yi'chang'jin 浮龙倚长津
'fu'luan'yan'bian'xing'xiu'xi 复乱檐边星宿稀
'fu'mi'li'kui'wai 负米力葵外
'fu'mi'wan'wei'shen 负米晚为身
'fu'mian'yi'shu'en 绂冕已殊恩
'fu'ming'an'zai'zai 浮名安在哉
'fu'ming'xun'yi'yi 浮名寻已已
'fu'mu'yang'wo'shi 父母养我时
'fu'niao'chang'sha'hui 鵩鸟长沙讳
'fu'nv'duo'zai'guan'jun'zhong 妇女多在官军中
'fu'nv'xing'qi'fu'zou'cang 妇女行泣夫走藏
'fu'nv'zhong'zai'jia 妇女终在家
'fu'po'zhao'qiu'yuan 复魄昭丘远
'fu'qing'cheng'xian'chu'cheng'du 赴青城县出成都
'fu'ren'chang'jian'yu 夫人常肩舆
'fu'ren'xian'ji'shi 夫人先即世
'fu'ren'zai'jun'zhong 妇人在军中
'fu'rong'bie'dian'man'fen'xiang 芙蓉别殿谩焚香
'fu'rong'jing'qi'yan'wu'le 芙蓉旌旗烟雾乐
'fu'rong'xiao'yuan'ru'bian'chou 芙蓉小苑入边愁
'fu'ru'lie'hou'kun 俯入裂厚坤
'fu'ru'shuai'wan'miu'tong'ji 腐儒衰晚谬通籍
'fu'ru'zui'chu'xing 扶汝醉初醒
'fu'sang'xi'zhi'dui'duan'shi 扶桑西枝对断石
'fu'shan'li'dian'dao 福善理颠倒
'fu'she'chang'ru'shu 蝮蛇长如树
'fu'she'dong'lai'shui'shang'you 蝮蛇东来水上游
'fu'she'mu'yan'jian 蝮蛇暮偃蹇
'fu'shen'bo'dang'yuan'tuo'ku 浮深簸荡鼋鼍窟
'fu'shen'shi'qian'qi 俯身试搴旗
'fu'sheng'ji'you'ya 浮生即有涯
'fu'sheng'kan'wu'bian 浮生看物变
'fu'sheng'nan'qu'shi 浮生难去食
'fu'sheng'yi'bing'shen 浮生一病身
'fu'sheng'you'dang'gu 浮生有荡汩
'fu'sheng'you'ding'fen 浮生有定分
'fu'sheng'you'qu'shen 浮生有屈伸
'fu'shi'bin'ke'jian 赋诗宾客间
'fu'shi'da'jiang'ben 俯视大江奔
'fu'shi'dan'yi'qi 俯视但一气
'fu'shi'ding'zun'bei 服饰定尊卑
'fu'shi'du'liu'ti 赋诗独流涕
'fu'shi'fen'qi'xiang 赋诗分气象
'fu'shi'ge'ju'wen 赋诗歌句稳
'fu'shi'ge'shu'han 服事哥舒翰
'fu'shi'he'bi'duo 赋诗何必多
'fu'shi'ji'ming'sou 服食寄冥搜
'fu'shi'jian'bai'lv 抚事煎百虑
'fu'shi'lei'lang'lang 抚事泪浪浪
'fu'shi'liu'an'de'ye'zun 服食刘安德业尊
'fu'shi'shi'cui'dian 赋诗拾翠殿
'fu'shi'wan'jia'yi 俯视万家邑
'fu'shi'wu'pi'ji 拂拭乌皮几
'fu'shi'you'luo'bi 赋诗犹落笔
'fu'shu'yu'liu'qin 附书与六亲
'fu'shu'yu'pei'yin'shi'su 附书与裴因示苏
'fu'shu'yuan'shan'dian 附书远山巅
'fu'shui'di'huai'wu'xiu'fan 拂水低徊舞袖翻
'fu'shuo'yi'yan'mei 傅说已盐梅
'fu'si'chao'gong'luo 罘罳朝共落
'fu'si'wu'jie'chun 复似物皆春
'fu'si'xing'jiao'gong 罘罳行角弓
'fu'su'he'wan'duan 浮俗何万端
'fu'ti'yi'he'ku 妇啼一何苦
'fu'tie'zuo'ye'xia 府帖昨夜下
'fu'wan'wu'du'juan 涪万无杜鹃
'fu'wei'wan'li'bie 复为万里别
'fu'wen'yue'yi'shu 复闻乐毅书
'fu'xi'gong'cha'chi 凫舄共差池
'fu'xi'shao'nian'ri 甫昔少年日
'fu'xia'zhao'xi'shi 拂匣照西施
'fu'xie'mei'ren'deng'cai'zhou 复携美人登彩舟
'fu'xu'qing'bo'er 夫婿轻薄儿
'fu'xuan'hou'qiao'mu 负暄候樵牧
'fu'xuan'shi'fei'ge 负暄嗜飞阁
'fu'yan'chu'jing'ci'xi'nv 负盐出井此溪女
'fu'yan'su'zhang'deng 凫雁宿张灯
'fu'yan'zhong'gao'qu 凫雁终高去
'fu'yang'bei'shen'shi 俯仰悲身世
'fu'yang'ju'xiao'se 俯仰俱萧瑟
'fu'yang'shen'fen'ming 抚养甚分明
'fu'ye'nan'bei'ren 甫也南北人
'fu'yi'han'zuo'nan'hui'fu 福移汉祚难恢复
'fu'yi'san'luan'zhao'ou'fa 凫鹥散乱棹讴发
'fu'yi'xiang'yang'meng'hao'ran 复忆襄阳孟浩然
'fu'ying'jiang'mu'shu 俯映江木疏
'fu'you'guan'gu'cai 赋有冠古才
'fu'you'lou'tai'xian'mu'jing 复有楼台衔暮景
'fu'yu'hou'shi'chuan 付与后世传
'fu'yu'yun'lu'yong 复与云路永
'fu'yun'bao'jian'zhe 浮云薄渐遮
'fu'yun'bao'wei'gui 浮云薄未归
'fu'yun'bu'fu'qing'chun'se 浮云不负青春色
'fu'yun'lian'hai'yue 浮云连海岳
'fu'yun'lian'zhen'mei 浮云连阵没
'fu'yun'mai'chu'qi 拂云霾楚气
'fu'yun'mu'nan'zheng 浮云暮南征
'fu'yun'shi'shi'kong 浮云世事空
'fu'yun'yi'you'ti 浮云亦有梯
'fu'yun'zhong'ri'xing 浮云终日行
'fu'zhen'lei'shuang'hen 伏枕泪双痕
'fu'zhen'qing'feng'xian'yu'chu 伏枕青枫限玉除
'fu'zhen'si'qiong'shu 伏枕思琼树
'fu'zhen'wen'bie'li 伏枕闻别离
'fu'zhen'yin'chao'hu 伏枕因超忽
'fu'zhong'luo'jiu'yin 府中罗旧尹
'fu'zhong'wei'shi'jun 府中韦使君
'fu'zhong'you'yu'qing 府中有馀清
'fu'zhong'zhan'xia'ri 府中瞻暇日
'fu'zhou'chu'jun'guo 浮舟出郡郭
'fu'zhou'han'dan'shuai 浮舟菡萏衰
'fu'zhu'wen'zhou'shi 伏柱闻周史
'fu'zi'du'sheng'ming 夫子独声名
'fu'zi'ji'ruan'liu 夫子嵇阮流
'fu'zi'jie'shi'lai 复自碣石来
'fu'zi'mo'xiang'li 父子莫相离
'fu'zuo'yan'jing'fei 复作掩荆扉
'fu'zuo'you'xi'chuan 复作游西川
'gai'bei'sheng'shi'qian 盖被生事牵
'gai'guan'shi'ze'yi 盖棺事则已
'gan'bi'wei'ku'ci 感彼危苦词
'gan'ci'luan'shi'mang 感此乱世忙
'gan'ci'mao'wei'lou 敢辞茅苇漏
'gan'ci'qi'yang'yang 感此气扬扬
'gan'ci'wei'ming'xiu 敢辞微命休
'gan'cong'qian'ri'zui 甘从千日醉
