'a'wei 阿味
'deng'zhan'xi'xin 灯盏细辛
'di'feng 地枫
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'huang'sheng 地黄生
'di'jin'cao 地锦草
'di'long 地龙
'di'long'jiu 地龙酒
'di'yu 地榆
'di'yu'tan 地榆炭
'diao'hai'long 刁海龙
'ding'xiang 丁香
'dong'chong'xia'cao 冬虫夏草
'dong'gan'long'yan'rou 冻干龙眼肉
'dong'gan'ning'meng'pian 冻干柠檬片
'dong'gua'pi 冬瓜皮
'dong'gua'zi 冬瓜子
'dong'kui'zi 冬葵子
'dong'ling'cao 冬凌草
'dou'kou'bai 豆蔻白
'du'yi'wei 独一味
'du'zhong 杜仲
'du'zhong'si'sheng'du'zhong 杜仲丝生杜仲
'du'zhong'tan 杜仲炭
'du'zhong'ye 杜仲叶
'duan'ci'shi 煅磁石
'duan'fu'hai'shi 煅浮海石
'duan'ge'ke 煅蛤壳
'duan'long'chi 煅龙齿
'duan'long'gu 煅龙骨
'duan'mu'li 煅牡蛎
'duan'qing'meng'shi 煅青礞石
'duan'shi'gao 煅石膏
'duan'shi'jue'ming 煅石决明
'duan'wa'leng'zi 煅瓦楞子
'duan'zhe'shi 煅赭石
'duan'zi'ran'tong 煅自然铜
'e'bu'shi'cao 鹅不食草
'e'guan'shi 鹅管石
'e'jiao 阿胶
'e'jiao'ding 阿胶丁
'e'jiao'zhu 阿胶珠
'e'zhu 莪术
'er'cha 儿茶
'er'huan'shi'hu 耳环石斛
'fa'ban'xia 法半夏
'fan'bai'cao 翻白草
'fang'feng 防风
'fang'feng'tan 防风炭
'fang'ji 防己
'fen'ge'gen 粉葛根
'fen'xin'mu 分心木
'feng'fang'kuai 蜂房块
'feng'huang'yi 凤凰衣
'feng'wei'cao 凤尾草
'feng'xian'hua 凤仙花
'feng'yan'cao 凤眼草
'fo'shou 佛手
'fo'shou'hua 佛手花
'fu'chao'shan'yao 麸炒山药
'fu'hai'shi 浮海石
'fu'ling 茯苓
'fu'ling'fen 茯苓粉
'fu'ling'pi 茯苓皮
'fu'long'gan 伏龙肝
'fu'pen'zi 覆盆子
'fu'ping'cao 浮萍草
'fu'rong'ye 芙蓉叶
'fu'shen 茯神
'fu'shen'mu 茯神木
'fu'xi'ling'zhi'po'bi'bao'zi'fen 富硒灵芝破壁孢子粉
'fu'xiao'mai 浮小麦
'gan'cao 甘草
'gan'chan 干蟾
'gan'jiang 干姜
'gan'jiang'chao 干姜炒
'gan'qi 干漆
