'a'wei 阿味
'xi'gua'pi 西瓜皮
'xi'gua'zi 西瓜子
'xi'hong'hua 西红花
'xi'hong'hua'cang 西红花藏
'xi'qian'cao 稀签草
'xi'qing'guo 西青果
'xi'shu'guo 喜树果
'xi'xin 细辛
'xi'yang'shen 西洋参
'xi'yang'shen'fen 西洋参粉
'xi'yang'shen'ge 西洋参个
'xi'yang'shen'ling'zhi'pian 西洋参灵芝片
'xi'yang'shen'lu'rong'fen'pian'zu'he 西洋参鹿茸粉片组合
'xi'yang'shen'pian 西洋参片
'xi'yang'shen'pian'hong'shen'pian 西洋参片红参片
'xi'yang'shen'pian'zhi'he 西洋参片纸盒
'xi'yang'shen'zheng'zhi 西洋参整支
'xi'yang'shen'zhong'duan'zhi 西洋参中短支
'xia'ku'cao 夏枯草
'xia'tian'wu 夏天无
'xian'bai'ren'shen 鲜白人参
'xian'he'cao 仙鹤草
'xian'mao 仙茅
'xian'xiu'cha 纤秀茶
'xiang'chun'zi 香椿籽
'xiang'fu'cu 香附醋
'xiang'jia'pi 香加皮
'xiang'pai'cao 香排草
'xiang'ru 香薷
'xiang'si'dou 相思豆
'xiang'ya'xie 象牙屑
'xiang'yuan 香橼
'xiang'zi 橡子
'xiao'bai'hua'she 小白花蛇
'xiao'hai'ma 小海马
'xiao'hui'xiang 小茴香
'xiao'ji 小蓟
'xiao'ji'tan 小蓟炭
'xiao'tong'cao 小通草
'xiao'ye'jin'qian'cao'jin'qian'cao 小叶金钱草金钱草
'xie'bai 薤白
'xie'ye 泻叶
'xin'yi'hua 辛夷花
'xiong'can'e 雄蚕蛾
'xiong'dan'fen 熊胆粉
'xiong'hei'dou 雄黑豆
'xu'chang'qing 徐长卿
'xu'duan'chuan'duan 续断川断
'xuan'ming'fen 玄明粉
'xuan'shen 玄参
'xue'jian'chou 血见愁
'xue'jie 血竭
'xue'jie'fen 血竭粉
'xue'ju 雪菊
'xue'lian'hua 雪莲花
'xue'yan'zhan 血燕盏
'xue'yu'tan 血余炭
'xun'gu'feng 寻骨风
'xun'yi'cao 熏衣草
'ya'dan'zi 鸭蛋子
'ya'jiao'mu 鸭脚木
'ya'ma'zi'hu'ma'zi 亚麻子胡麻子
'ya'zhi'cao 鸭跖草
'yan'che'qian'zi 盐车前子
'yan'chuan'huang'bai 盐川黄柏
'yan'du'zhong 盐杜仲
'yan'guan'huang'bai 盐关黄柏
'yan'huang'bai 盐黄柏
'yan'ju'he 盐桔核
'yan'tu'si'zi 盐菟丝子
'yan'xiao'hui'xiang 盐小茴香
'yan'ze'xie'pian 盐泽泻片
'yang'qi'shi 阳起石
'yang'qi'shi'duan 阳起石煅
'ye'jiao'teng 夜交藤
'ye'ju'hua 野菊花
'ye'ma'zhui 野马追
'ye'sheng'bo'shu'ling'zhi 野生薄树灵芝
'ye'sheng'ling'zhi'chao'xi'fen 野生灵芝超细粉
'ye'sheng'sang'huang 野生桑黄
'ye'sheng'wu'bing'chi'zhi 野生无柄赤芝
'ye'sheng'zi'zhi 野生紫芝
'yi'mu'cao 益母草
'yi'yi'ren 薏苡仁
'yi'yi'ren'fen 薏苡仁粉
'yi'zhi'ren 益智仁
'yi'zhi'ren'yan 益智仁盐
'yin'chai'hu 银柴胡
'yin'chen 茵陈
'yin'er 银耳
'yin'hua'run'cha 银花润茶
'yin'qi'shi 阴起石
'yin'xiang'zhong'guo 印象中国
'yin'xing'ye 银杏叶
'yin'yang'huo 淫羊藿
'yin'yang'huo'zhi 淫羊藿炙
'yong'sheng'he'e'jiao 永盛合阿胶
'yu'biao 鱼膘
'yu'chuan'lou'lu 禹川漏芦
'yu'hu'die 玉蝴蝶
'yu'jin 郁金
'yu'lan 玉兰
'yu'li'ren 郁李仁
'yu'liang'shi 禹粮石
'yu'mi'xu 玉米须
'yu'nao'shi 鱼脑石
'yu'rou'liao 鱼肉料
'yu'xing'cao 鱼腥草
'yu'yuan'qing'chuo 御苑清啜
'yu'zhu 玉竹
'yuan'ming'fen 元明粉
'yuan'zhi'lu'rong'pian 原枝鹿茸片
'yuan'zhi'tan 远志炭
'yue'ji'hua 月季花
'yun'tai'zi 云苔子
'yun'zhi 云芝
'zao'jiao 皂角
'zao'jiao'ci 皂角刺
'zao'jiao'zi 皂角子
'ze'lan 泽兰
'ze'xie 泽泻
'zhang'dan 樟丹
'zhang'lang'chong 蟑螂虫
'zhe'bei'mu 浙贝母
'zhe'shi 赭石
'zhen'zhu'fen 珍珠粉
'zhen'zhu'mu 珍珠母
'zhi'bie'jia 炙鳖甲
'zhi'cao'wu 炙草乌
'zhi'chuan'wu 炙川乌
'zhi'ci'wei'pi 炙刺猬皮
'zhi'gan'cao 炙甘草
'zhi'gan'sui 炙甘遂
'zhi'gui'ban 炙龟板
'zhi'gui'jia 炙龟甲
'zhi'he'shou'wu'fen 制何首乌粉
'zhi'huang'qi 炙黄芪
'zhi'ju'zi 枳椇子
'zhi'ke 枳壳
'zhi'ma'huang 炙麻黄
'zhi'mei'yao 炙没药
'zhi'ru'xiang 炙乳香
'zhi'shui'zhi 炙水蛭
'zhi'tian'nan'xing 炙天南星
'zhi'tu'bie'chong 炙土鳖虫
'zhi'wu'she 炙乌蛇
'zhi'yuan'zhi 炙远志
'zhong'guo'jie'li'he'er 中国结礼盒二
'zhong'guo'jie'li'he'yi 中国结礼盒一
'zhong'hai'ma 中海马
'zhong'jie'feng 肿节风
'zhong'ru'shi 钟乳石
'zhu'ling 猪苓
'zhu'ma'gen 苎麻根
'zhu'rou'liao 猪肉料
'zhu'ru 竹茹
'zhu'sha 朱砂
'zhu'sha'fen 朱砂粉
'zhu'ya'zao 猪牙皂
'zhu'yang'yang 猪怏怏
'zhu'ye'qing 竹叶青
'zhuang'yang'guo 壮阳果
'zhui'di'feng 追地枫
'zhui'feng'cao 追风草
'zi'bei'chi 紫贝齿
'zi'can'shi'jian'chuan 紫参石见穿
'zi'cao 紫草
'zi'di'ding 紫地丁
'zi'feng'sha 紫砜砂
'zi'he'che 紫河车
'zi'he'che'fen 紫河车粉
'zi'he'che'fen'bu'dai'xue 紫河车粉不带血
'zi'he'che'fen'dai'xue 紫河车粉带血
'zi'hua'di'ding 紫花地丁
'zi'jing'pi 紫荆皮
'zi'nao'sha 紫硇砂
'zi'ran'tong 自然铜
'zi'shi'ying 紫石英
'zi'su'ye 紫苏叶
'zi'tan 紫檀
'zi'xiao'hua 紫霄花
'zi'yuan 紫苑
'zi'zhu'ye 紫珠叶
'zong'lv'tan 棕梠炭
'zong'tan 棕炭
'zong'tong'pai'xi'yang'shen'pian 总统牌西洋参片
