'a'dou 阿斗
'an'wei'da'fu 岸尾大辅
'bai'lang'xie'cu'chong 白狼胁蹴冲
'bai'pi'dao 百辟刀
'ban'kou'zhou'ping 阪口周平
'bo'fu 伯符
'cao'cao'meng'de 曹操孟徳
'cao'ren'zi'xiao 曹仁子孝
'chao'ji'zhan'shi 超级战士
'chen'gong'gong'tai 陈宫公台
'chen'heng 陈横
'chen'liu'gao'xiao 陈留高校
'cheng'du'xue'yuan 成都学院
'cheng'pu 程普
'cheng'pu'de'mou 程普德谋
'chi'bi'zheng'luan'pian 赤壁争乱篇
'chi'bi'zhi'zhan 赤壁之战
'chun'yu'dao 淳于导
'da'he'xue'yuan 大和学院
'dian'wei 典韦
'diao'chan 貂蝉
'dong'zhuo 董卓
'dong'zhuo'zhong'ying 董卓仲颖
'dou'shi 斗士
'du'bian'ming'nai 渡边明乃
'fan'dao'zhao 饭岛肇
'fan'neng 樊能
'feng'kou'hui'mei 丰口惠美
'gan'ning 甘宁
'gan'ning'xing'ba 甘宁兴霸
'gang'kuan'hui 冈宽恵
'gao'ding 高定
'gao'gang'ping'ping 高冈瓶瓶
'gao'lan 高览
'gao'qiao'mei'jia'zi 高桥美佳子
'gong'jin 公瑾
'gou'yu 勾玉
'guan'dong 关东
'guan'jie 关姐
'guan'jie'ji 关节技
'guan'ping 关平
'guan'xi 关西
'guan'yu'yun'chang 关羽云长
'gui'gang'zhen'mei 亀冈真美
'guo'jia'feng'xiao 郭嘉奉孝
'han'sui'wen'yue 韩遂文约
'he'yuan'mu'zhi'sui 河原木志穂
'hou'cheng 侯成
'hou'teng'chun'yi 后藤淳一
'hu'che'er 胡车儿
'hua'tuo'yuan'hua 华佗元化
'hua'xiong 华雄
'huang'gai 黄盖
'huang'zhong'han'sheng 黄忠汉升
'ji'cheng'zhe 继承者
'jia'fei'tian'yu'zi 甲斐田裕子
'jia'teng'ying'mei'li 加藤英美里
'jia'xu'wen'he 贾诩文和
'jian'jing'sheng'ren 樫井笙人
'jiang'dong'xiao'ba'wang 江东小霸王
'jing'shang'xi'jiu'zi 井上喜久子
'jing'zhou'xue'yuan 荆州学院
'kong'ming 孔明
'kong'zhou 孔伷
'ku'jiang'you'yi 堀江由衣
'kuai'liang'zi'rou 蒯良子柔
'kuai'yue'yi'du 蒯越异度
'lang'chuan'da'fu 浪川大辅
'le'jin'wen'qian 乐进文谦
'le'jiu 乐就
'li'gen'jian'tai'lang 利根健太郎
'li'jue'zhi'ran 李傕稚然
'li'tong'wen'da 李通文达
'li'yan'zheng'fang 李严正方
'lian'chi'long'san 莲池龙三
'liang'zhou'gao'xiao 凉州高校
'liang'zhou'xue'yuan 凉州学院
'liu'bei 刘备
'liu'bei'xuan'de 刘备玄徳
'liu'yao 刘繇
'liu'yao'zheng'li 刘繇正礼
'long'xing'ba'gua'yi'shi 龙形八卦一式
'long'zhi'li 龙之力
'long'zhua'lie'shui 龙爪裂水
'lu'su'zi'jing 鲁肃子敬
'lu'xun'bo'yan 陆逊伯言
'luo'yang'xue'yuan 洛阳学院
'lv'bu 吕布
'lv'bu'feng'xian 吕布奉先
'lv'liu'luo'han'san'shi'liu'shi 吕流罗汉三十六式
'lv'meng'zi'ming 吕蒙子明
'ma'chao'meng'qi 马超孟起
'ma'liang'ji'chang 马良季常
'ma'su'you'chang 马谡幼常
'mao'yuan'shi'li 茅原实里
'men'xie'wu'yi 门胁舞以
'meng'da'zi'du 孟达子度
'meng'huo 孟获
'meng'you 孟优
'mi'tian'zhi'si 米田直嗣
'mu'lu'da'wang 木鹿大王
'mu'xia'shang'ji 木下尚纪
'nan'guan'dong'lian'meng 南关东联盟
'nan'man'gao'xiao 南蛮高校
'nan'yang'jun'zhu 南阳君主
'nan'yang'xue'yuan 南阳学院
'niu'jin 牛金
'pang'tong'shi'yuan 庞统士元
'peng'cheng'si 彭城寺
'qian'chuan'you 浅川悠
'qian'ye'zhen'cheng 浅野真澄
'qin'qi 秦琪
'qing'chuan'yuan'meng 清川元梦
'qu'yi 麴义
'ri'chu'guo 日出国
'ri'ye'cong 日野聪
'san'guo'shi'dai 三国时代
'san'ping'you'bu'zi 三瓶由布子
'san'zhai'jian'tai 三宅健太
