'ba'bi'xiu'luo 八臂修罗
'ba'ren'ming'yu'bai'xi'sheng 把人名誉白牺牲
'ba'yue'xiao'mo'zhi'gu'zhong 八月消磨桎梏中
'ba'zhong'xiang'le'zao'can'kai 八钟响了早餐开
'bai'fan'san'yuan'bu'gou'bao 白饭三元不够饱
'bai'tian'hei'hei'ye'chen'chen 白天黑黑夜沉沉
'bai'tian'shuang'ma'bu'ting'ti 白天双马不停蹄
'ban'lu'da'chuan'fu'yong 半路搭船赴邕
'bao'su'mo'wan'lu'yi'hong 包粟磨完炉已红
'bao'xiang'gou'rou 苞乡狗肉
'bei'la'du'fan'chang'jie'hui 被拉赌犯常嗟悔
'ben'ying'tong'ku'que'kuang'ge 本应痛苦却狂歌
'bi'jing'bi'tu'bu'piao'liang 毕竟比徒步漂亮
'bi'xi'ren'min'pao'yi'kong 避袭人民跑一空
'bi'xu'shui'zai'ce'keng'bian 必须睡在厕坑边
'bi'zuo'wu'liao'xue'yi'qi 闭坐无聊学弈棋
'biao'lun'mang'wei'ye'hong'dai 飙轮芒尾曳虹带
'bing'zhong 病重
'bing'zhu'fang'cheng'zhan'qing'yan 秉烛方城展清宴
'bing'zuo'shi'fen'chun 并作十分春
'bu'de'zi'you'shang'qiu'yue 不得自由赏秋月
'bu'dong'yao'jing'shen 不动摇精神
'bu'gao'yi'bu'yuan 不高亦不远
'bu'ken'tui'yi'fen 不肯退一分
'bu'mian'ye 不眠夜
'bu'ru'lao'she'ruan'er'chang 不如老舌软而长
'bu'ru'meng'long'you'an'di 步入朦胧幽暗地
'bu'wang'yu'li'chi'chou'ren 不忘狱里吃愁人
'bu'yong'wei'quan'zhi'yong'en 不用威权只用恩
'bu'zhi'he'ri'chu'lao'long 不知何日出牢笼
'bu'zhi'jie'dao'ji'shi'xiu 不知解到几时休
'bu'zou'cuo'fang'xiang 不走错方向
'cai'cheng'ying'xiong'da'jiang'jun 才称英雄大将军
