'bei'lun 悖论
'bian'yi'luo'ji 变异逻辑
'bu'xiang'rong'xuan'yan'ming'ti 不相容选言命题
'chong'die'liang'hua 重叠量化
'chong'fen'li'you'lv 充分理由律
'chong'yan 重言
'ci'xiang'bian'yuan 词项变元
'ci'xiang'luo'ji 词项逻辑
'cong'wu'mo'tai 从物模态
'cong'yan'mo'tai 从言模态
'dao'yi'lun 道义论
'deng'ci'li'lun 等词理论
'deng'zhi 等值
'dui'dang 对当
'duo'yuan 多元
'er'nan'tui'li 二难推理
'er'yuan 二元
'fou'ding 否定
'fu'he'ming'ti 复合命题
'fu'ming'ti 负命题
'fu'zhi 赋值
'guang'yi'luo'ji 广义逻辑
'guang'yi'mo'tai'luo'ji 广义模态逻辑
'gui'na'luo'ji 归纳逻辑
'gui'na'tui'li 归纳推理
'gui'zhong'lv 归中律
'he'qu 合取
'hou'jian 后件
'huan'wei'fa 换位法
'huan'zhi'fa 换质法
'ji'ben'luo'ji 基本逻辑
'jia'shuo'yan'yi'fa 假说演绎法
'jia'yan'ming'ti 假言命题
'jian'dan'mei'ju'fa 简单枚举法
'jian'dan'ming'ti 简单命题
'jing'dian'luo'ji 经典逻辑
'kuo'chong'luo'ji 扩充逻辑
'lei'bi'tui'li 类比推理
'lian'jie'ci 联结词
'lian'yan'ming'ti 联言命题
'lian'yan'zhi 联言支
'liang'hua'gong'shi 量化公式
'liang'hua'luo'ji 量化逻辑
'lun'yu 论域
'luo'ge'si 逻各斯
'luo'ji'lei'xing 逻辑类型
'mao'dun 矛盾
'mao'dun'lv 矛盾律
'ming'ti'luo'ji 命题逻辑
'ming'ti'zhi 命题支
'mo'tai 模态
'mo'tai'luo'ji 模态逻辑
'mo'zhuang'ci 摹状词
'ou'zhen 偶真
'ou'zhen'shi 偶真式
'pu'bian'you'xiao'shi 普遍有效式
'qian'jian 前件
'ren'shi'lun 认识论
'ren'zhi'luo'ji 认知逻辑
'san'duan'lun 三段论
'shi'jian'lun 时间论
'shi'ti'lun 实体论
'shi'zhi'yun'han'guai'lun 实质蕴涵怪论
'tong'yi'lv 同一律
'tui'li'xing'shi 推理形式
'wei'ci'fu'hao 谓词符号
'wei'ci'luo'ji 谓词逻辑
'xi'qu 析取
'xiang'gan'luo'ji 相干逻辑
'xiang'rong'xuan'yan'ming'ti 相容选言命题
'xing'zhi'ming'ti 性质命题
'xuan'yan'ming'ti 选言命题
'xuan'yan'zhi 选言支
'yan'yi'tui'li 演绎推理
'yi'jie'yuan'luo'ji 一阶元逻辑
'yi'yuan 一元
'you'jia'de'quan'yuan'ze 由假得全原则
'you'xiao'xing 有效性
'yuan'luo'ji 元逻辑
'yuan'zi'ming'ti 原子命题
'yun'han 蕴涵
'zhen'li'lun 真理论
'zhen'zhi 真值
'zhi'huan'yuan'ze 置换原则
'zhi'jue'zhu'yi'luo'ji 直觉主义逻辑
'zhi'yan'ming'ti 直言命题
'zhou'yan'xing 周延性
'zi'ran'tui'li 自然推理
